#CODE	ENGLISH
WAR_INVALID_LIEGE_JOINS_ENEMY	\n($LIEGE$ joins $OTHER$'s war)
WAR_INVALID_ELECTED_REL_HEAD	\n($CHAR$ was elected $TITLE$)
INTERACTION_HAS_TITLES_TO_REVOKE	Has Titles that can be Revoked
REL_UNCLE_HUSBAND	Husband
REL_NEPHEW_HUSBAND	Husband
REL_COUSIN_HUSBAND	Husband
REL_COUSIN_WIFE	Wife
REL_AUNT_WIFE	Wife
REL_NIECE_WIFE	Wife
MINOR_CLAN_REVOLT	[Root.County.GetAdjective] Minor Clan Rising
succ_nomadic_desc	Among the peoples of the steppe, Prestige alone determines the line of succession. Legitimate children and siblings of the current ruler are eligible, but, unlike other forms of succession, only adults of the right culture can inherit.
STAT_CULTURE_PROV_DESC	This is the majority culture in this county.
STAT_RELIGION_PROV_DESC	This is the majority religion in this county.
TITLE_CANNOT_CREATE_MERCENARY_TITLE	You can never directly create a Mercenary title
TITLE_CANNOT_CREATE_HOLY_ORDER_TITLE	You can never directly create a Holy Order title
NO_VALID_AMBITIONS	§RThere is no valid Ambition for you to pick!§!
NO_VALID_FOCUSES	§RThere is no valid Focus for you to pick!§!
AIREASON_WILL_NOT_MARRY_INFIDELS	§Y[GetTitledFirstName]§! will not consider offers from infidels
AN_UNKNOWN_LOCATION	an unknown location
cb_liberate_nomad_duchy_desc	§Y$CLAIMANT$§! can use this Casus Belli to seize all titles held by the savage, §Y$TARGET$§!, within the de jure §Y$TITLE$§!.
nomad_dispute_desc	Feuding clans can declare wars against each other to seize a single county.
CB_NAME_LIBERATE_NOMAD	Liberate [Title.GetBaseName]
WAR_NAME_LIBERATE_NOMAD	$ORDER$$FIRST_ADJ$ Liberation of $OTHER_TITLE$
liberate_nomad_cb_succ_tip	§Y[Root.GetTitledFirstName]§! vassalizes non-nomadic lords and takes all other titles in the §Y[This.GetFullBaseName]§!.\n
pagan_subjugation_desc	Pagans are allowed to subjugate other pagan rulers once in their lifetime. (With the 'Become $KING$' ambition, there is no such time limit against those who control titles within the kingdom.) Free men are always willing to follow the mightiest ruler...
pagan_county_conquest_desc	Pagans and Nomads can conquer single border counties without specific reasons. Norse Pagans can also take any coastal county.
nomad_subjugation_desc	Nomads can subjugate non-Nomadic realms once in their lifetime.
nomad_invasion_desc	If our population is getting too large, we may invade another realm to seize their pasture lands! If successful, all occupied territory will be seized and all vassals will become our vassals.
CB_NAME_PAGAN_SUBJUGATION	Subjugation
WAR_NAME_PAGAN_SUBJUGATION	$ORDER$$FIRST_ADJ$-$SECOND_ADJ$ Subjugation War
tribal_subjugation_tip	§Y[Root.GetTitledFirstName]§! subjugates §Y[This.GetTitledName]§!\n
POPULATION_FACTOR_LOWER_THAN	Population less than §Y$PERC$%§! of Maximum
POPULATION_FACTOR_AT_LEAST	Population at least §Y$PERC$%§! of Maximum
action_collect_tribute	Collect Tribute
action_collect_tribute_desc	Send your [GetTreasurerName] to collect extra contributions from vassals and tributary rulers. This will not please them much...
squeezed_for_extra_tribute	Squeezed for Extra Tribute
refused_extra_tribute	Refused Extra Tribute
EVTNAME20225	Extra Contributions
EVTDESC20225	My liege, [Root.Liege.GetTitledFirstName] has charged me with collecting extra tribute from [tribute_giver.GetTitledName]. It has not been easy going through [tribute_giver.GetPossPronoun] finances, but I finally know how much I should demand...
EVTOPTA20225	Present my demand
EVTOPTB20225	I should procratinate...
EVTTOOLTIP_20226	[tribute_giver.GetFirstName] responds to my demand.
EVTDESC20226	The [GetRootFromInsult], [From.GetTitledFirstName], is here demanding extra 'contributions' on behalf of [From.Liege.GetTitledName]!
EVTOPTA20226	Accept the demand
EVTOPTB20226	Refuse. Consequences be damned!
EVTDESC20227	[From.GetTitledFirstName] wisely - though reluctantly - accepted my demand for extra contributions to my liege, [Liege.GetTitledFirstName]. I fear this has hurt our relations, however...
EVTDESC20228	My efficient [From.GetJobTitle], [From.GetTitledFirstName], has managed to squeeze some extra money out of [FromFrom.GetTitledName]. I fear [FromFrom.GetSubjectPronoun] is not too happy about it though...
EVTDESC20229	[From.GetTitledFirstName] outrageously refused my demand for extra contributions to my liege, [Liege.GetTitledFirstName], claiming [From.GetSubjectPronoun] is under no such obligations!
EVTOPTA20229	The [GetRootFromInsult]!
EVTDESC20231	The [GetRootFromFromInsult], [FromFrom.GetTitledFirstName], outrageously refused to pay the extra tribute demanded by my [Root.GetTreasurerName], [From.GetTitledFirstName]!
EVTOPTA20231	I shall not forget this...
action_train_troops_nomadic	Train Warriors
action_train_troops_nomadic_desc	Send your [GetMarshalName] to increase your manpower regrowth.
action_clan_sentiment	Improve Clan Sentiment
action_clan_sentiment_desc	Send your [GetChancellorName] to improve your clan's esteem in the eyes of another clan.
clan_propaganda_effort	Propaganda Effort
won_tributary_war	Won Tributary War
opinion_driven_from_my_lands	Driven from my Lands
SENTIMENT_CLANS_WANT_MORE_LAND	Clans Want More Land
EVTNAME20235	An Honorable Mention
EVTDESC20235	Most of the Clan elders are assembled in [Root.Location.GetName]. This is a golden opportunity to tell them about the great honor of [Root.Liege.GetTitledFirstNameNoRegnal]'s clan...
EVTOPTA20235	Spin them such a tale...
EVTOPTB20235	What 'great honor'?
EVTDESC20236	My trusted [Root.GetChancellorName], [From.GetTitledFirstName], reports success from the Clan of [target_chief.Clan.GetBaseName]. Their elders now like the [Root.Clan.GetName] a lot better!
INCOME_TRIBUTE	Tributes
EXPENSE_TRIBUTE	Tribute
#EXPENSE_TRIBUTE	Tribute
PAYS_TRIBUTE_TO	Is a Tributary of §Y$OTHER$§!
PAYS_NOT_TRIBUTE_TO	Is NOT a Tributary of §Y$OTHER$§!
free_tributary_cb_desc	You can declare war to free yourself or one of your vassals from tributary status.
alert_available_minor_title_name	Available Minor Title
alert_available_targetted_decision_name	Special Character Actions Possible
alert_available_title_decision_name	Special Title Actions Possible
alert_available_settlement_decision_name	Special Holding Actions Possible
alert_inefficent_land_management_name	Inefficient Land Management
REVOKE_TITLE_INTERACTION_2I	Since §Y[Recipient.GetTitledFirstName]§! is a Tribal barbarian, our vassals will not object.
religious_desc	§Y$CLAIMANT$§! can use this Casus Belli to seize all titles held by the infidel, §Y$TARGET$§!, within the de jure §Y$TITLE$§!. This Casus Belli is valid against neighbors, and also against infidels up to two sea zones away if either the attacker or the defender is a Muslim, or if the era of Great Holy Wars has started for the attacker's religion.
INTERACTION_REQUIRES_NO_UNITS_IN_ENEMY	We have no units in enemy counties where we lack Holdings
EVTDESC236_NC	The vile excesses of [Root.GetTitledFirstName] can no longer be tolerated! We agree that [Root.GetSubjectPronoun] should be excommunicated!
ASK_FOR_EXCOMMUNICATION_INTERACTION_TITLE_HEAD	Excommunicate
ASK_FOR_EXCOMMUNICATION_INTERACTION_DESC_HEAD	Have §Y[ThirdPartyCharacter.GetBestName]§W excommunicated. This will cost you §R100§W Piety and will be viewed as an insult by [ThirdPartyCharacter.GetPossPronoun] relatives.
ASK_FOR_EXCOMMUNICATION_INTERACTION_0_HEAD	Have §Y[ThirdPartyCharacter.GetBestName]§W excommunicated. This will cost you §R$COST$§W Piety and will be viewed as an insult by [ThirdPartyCharacter.GetPossPronoun] relatives.
ASK_TO_LIFT_EXCOMMUNICATION_INTERACTION_DESC_HEAD	Lift the excommunication of §Y[ThirdPartyCharacter.GetBestName]§W.
ASK_TO_LIFT_EXCOMMUNICATION_INTERACTION_0_HEAD	Lift the excommunication of §Y[ThirdPartyCharacter.GetBestName]§W. This will cost you §R$COST$§W Piety.
DESIGNATE_HEIR_PROGENY	You can only Designate your Children
EVTDESC327	The great [Root.GetTitledFirstName] has declared a [Root.Religion.GetCrusadeName] against [New.GetTitledName] and the adherents of '[New.Religion.GetHighGodName]' in the [From.GetFullBaseName]! All true [Root.Religion.GetName] men are called to arms in the name of [Root.Religion.GetHighGodName]!\n\nThe dark manifestations of [Root.Religion.GetRandomEvilGodName] must be cleansed in healing flames!
EVTDESC327_MUSLIMS	The great [Root.GetTitledFirstName] has declared a [Root.Religion.GetCrusadeName] against [New.GetTitledName] and the followers of [New.Religion.GetHighGodName] in the [From.GetFullBaseName]! All true [Root.Religion.GetName] men are called to arms against the old arch-enemy!\n\nMuhammed was the mouthpiece of [Root.Religion.GetRandomEvilGodName] and all his works must be destroyed!
EVTDESC327_CHRIST	The great [Root.GetTitledFirstName] has declared a [Root.Religion.GetCrusadeName] against [New.GetTitledName] and the [New.Religion.GetName] infidels in [From.GetFullBaseName]! All true [Root.Religion.GetName] men are called to arms against the deniers of [Root.Religion.GetHighGodName]!\n\nThe Magi will cleanse their churches in healing flames!
EVTDESC328	The great [Root.GetTitledFirstName] has declared a [Root.Religion.GetCrusadeName] against [New.GetTitledName] and the adherents of '[New.Religion.GetHighGodName]' in the [From.GetFullBaseName]! All righteous [Root.Religion.GetName] men are called to arms in the name of [Root.Religion.GetHighGodName]!\n\nThe idolators will learn to fear the Lord!
EVTDESC328_MUSLIMS	The great [Root.GetTitledFirstName] has declared a [Root.Religion.GetCrusadeName] against [New.GetTitledName] and the followers of [New.Religion.GetHighGodName] in the [From.GetFullBaseName]! The whole [Root.Religion.GetName] nation is called to arms against the [New.Religion.GetName] menace!\n\nThe false works of the Madman must be torn down!
EVTDESC328_CHRIST	The great [Root.GetTitledFirstName] has declared a [Root.Religion.GetCrusadeName] against [New.GetTitledName] and the [New.Religion.GetGroupName] infidels in [From.GetFullBaseName]! All true [Root.Religion.GetName] men are called to arms against the old oppressors!\n\nThe Lord will prove us right!
EVTOPTA328	For God and Israel!
temple_desc	Temples provide moderate income and good levies. They may also give Piety to their holder, and the holder's liege.
ARRANGE_BETROTHAL_DESC	Arrange a betrothal with the most eligible potential spouse.
HINT_SPLASH_TEXT	In Crusader Kings II, you play as a succession of medieval rulers from a single dynasty. There is no set goal, but the world is filled with ambitious rivals... Secure more land to increase your power and protect your family.
HINT_SPLASH_START	As a ruler, your first priority is to secure an heir. If you do not have a legitimate heir when your character dies, the game will end. Other pressing matters appear as Alerts along the top of the screen!
HINT_SPLASH_VICTORY	You cannot hold infinite amounts of land yourself. To expand, you will need to rely on vassal rulers. Keep them happy with titles and gifts lest they decide to revolt! The game will end in 1452, if your line can stay in power that long...
HINT_SPLASH_2_TITLE	[Culture.GetName] [Religion.GetName] [Government.GetName]
#HINT_SPLASH_2_INTRO	You have chosen to play as a [Culture.GetName] [Religion.GetName] [PrimaryTitle.GetRulerTitle].
HINT_SPLASH_2_CUL_DESC	[Culture.GetName] culture effects:
HINT_SPLASH_2_CUL_FEATURES	[Culture.GetFeatures]
HINT_SPLASH_2_GOV_DESC	[Government.GetDesc]
HINT_SPLASH_2_GOV_FEATURES	[Government.GetFeatures]
HINT_SPLASH_2_REL_DESC	[Religion.GetDesc]
HINT_SPLASH_2_REL_FEATURES	[Religion.GetFeatures]
REL_INVESTITURE_DESC	$NAME$ Bishops may pay tax to the Pope rather than their secular liege
REL_ANTIPOPES_DESC	$NAME$ Rulers can set up Antipopes
REL_EXCOMMUNICATION_DESC	The $HEAD_TITLE$ can Excommunicate $NAME$ characters
REL_GRANT_DIVORCE_DESC	The $HEAD_TITLE$ can grant divorces
REL_GRANT_INVASION_DESC	The $HEAD_TITLE$ can grant the Invasion Casus Belli
REL_GRANT_CLAIM_DESC	The $HEAD_TITLE$ can grant Claims on titles
REL_CALL_CRUSADE_DESC	The $HEAD_TITLE$ can call for a $CRUSADE$
REL_PRIESTS_INHERIT_DESC	Priests (Temple holders) can inherit titles
REL_PRIESTS_MARRY_DESC	Priests can marry
REL_FEMALE_TEMPLE_HOLDERS_DESC	Women may own Temple Holdings
REL_NO_FEMALE_RULER_OPINION_PENALTY_DESC	No opinion penalty against female rulers and heirs
REL_AUTOCEPHALY_DESC	Multiple Patriarchs - the five Pentarchs and Autocephalous Patriarchs under Kings
REL_PREPARED_INVASIONS_DESC	Fairly weak rulers can Prepare Invasions
REL_RIVER_MOVEMENT_DESC	Fleets can navigate major rivers
REL_RAIDING_DESC	Rulers can raid infidel neighbors for loot
REL_VASSALS_DONT_MIND_RAISED_DESC	Vassals do not mind if their levies are raised
REL_DIVINE_BLOOD_DESC	Rulers can marry close kin to improve vassal opinions
REL_DECADENCE_DESC	$NAME$ dynasties may grow Decadent
REL_NO_MATRI_MARRIAGES_DESC	Matrilineal marriages are not allowed
REL_POLYGAMY_DESC	$NAME$ men can have up to §Y$NUM$§! wives (unless they are allowed to have concubines)
REL_CONCUBINAGE_DESC	$NAME$ men can take up to §Y$NUM$§! Concubines
REL_DEF_ATTRITION_DESC	Non-pagans (with low tech) have a very low Supply Limit in $NAME$ counties
REL_PEACE_PRESTIGE_LOSS_DESC	Rulers lose Prestige if at peace for too long
REL_CAN_REFORM_DESC	Can be Reformed
REL_HEAD_CAN_BE_CREATED_DESC	A religious head (the $HEAD_TITLE$) can be created by a special Decision
REL_SECULAR_HEAD_DESC	$TITLE_NAME$ is held by a secular ruler, and can be destroyed or created normally
REL_ALWAYS_A_HEAD_DESC	There is always a $HEAD_TITLE$, landed or not
REL_NO_HEAD_DESC	There is (and can exist) no religious head
REL_CASTE_OPINIONS_DESC	Caste Traits have great effect on opinions
REL_PACIFIST_DESC	Much lower chance of provincial revolts\n§Y*§! Large bonuses to all vassal opinions\n§Y*§! Rulers can hold larger Demesnes\n§Y*§! Rulers cannot declare Holy Wars
REL_HEIR_DESIGNATION_DESC	Can designate any valid offspring as the heir
buddhist_FEATURES	§Y*§! Can only declare limited Holy Wars against non-Indian religions
hindu_FEATURES	§Y*§! Can only declare Holy Wars against non-Indian religions
cathar_FEATURES	§Y*§! Women may hold all councillor positions\n§Y*§! Women may lead armies
#feudal_government_desc	Feudal government revolves around the oath between liege and vassal, and Feudal lords can only directly own so many Holdings before they must start to rely on vassals - whose loyalty may vary... There are several Succession Laws to pick between - each with its own merits. The Centralization Law controls the maximum size of your Demesne and the number of direct vassals you can have.
#muslim_government_desc	The Arabic Iqta system is similar to the Feudal system - rulers must rely on land holding vassals or varying loyalty and ambition. The maximum number of vassals and the number of Holdings you can directly own are controlled by the Centralization Law. However, there is only one form of Succession available - the chaotic 'Open' type, where the son with most land inherits.
nomadic_government_desc	Nomads are not very interested in owning Holdings, only in more grazing land for their sheep and horses. Gameplay centers around the Population of the tribe and the Manpower it provides. Empty Holdings slots in open terrain increases the maximum population. While Nomads can have normal vassals, they are mostly concerned with managing the other, few but powerful, major Clans of the tribe.
republic_government_desc	The leaders of regular republics are randomly chosen from among the citizenry. This kind of republic is not playable, since there is no dynastic persistence between the generations of rulers.
tribal_government_desc	Tribes are settled but agrarian. Each county can only have one Tribal 'Holding', representing the entire local tribal population - the more empty Holding slots, the more powerful the Tribal Holding. Tribal rulers are limited to the 'Elective Gavelkind' Succession Law, which tends to fragment the realm between sons on the death of the chief.
theocracy_government_desc	Theocracies, like minor republics, are unplayable. Rulers are appointed or elected from among the ecclesiarchy, and there is no dynastic persistence between generations of rulers.
GOV_DECADENCE_DESC	$NAME$ dynasties may grow Decadent if the religion also allows it
#GOV_POLL_TAX_DESC	Vassals of other religions pay the Jizya tax
GOV_PIETY_LAW_CHANGE_DESC	Laws are changed by expending Piety, not by votes
GOV_RAIDING_DESC	Rulers can raid infidel neighbors for loot
GOV_FREE_RETRACT_DESC	Other vassals will not object to vassal retraction
GOV_IGNORES_DE_JURE_LAWS_DESC	De Jure Law effects are ignored
GOV_CANNOT_CREATE_KINGDOMS_DESC	Cannot create kingdoms
GOV_CANNOT_USURP_K_OR_E_DESC	Cannot usurp kingdoms or empires
GOV_NO_GENDER_SUCC_LAWS_DESC	No Gender Succession Laws
GOV_CONCUBINAGE_DESC	Male rulers can take up to §Y$NUM$§! Concubines
CUL_RAIDING_DESC	Rulers can raid infidel neighbors for loot
CUL_OVERSEAS_RAIDER_DESC	Can raid overseas with ships
CUL_BLINDING_DISINHERITS_DESC	Blind characters cannot inherit titles
NO_SPECIAL_FEATURES	No special features
nomad_ruling_clan_too_powerful	Minor Clans on the Rise
cb_minor_clan_revolt_desc	Powerful 'minor' clans can rise up in revolt, demanding a place among the major clans.
CB_NAME_MINOR_CLAN_REVOLT	Minor Clan Revolt
WAR_NAME_MINOR_CLAN_REVOLT	Minor Clan Rising
ISNT_CLOSE_RELATIVE	Is NOT a close relative
IS_CLOSE_RELATIVE	Is a close relative
HOLYSITE_LOCATION_COUNTY	§Y$SITENAME$§! contains a Holy Site
NOT_REALM_TITLE_STARTS	No Realm Title
ANY_TRADE_ROUTE_PROVINCE_STARTS	Any Trade Route County
NOT_ANY_TRADE_ROUTE_PROVINCE_STARTS	No Trade Route County
HINT_NOMAD_VIEW_TITLE	The Clan View
AIREASON_NO_WAR_AGAINST_SPOUSE	Will not join wars against spouse (§Y[GetTitledName]§!)!
HINT_NOMAD_VIEW_TEXT_1	Nomadic Tribes are always dominated by a number of major Clans. Keeping the clan chiefs in line - and balancing their number and power - should be a priority for any Khan. Have too few Clans, and one is likely to emerge by force if necessary. Have too many Clans, and they will be unhappy about lack of grazing land.
HINT_NOMAD_VIEW_TEXT_2	Each Clan has an opinion of every other Clan, called Clan Sentiments. The Clan chiefs must respect these sentiments, which is reflected in their normal Opinions of the other chiefs. Keep a careful eye on the Clan Sentiments to prevent internal strife before it happens.
HINT_NOMAD_VIEW_TEXT_3	Clans are always semi-autonomous and must be called to war even against a rebellion by another Clan. Worse, each Clan (even the ruling one) can only be allied to one other Clan, by swearing a Blood Oath. It is also common for Clans to be feuding, which allows them to war with each other for land. Positive or negative treatment of one Clan will also affect the Sentiments of any feuding or Blood Brother clan, as appropriate...
HINT_NOMAD_VIEW_TEXT_4	The key to managing the Clans is to use the special actions available to you - 'Split Clan', 'Settle Feud', etc.
EVTTOOLTIP62920	León and Asturias are now one kingdom
EVTNAME62920	León and Asturias are One
EVTDESC62920	The Kingdoms of León and Asturias are to stay united forever, so there will be only one crown and one king ruling them forever.
#EVTDESC62921	[From.GetTitledName] has decided to unite the Kingdoms of León and Asturias as a single entity - León.
EVTTOOLTIP62922	I'm crowned King of Castille
EVTNAME62922	The [Root.PrimaryTitle.GetTier] of Castille
EVTDESC62922	After centuries of subjugation, Castille has grown in power and autonomy. The time has come to be recognized as an equal by the other rulers in our region!
EVTOPTA62922	The crown fits me perfectly!
#EVTDESC62923	[From.GetTitledName] has been created King of Castille due to the prestige of [From.GetPossPronoun] independent rule over [From.GetPossPronoun] ancestral lands.
EVTOPTA62923	One more kingdom?
EVTTOOLTIP62924	I'm crowned King of Portugal
EVTNAME62924	The [Root.PrimaryTitle.GetTier] of Portugal
EVTDESC62924	After centuries of subjugation, Portugal has grown in power and autonomy. The time has come to be recognized as an equal by the other rulers in our region!
#EVTDESC62925	[From.GetTitledName] has been created King of Portugal due to the prestige of [From.GetPossPronoun] independent rule over [From.GetPossPronoun] ancestral lands.
EVTTOOLTIP62926	I'm crowned King of Aragon
EVTNAME62926	The [Root.PrimaryTitle.GetTier] of Aragon
EVTDESC62926	The little County of Aragon, created by the Franks long ago, has become such a prestigious title that many almost considered it to have the prestige of a [From.PrimaryTitle.GetTier]. Now let it be so!
#EVTDESC62927	[From.GetTitledName] has been created King of Aragon due to the prestige of [From.GetPossPronoun] independent rule over [From.GetPossPronoun] ancestral lands.
EVTDESC_HL_2000	A powerful minor Clan has risen up in [Root.GetName], led by their charismatic chieftain. They demand a place among the major clans!
EVTOPTA_HL_2000	We shall see who proves the stronger!
EVTDESC_HL_2001	A powerful minor Clan has risen up in [From.GetName], led by their charismatic chieftain. They demand a place among the major clans!
EVTDESC_HL_2010	The minor Clan rising has gained more support in [Root.GetName], reinforcing the ongoing revolt!
EVTDESC_HL_2011	The minor Clan rising has gained more support in [From.GetName], reinforcing the ongoing revolt!
title_behi	Behi
title_behi_desc	This title was given to women in the families within the Mongolian nobility.
title_master_of_the_eagle	Master of the Eagle
title_master_of_the_eagle_desc	The Mongolian warriors used eagles to aid them while hunting. Being responsible for the training of these companions was a great honor.
EVTNAME60500	The Mongols
EVTDESC60500	Word has reached us that an ambitious Khan from beyond the great mountains has set out to unite the clans of the great steppe. It is also said by men who read the stars that this Khan is destined to become the ruler of the world.
EVTOPTA60500	What could those equestrians hope to accomplish?
EVTOPTB60500	That should be nothing to worry about.
EVTOPTC60500	No-one will rule over our people!
GENGHIS_KHAN	Genghis Khan
greatest_of_khans	Greatest of Khans
become_genghis_khan	Become Greatest of Khans
become_genghis_khan_desc	A Mongolian ruler who manages to unite the clans of the Great Steppe may claim the title of Genghis Khan, Greatest of Khans. While unifying the people of the step is quite a challenge, fullfilling the prophecy of ultimately becoming the leader of the world may prove to be even harder.
become_genghis_khan_tribal	Become Greatest of Khans
become_genghis_khan_tribal_desc	A Mongolian ruler who manages to unite the clans of the Great Steppe may claim the title of Genghis Khan, Greatest of Khans. While unifying the people of the steppe is quite a challenge, fullfilling the prophecy of ultimately becoming the leader of the world may prove to be even harder.
EVTNAME60520	The Mongols
EVTDESC60520	The many Khans of the steppe have been rallied under the same banner. The leader that managed to unite them all is [From.GetFirstName] of [From.PrimaryTitle.GetName]. The people of the steppe now call their leader Genghis Khan, Greatest of Khans, and have set their minds not only on ruling the steppes but to spread throughout the world. Is there anyone who can stop the thundering armies of thousands of hooves?
EVTOPTA_60520	I truly am great!
EVTOPTB_60520	Something has to be done to stop them!
EVTOPTC_60520	[From.GetFirstName] truly is the Greatest of Khans!
strategic_innovation	Strategic Innovation
EVTOPTC_94019	I'll use this knowledge to my advantage!
EVTDESC_WOL_10999	More than a month has passed since you set out with your expedition, and you have yet to find a suitable trade partner anywhere. Your crew is homesick, and have now turned the company around to head home.
EVTOPTA_WOL_10999	Tough luck.
#EVTDESC_HL_8005_mother	As your mother's heir it falls upon you to bring her to the mountains. She will be offered to the birds of prey, and in death she will generously share her flesh with all living creatures.
#EVTDESC_HL_8005_sister	Without any heirs of her own, it falls upon you to bring your sister to the mountains. She will be offered to the birds of prey, and in death she will generously share her flesh with all living creatures.
tooltip_not_busy	Is NOT already busy\n
EVTOPTB5051	I should take the bird out for some hunting instead.
no_horse_breeder_1	Horse Breeder
no_horse_breeder_2	Horse Breeder
no_horse_breeder_3	Horse Breeder
no_horse_breeder_4	Horse Breeder
no_horse_breeder_5	Horse Breeder
no_horse_breeder_6	Horse Breeder
no_horse_breeder_7	Horse Breeder
no_horse_breeder_8	Horse Breeder
#no_horse_breeder_desc	
no_wrestling_1	Wrestling
no_wrestling_2	Wrestling
no_wrestling_3	Wrestling
no_wrestling_4	Wrestling
no_wrestling_5	Wrestling
no_wrestling_6	Wrestling
no_wrestling_7	Wrestling
no_wrestling_8	Wrestling
no_wrestling_desc	In the wrestling pit people fight for glory and enjoyment.
no_shrine_1	Shrine
no_shrine_2	Shrine
no_shrine_3	Shrine
no_shrine_4	Shrine
no_shrine_5	Shrine
no_shrine_6	Shrine
no_shrine_7	Shrine
no_shrine_8	Shrine
no_shrine_desc	At the shrine people can practice the main religious rituals and ceremonies.
no_ox_wagon_1	Ox & Wagon
no_ox_wagon_2	Ox & Wagon
no_ox_wagon_3	Ox & Wagon
no_ox_wagon_4	Ox & Wagon
no_ox_wagon_5	Ox & Wagon
no_ox_wagon_6	Ox & Wagon
no_ox_wagon_7	Ox & Wagon
no_ox_wagon_8	Ox & Wagon
no_ox_wagon_desc	Wagons pulled by oxen are used to move villages and supplies. Yurts were commonly moved fully assembled to achieve a mobile community.
no_sheep_1	Sheep
no_sheep_2	Sheep
no_sheep_3	Sheep
no_sheep_4	Sheep
no_sheep_5	Sheep
no_sheep_6	Sheep
no_sheep_7	Sheep
no_sheep_8	Sheep
no_sheep_desc	Sheep wool is used to make felt in addition to the meat that the sheep provide.
no_hunting_parties_1	Hunting Parties
no_hunting_parties_2	Hunting Parties
no_hunting_parties_3	Hunting Parties
no_hunting_parties_4	Hunting Parties
no_hunting_parties_5	Hunting Parties
no_hunting_parties_6	Hunting Parties
