#CODE	ENGLISH	GALEGO
AIREASON_CLOSE_RELATIVE	§Y[GetTitledFirstName]§! is a Close Relative	§Y[GetTitledFirstName]§! é un parente próximo
AIREASON_DARE_NOT_REFUSE	Dare not refuse	Non ousa dicir que non
AIREASON_CONFLICTING_INTERESTS	Conflicting Interests	Intereses en conflito
AIREASON_SAME_REALM	Same Realm	Mesmo reino
AIREASON_GREED	Greed	Cobiza
AIREASON_LAND_IS_GOOD	Land is Good	A terra é boa
AIREASON_FEAR	Fear of §Y[GetTitledFirstName]§!	Medo a §Y[GetTitledFirstName]§!
AIREASON_GOLD_IS_GOOD	Gold is Good	O ouro é bo
AIREASON_CONSANGUINITY	Consanguinity	Consanguineidade
AIREASON_TOO_YOUNG	§Y[GetTitledFirstName]§! is too young	§Y[GetTitledFirstName]§! é novo de máis
AIREASON_GOT_MORE_ADVANCED_PLOT	Already leading a similar Plot	Xa lidera unha conxura semellante
AIREASON_GOT_SAME_PLOT	Has got the same Plot	Xa forma parte da mesma conxura
AIREASON_BACKING_SIMILAR_PLOT	Already backing a similar Plot	Xa está apoiando unha conxura semellante
AIREASON_LIEGE_REALM_ATTACKED	Realm under Foreign Attack	Reino baixo ataque estranxeiro
AIREASON_FIGHTING_WAR	Busy Fighting a War	Ocupado nunha guerra
AIREASON_WARY_OF_FOREIGN_INTERVENTION	Wary of Foreign Intervention	Cauteloso respecto as intervencións estranxeiras
AIREASON_AGE_POWER_DIFFERENCE	Age vs Suitor Power	Idade contra poder do pretendente
AIREASON_WE_LIKE_ENEMY_BETTER	We like your enemies too much	Os vosos inimigos gústannos demasiado
AIREASON_WE_LIKE_YOU_BETTER	We like you more than your enemies	Gustádesnos máis vosa mercé cos vosos inimigos
AIREASON_BASE_RELUCTANCE	Base Reluctance	Reticencias de base
AIREASON_SMALL_TIER_DIFF	Small difference in Rank	Diferencia de rango pequena
AIREASON_NOT_NEIGHBOR	Distant Realm	Reino distante
AIREASON_INFERTILE	Unlikely to have Children	Poucas probabilidades de ter fillos
#AIREASON_WANTS_GOOD_ALLIANCE	Desires a better Alliance	Desexa unha alianza mellor
alert_casus_belli_will_expire_instant	§YTemporary Casus belli against:§!	§YCasus belli temporal contra:§!
alert_casus_belli_will_expire_delayed	$LIST$.	$LIST$.
alert_build_province_improvement_instant	§YYou can build county improvements!§!	§YPodedes facer melloras na provincia mediante a construción!§!
alert_build_province_improvement_delayed	$LIST$	$LIST$
alert_troops_in_foreign_territory_instant	§YYou have troops in foreign territory.§!	§YTendes tropas en territorios estranxeiros.§!
alert_troops_in_foreign_territory_delayed	In $LIST$.	In $LIST$.
alert_revoltrisk_in_provinces_instant	§YRevolts Possible§!	§YPosibilidade de revoltas§!
alert_revoltrisk_in_provinces_delayed	The following counties run a risk of having a revolt:\n$LIST$	Hai risco de revoltas nas seguintes provincias:\n$LIST$
alert_noheir_delayed	If your ruler dies now the game will end!	Se o teu gobernante morre agora, a partida rematará!
alert_court_not_filled_instant	§YOpen Council Positions§!	§YCargos sen asignar no consello§!
alert_court_not_filled_delayed	The following spots need to be filled:\n$LIST$\n§GClick to go to Court View§!	deben encherse os seguintes postos:\n$LIST$\n§GPulsa para ir á Vista de corte§!
alert_lose_title_on_succ_instant	§YTitle Loss on Succession§!	§YPerda de títulos na sucesión§!
alert_lose_title_on_succ_delayed	The following titles will be lost on succession:\n$LIST$	Na sucesión hanse perder os seguintes títulos:\n$LIST$
alert_should_nominate_heir_instant	§YSuccessor Nomination§!	§YNomeamento do sucesor§!
alert_should_nominate_heir_delayed	You should nominate successors for these titles:\n$LIST$	Debes nomear sucesores para estes títulos:\n$LIST$
alert_you_can_create_titles_instant	§Y$NUM$ Title(s) can be Created§!	§YPódense crear $NUM$ título(s)§!
alert_you_can_create_titles_delayed	The following titles can be created:\n$LIST$	Pódense crear os seguintes títulos:\n$LIST$
alert_you_can_usurp_titles_instant	§Y$NUM$ Title(s) can be Usurped§!	§YPódense usurpar $NUM$ título(s)§!
alert_you_can_usurp_titles_delayed	The following titles can be usurped:\n$LIST$	Pódense usurpar os seguintes títulos:\n$LIST$
alert_ruler_should_marry_instant	§YRuler Unmarried§!	§YGobernante solteiro§!
alert_ruler_should_marry_delayed	You should get married\n§GClick to go to Character View§!	Deberías casar\n§GPulsa para ir á Vista de personaxe§!
alert_heir_should_marry_instant	§YUnmarried Heir§!	§YHerdeiro solteiro§!
alert_heir_should_marry_delayed	$HEIR$ should get married\n§GClick to go to Character View§!	$HEIR$ debería casar\n§GPulsa para ir á Vista de personaxe§!
alert_should_appoint_guardian_instant	§Y$NUM$ Children Lack a Guardian§!	§YHai $NUM$ nenos que non teñen gardián§!
alert_should_appoint_guardian_delayed	The following children need a guardian:\n$LIST$	Os seguintes nenos precisan un gardián:\n$LIST$
#alert_demesne_too_big_instant	§YDemesne too Big§!	§YA herdade é grande de máis§!
#alert_demesne_too_big_delayed	Your demesne has §Y$NUM$§!/§Y$MAX$§! holdings, causing inefficient taxation and resentment among your vassals.	A túa herdade ten §Y$NUM$§!/§Y$MAX$§! propiedades, o cal causa unha recadación ineficiente e resentimento entre os teus vasalos.
alert_adult_sons_notitle_instant	§YUnlanded Sons§!	§YFillos sen terras§!
alert_adult_sons_notitle_delayed	The following adult sons do not hold any land:\n$LIST$	Os seguintes fillos adultos non teñen terras:\n$LIST$
alert_betrothed_should_marry_instant	§YBetrothed can Marry§!	§YOs prometidos poden casar§!
alert_betrothed_should_marry_delayed	The following betrothed characters can get married:\n$LIST$	Os seguintes personaxes están prometidos e poden casar:\n$LIST$
alert_can_imprison_instant	§YRighteous Imprisonment§!	§YCondena xustificada§!
alert_can_imprison_delayed	You can imprison the following subjects without incurring tyranny:\n$LIST$	Podes mandar os seguintes súbditos ao cárcere sen que se considere un acto tiránico:\n$LIST$
alert_titles_may_pass_from_realm_instant	§YVassal Inheritance Warning§!	§YAdvertencia de herdanza de vasalo§!
alert_titles_may_pass_from_realm_delayed	There are vassals with worrisome lines of succession.\nOn death, their titles might pass from your Realm:\n$LIST$	Hai vasalos con liñas de sucesión preocupantes.\nOs seus títulos poderían saír do teu reino cando morran:\n$LIST$
alert_can_call_vassals_to_arms_instant	§YWe can call in vassals of our former liege§!	§YPodemos pedir axuda aos vasalos do noso antigo señor§!
alert_can_call_vassals_to_arms_delayed	The following vassals can join our war against our former liege:\n$LIST$	Os seguintes vasalos pódense unir á nosa guerra contra o noso antigo señor:\n$LIST$
CLICK_TO_ROTATE	§GClick to cycle through the list§!	§GPulsa para percorrer a lista§!
ALERT_RIGHTCLICK	§GRight-click to show dismiss buttons§!	§GPulsa co botón dereito para mostrar os botóns de ignorar avisos§!
ALERT_DISMISS	Dismiss for now	Ignorar polo de agora
ALERT_DISMISS_ALWAYS	Disable	Desactivar
alert_available_decision_instant	§YNew Important Decisions are Available§!	§YHai novas Decisións importantes dispoñibles§!
alert_available_decision_delayed	The following important Decisions are available:\n$LIST$	As seguintes Decisións importantes agora están dispoñibles:\n$LIST$
alert_available_plot_instant	§YNew Plots are Available§!	§YHai novas conxuras dispoñibles§!
alert_available_plot_delayed	The following Plots have become available:\n$LIST$	As seguintes conxuras agora están dispoñibles:\n$LIST$
#ca_wall_q_1	Shallow Castle Moat	Foso de castelo pouco profundo
#ca_wall_q_2	Arrow Slits	Seteiras
#ca_wall_q_3	Portcullis	Reixa levadiza
#ca_wall_q_4	Deep Castle Moat	Foso de castelo profundo
#ca_wall_q_5	Barbicans	Barbacás
#ca_wall_1	Wooden Palisade	Palizada de madeira
#ca_wall_2	Low Stone Wall	Muro baixo de pedra
#ca_wall_3	Medium Stone Wall	Muro medio de pedra
#ca_wall_4	Large Stone Wall	Muro grande de pedra
#ca_wall_5	Huge Stone Wall	Muro enorme de pedra
#ca_keep_1	Castle Donjon	Torre de homenaxe
ca_keep_1	Keep	Torre da homenaxe
ca_keep_2	Keep	Torre da homenaxe
ca_keep_3	Keep	Torre da homenaxe
ca_keep_4	Keep	Torre da homenaxe
ca_keep_5	Keep	Torre da homenaxe
ca_keep_6	Keep	Torre da homenaxe
#ca_keep_3	Expanded Keep	Torre da homenaxe ampliada
#ca_keep_4	Large Keep	Torre da homenaxe grande
ca_militia_barracks_1	Militia Training Ground	Campo de adestramento da milicia
ca_militia_barracks_2	Militia Training Ground	Campo de adestramento da milicia
ca_militia_barracks_3	Militia Training Ground	Campo de adestramento da milicia
ca_militia_barracks_4	Militia Training Ground	Campo de adestramento da milicia
#ca_militia_barracks_2	Archery Range	Zona de arqueiros
#ca_militia_barracks_3	Large Archery Range	Zona de arqueiros grande
ca_training_grounds_1	Training Grounds	Campos de adestramento
ca_training_grounds_2	Training Grounds	Campos de adestramento
ca_training_grounds_3	Training Grounds	Campos de adestramento
ca_warrior_cult	Warrior Cult	Culto guerreiro
ca_culture_saxon_english_1	Longbow Range	Zona de arqueiros de arco longo
ca_culture_saxon_english_2	Longbow Range	Zona de arqueiros de arco longo
ca_culture_saxon_english_3	Longbow Range	Zona de arqueiros de arco longo
ca_culture_saxon_english_4	Longbow Range	Zona de arqueiros de arco longo
#ca_culture_saxon_english_3	Expanded Longbow Range	Zona de arqueiros de arco longo ampliada
#ca_culture_saxon_english_4	Large Longbow Range	Zona de arqueiros de arco longo ampliada
ca_culture_group_baltic_1	Warrior Gathering Ground	Campo de reunión de guerreiros
ca_culture_group_baltic_2	Warrior Gathering Ground	Campo de reunión de guerreiros
ca_culture_group_baltic_3	Warrior Gathering Ground	Campo de reunión de guerreiros
ca_culture_group_baltic_4	Warrior Gathering Ground	Campo de reunión de guerreiros
#ca_culture_frank_norman_german_1	Squire Lists	Lizas de escudeiros
#ca_culture_frank_norman_german_2	Knight Lists	Lizas de cabaleiros
#ca_culture_frank_norman_german_3	Chevalier Lists	Lizas de cabaleiros franceses
ca_culture_frank_norman_german_1	Jousting Lists	Lizas de xustas
ca_culture_frank_norman_german_2	Jousting Lists	Lizas de xustas
ca_culture_frank_norman_german_3	Jousting Lists	Lizas de xustas
ca_culture_frank_norman_german_4	Jousting Lists	Lizas de xustas
ca_culture_group_iberian_1	Caballero Training Ground	Zona de adestramento de xinetes
ca_culture_group_iberian_2	Caballero Training Ground	Zona de adestramento de xinetes
ca_culture_group_iberian_3	Caballero Training Ground	Zona de adestramento de xinetes
ca_culture_group_iberian_4	Caballero Training Ground	Zona de adestramento de xinetes
#ca_culture_group_iberian_1	Small Caballero Training Ground	Zona de adestramento de xinetes pequena
#ca_culture_group_iberian_2	Caballero Training Ground	Zona de adestramento de xinetes
#ca_culture_group_iberian_3	Large Caballero Training Ground	Zona de adestramento de xinetes grande
#ca_culture_italian_1	Small Pike Training Ground	Zona de adestramento de piqueiros pequena
ca_culture_italian_1	Pike Training Ground	Zona de adestramento de piqueiros
ca_culture_italian_2	Pike Training Ground	Zona de adestramento de piqueiros
ca_culture_italian_3	Pike Training Ground	Zona de adestramento de piqueiros
ca_culture_italian_4	Pike Training Ground	Zona de adestramento de piqueiros
#ca_culture_italian_3	Large Pike Training Ground	Zona de adestramento de piqueiros grande
#ca_culture_russian_1	Small Druzhina Training Ground	Zona de adestramento da druzhina pequena
ca_culture_russian_1	Druzhina Training Ground	Zona de adestramento da druzhina
ca_culture_russian_2	Druzhina Training Ground	Zona de adestramento da druzhina
ca_culture_russian_3	Druzhina Training Ground	Zona de adestramento da druzhina
ca_culture_russian_4	Druzhina Training Ground	Zona de adestramento da druzhina
#ca_culture_russian_3	Large Druzhina Training Ground	Zona de adestramento da druzhina grande
city_barracks	Militia Barracks	Barracóns da milicia
city_barracks_2	Enlarged Militia Barracks	Barracóns ampliados da milicia
city_stable	Militia Stable	Corte dos cabalos da milicia
#ct_wall_q_1	City Moat	Foso da cidade
#ct_wall_q_2	City Gatehouse	Porta fortificada da cidade
#ct_wall_q_3	City Portcullis	Reixa levadiza da cidade
#ct_wall_q_4	Deep City Moat	Foso profundo da cidade
#ct_wall_q_5	City Barbicans	Barbacás da cidade
#ct_wall_1	Town Palisade	Palizada da vila
#ct_wall_2	Small City Wall	Muro da cidade pequeno
#ct_wall_3	Medium City Wall	Muro da cidade mediano
#ct_wall_4	Large City Wall	Muro da cidade grande
#ct_wall_5	Huge City Wall	Muro da cidade enorme
#ct_training_grounds_2	Small Militia Training Grounds	Campos de adestramento da milicia pequenos
#ct_training_grounds_3	Medium Militia Training Grounds	Campos de adestramento da milicia medios
#ct_training_grounds_4	Large Militia Training Grounds	Campos de adestramento da milicia grandes
#ct_training_grounds_5	Huge Militia Training Grounds	Campos de adestramento da milicia enormes
#ct_barracks_1	Militia Mustering Grounds	Campos de alistamento da milicia
#ct_barracks_2	Militia Mustering Grounds	Campos de alistamento da milicia
#ct_barracks_3	Militia Mustering Grounds	Campos de alistamento da milicia
#ct_barracks_4	Militia Mustering Grounds	Campos de alistamento da milicia
#ct_barracks_5	Militia Mustering Grounds	Campos de alistamento da milicia
#ct_barracks_6	Militia Mustering Grounds	Campos de alistamento da milicia
#ct_barracks_2	City Archery Range	Zona de arqueiros da cidade
#ct_barracks_3	Large Militia Mustering Grounds	Campos de alistamento da milicia grandes
#ct_barracks_4	Large City Archery Range	Campos de alistamento da milicia medios
#ct_barracks_5	Huge Militia Mustering Grounds	Campos de alistamento da milicia enormes
#ct_barracks_6	Huge City Archery Range	Zona de arqueiros da cidade enorme
ct_marketplace_1	Town Market	Mercado da vila
ct_marketplace_2	City Guild Hall	Casa do concello
ct_marketplace_3	Toll Booth	Portádego
ct_marketplace_4	Court	Tribunal
ct_marketplace_5	Assay Office	Casa da moeda
ct_marketplace_6	Fair	Feira
#ct_port_1	Small Harbour	Small Harbour
#ct_port_2	Harbour	Harbour
#ct_port_3	Small Port	Small Port
#ct_port_4	Medium Port	Medium Port
#ct_port_5	Large Port	Large Port
#tp_wall_q_2	Church Gatehouse	Church Gatehouse
#tp_wall_q_3	Church Portcullis	Church Portcullis
#tp_wall_q_4	Deep Church Moat	Deep Church Moat
#tp_wall_q_5	Church Barbicans	Church Barbicans
#tp_wall_1	Church Palisade	Church Palisade
#tp_wall_2	Small Church Wall	Small Church Wall
#tp_wall_3	Medium Church Wall	Medium Church Wall
#tp_wall_4	Large Church Wall	Large Church Wall
#tp_wall_5	Huge Church Wall	Huge Church Wall
#tp_monastery_1	Small Church	Small Church
tp_monastery_1	Church	Igrexa
tp_monastery_2	Church	Igrexa
tp_monastery_3	Church	Igrexa
#tp_monastery_3	Large Church	Large Church
tp_monastery_4	Cathedral	Catedral
tp_monastery_5	Cathedral	Catedral
tp_monastery_6	Cathedral	Catedral
#tp_monastery_5	Large Cathedral	Large Cathedral
#tp_monastery_6	Grand Cathedral	Grand Cathedral
tp_town_1	Church Town	Vila da igrexa
tp_town_2	Church Town	Vila da igrexa
tp_town_3	Church Town	Vila da igrexa
tp_town_4	Church Town	Vila da igrexa
tp_town_5	Church Town	Vila da igrexa
tp_town_6	Church Town	Vila da igrexa
#tp_town_3	Large Church Town	Large Church Town
#tp_town_4	Church City	Church City
#tp_town_5	Large Church City	Large Church City
GIVEN_GOLD	$NAME$ receives $GOLD$¤	$NAME$ recibe $GOLD$¤
CB_NAME_CLAIM	Claim [Title.GetBaseName]	Reclama [Title.GetBaseName]
WAR_NAME_CLAIM	$ORDER$$FIRST_ADJ$ Claim on $OTHER_TITLE$ War	$ORDER$ Guerra $FIRST_ADJ$ pola reclamación do título: $OTHER_TITLE$
CB_NAME_SENIORITY_SUCCESSION_LAW	Seniority Succession Law	Lei de sucesión por antigüidade
WAR_NAME_SENIORITY_SUCCESSION_LAW	$ORDER$$SECOND_ADJ$ Civil War for Seniority	$ORDER$ Guerra Civil $SECOND_ADJ$ pola sucesión por antigüidade
CB_NAME_PRIMOGENITURE_SUCCESSION_LAW	Primogeniture Succession Law	Lei de sucesión por primoxenitura
WAR_NAME_PRIOGENITURE_SUCCESSION_LAW	$ORDER$$SECOND_ADJ$ Civil War for Primogeniture	$ORDER$ Guerra Civil $SECOND_ADJ$ pola sucesión por primoxenitura
CB_NAME_FEUDAL_ELECTIVE_SUCCESSION_LAW	Elective Monarchy Succession Law	Lei de sucesión da monarquía electiva
WAR_NAME_FEUDAL_ELECTIVE_SUCCESSION_LAW	$ORDER$$SECOND_ADJ$ Civil War for Elective Monarchy	$ORDER$ Guerra Civil $SECOND_ADJ$ pola monarquía electiva
CB_NAME_RELIGIOUS	Holy War for [Title.GetBaseName]	Guerra santa por [Title.GetBaseName]
WAR_NAME_RELIGIOUS	$ORDER$$FIRST_ADJ$ Holy War for $OTHER_TITLE$	$ORDER$ Guerra santa $FIRST_ADJ$ por $OTHER_TITLE$
CB_NAME_CRUSADE	$HOLY_WAR$ for [Title.GetBaseName]	$HOLY_WAR$ por [Title.GetBaseName]
CB_NAME_EXCOMMUNICATED_RULER	Excommunicated ruler	Gobernante excomungado
WAR_NAME_EXCOMMUNICATED_RULER	$ORDER$$FIRST_ADJ$-$SECOND_ADJ$ Excommunication War	$ORDER$ Guerra $FIRST_ADJ$-$SECOND_ADJ$ de excomuñón
CB_NAME_INDEPENDENCE	Independence	Independencia
WAR_NAME_INDEPENDENCE	$ORDER$War of $FIRST_ADJ$ Independence	$ORDER$ Guerra da independencia $FIRST_ADJ$
CB_NAME_OVERTHROWRULER	Overthrow ruler	Derrocamento do gobernante
WAR_NAME_OVERTHROWRULER	$ORDER$War against the Tyranny of $DEFENDER$	$ORDER$ Guerra contra a tiranía de $DEFENDER$
CB_NAME_SUCCESSION	Dispute Succession	Disputa da sucesión
WAR_NAME_SUCCESSION	$ORDER$$SECOND_ADJ$ Succession Crisis	$ORDER$ Guerra de sucesión $SECOND_ADJ$
#CB_NAME_DEJUREBARONYCLAIM	De Jure Claim on [Title.GetBaseName]	Reclamación do condado en [Title.GetBaseName]
#WAR_NAME_DEJUREBARONYCLAIM	$ORDER$$FIRST_ADJ$-$SECOND_ADJ$ De Jure War over $OTHER_TITLE$	$ORDER$ Guerra condal $FIRST_ADJ$-$SECOND_ADJ$ sobre $OTHER_TITLE$
ON_CB_ADD_DESC	§YWhen we declare war:§W\n	§YAo declarar a guerra:§W\n
ON_CB_SUCCESS_DESC	§YIf we win the war:§W\n	§YSe gañamos a guerra:§W\n
ON_CB_FAIL_DESC	§YIf we make a white peace:§W\n	§YSe pactamos unha paz branca:§W\n
ON_CB_REVERSEDEMAND_DESC	§YIf we lose the war:§W\n	§YSe perdemos a guerra:§W\n
ON_CB_ATTACKERDEATH_DESC	§YIf leader of attacking alliance dies:§W\n	§YSe morre o líder da alianza que está a atacar:§W\n
ON_CB_DEFENDERDEATH_DESC	§YIf leader of defending alliance dies:§W\n	§YSe morre o líder da alianza que se está a defender:§W\n
ON_CB_THIRDPARTY_DESC	§YIf $CHARACTER$ dies:§W\n	§YSe morre $CHARACTER$:§W\n
CB_NAME_CLAIM_ALL	Press all Claims	Aplicar todas as reclamacións
WAR_NAME_CLAIM_LIEGE	$ATTACKER$'s $ORDER$War for $OTHER_TITLE$	$ORDER$ Guerra de $ATTACKER$ polo título: $OTHER_TITLE$
claim_desc	This Casus Belli can be used by §Y$CLAIMANT$§! to press the claim on the §Y$TITLE$§!	§Y$CLAIMANT$§! pode usar este Casus Belli para aplicar a súa reclamación de §Y$TITLE$§!
claim_on_liege_desc	This Casus Belli can be used by §Y$CLAIMANT$§! to press the claim on the §Y$TITLE$§!	§Y$CLAIMANT$§! pode usar este Casus Belli para aplicar a súa reclamación de §Y$TITLE$§!
other_claim_on_liege_desc	This Casus Belli can be used by §Y$PRESSER$§! to press §Y$CLAIMANT$'s§! claim on the §Y$TITLE$§!	§Y$PRESSER$§! pode usar este Casus Belli para aplicar a reclamación de §Y$CLAIMANT$'s§! de §Y$TITLE$§!
invasion_desc	§Y$CLAIMANT$§! has been granted the right to invade the §Y$TITLE$§!. If successful, the titles to all currently occupied holdings will be seized.	Concedéuselle a §Y$CLAIMANT$§! o dereito de invadir o §Y$TITLE$§!. Se ten éxito, incautará os títulos de todas as propiedades do $TITLE$ actualmente ocupadas.
excommunicated_ruler_desc	§Y$TARGET$§! has been excommunicated, a just cause for war if ever there was one!	§Y$CLAIMANT$§! pode usar este Casus Belli para incautar todos os títulos que posúe o infiel §Y$TARGET$§! que dependan de iure do §Y$TITLE$§!.
bid_for_independence_desc	§Y$CLAIMANT$§! can attempt to declare independence from §Y$TARGET$§!	Excomungouse a §Y$TARGET$§!, unha causa xusta para declararlle a guerra se é que tal cousa existe!
overthrow_ruler_desc	§Y$TARGET$§! has tried and failed to imprison §Y$CLAIMANT$§!, which has resulted in an armed conflict	§Y$CLAIMANT$§! pode intentar declarar a súa independencia con respecto a §Y$TARGET$§!
dejure_county_claim_desc	The §Y$TITLE$§! is, de jure, a vassal of §Y$CLAIMANT$'s§!, which is cause enough for war.	§Y$TARGET$§! tratou de meter en prisión a §Y$CLAIMANT$§! e non tivo éxito, iniciando coa súa acción un conflito armado
#dejure_barony_claim_desc	The §Y$TITLE$§! is, de jure, a vassal of §Y$CLAIMANT$'s§!, which is cause enough for war.	O §Y$TITLE$§! é vasalo de iure do título de §Y$CLAIMANT$§!, o cal é motivo suficiente para unha guerra.
change_seniority_succession_law_desc	§Y$CLAIMANT$§! can declare war to change the succession law in the §Y$TITLE$§! to seniority!	O §Y$TITLE$§! é vasalo de iure do título de §Y$CLAIMANT$§!, o cal é motivo suficiente para unha guerra.
change_primogeniture_succession_law_desc	§Y$CLAIMANT$§! can declare war to change the succession law in the §Y$TITLE$§! to primogeniture!	§Y$CLAIMANT$§! pode declarar a guerra para cambiar a lei de sucesión pola de antigüidade no §Y$TITLE$§!!
change_feudal_elective_succession_law_desc	§Y$CLAIMANT$§! can declare war to change the succession law in the §Y$TITLE$§! to feudal elective!	§Y$CLAIMANT$§! pode declarar a guerra para cambiar a lei de sucesión pola de primoxenitura no §Y$TITLE$§!!
crusade_desc	§Y$CLAIMANT$§! can use this Casus Belli to seize all titles held by the infidel, §Y$TARGET$§!, within the de jure §Y$TITLE$§!.	§Y$CLAIMANT$§! pode declarar a guerra para cambiar a lei de sucesión pola monarquía electiva no §Y$TITLE$§!!
change_gavelkind_succession_law_desc	§Y$CLAIMANT$§! can declare war to change the succession law in the §Y$TITLE$§! to gavelkind!	§Y$CLAIMANT$§! pode usar este Casus Belli para incautar todos os títulos posuídos polo infiel §Y$TARGET$§!, dentro do §Y$TITLE$§! de iure.
CB_NAME_GAVELKIND_SUCCESSION_LAW	Gavelkind Succession Law	§Y$CLAIMANT$§! pode declarar a guerra para cambiar a lei de sucesión pola de partes iguais no §Y$TITLE$§!!
WAR_NAME_GAVELKIND_SUCCESSION_LAW	$ORDER$$SECOND_ADJ$ Civil War for Gavelkind	Lei de sucesión por partes iguais
lower_crown_authority_law_desc	§Y$CLAIMANT$§! can declare war to lower Crown Authority in the §Y$TITLE$§!	$ORDER$ Guerra Civil $SECOND_ADJ$ pola sucesión por partes iguais
CB_NAME_LOWER_CROWN_AUTHORITY_LAW	Lower Crown Authority	§Y$CLAIMANT$§! pode declarar a guerra para esixir unha autoridade da Coroa máis limitada no §Y$TITLE$§!
WAR_NAME_LOWER_CROWN_AUTHORITY_LAW	$ORDER$$SECOND_ADJ$ Civil War to lower Crown Authority	Autoridade da Coroa máis limitada
SEARCH_ALL	Search All	$ORDER$ Guerra Civil $SECOND_ADJ$ pola esixencia dunha limitación da autoridade da Coroa
SEARCH_REALM	Search Realm	Global
SEARCH_VASSALS	Search Vassals	No reino
CHAR_MARRIED	Married	Vasalos/as
CHAR_UNMARRIED	Unmarried	Casados/as
FILTER_YES	Yes	Solteiros/as
FILTER_NO	No	Si
FILTER_ANY	Any	Non
FILTER_RULER	Ruler	Calquera
FILTER_PRISON	In Prison	Gobernantes
FILTER_GENDER	Gender	No cárcere
FILTER_MARRIAGE	Married	Sexo
FILTER_ADULT	Adult	Casado/a
FILTER_LANDED_DYNASTY	Great House	Adulto
CHAR_NAME	Name	Gran dinastía
CHAR_BOTH	Both	Nome
YOUR_RELATION	Your $RELATION$	Ambos
YOU	You	O teu /A túa $RELATION$
CHARACTER_TOOLTIP	§Y[GetBestName]§!§P[GetHumanNameLine]§!§G[GetPlayerRelation]§!\n[GetHighestTitles]	Ti
CHARACTER_TOOLTIP_DELAYED	[GetStatusInfo]	§Y[GetBestName]§!§P[GetHumanNameLine]§!§G[GetPlayerRelation]§!\n[GetHighestTitles]
no_tactic	No Tactic	[GetStatusInfo]
generic_skirmish_tactic	Generic Skirmish Tactic	Sen táctica
harass_tactic	Harass Tactic	Táctica de escaramuza xenérica
volley_tactic	Volley Tactic	Táctica de acoso
swarm_volley_tactic	Swarm Volley Tactic	Táctica de salvas
swarm_tactic	Swarm Tactic	Táctica de salvas en enxame
shieldwall_tactic	Shieldwall Tactic	Táctica de enxame
fient_tactic	Feint Tactic	Táctica de muro de escudos
prepare_tactic	Prepare Tactic	Táctica de finta
charge_of_opportunity_tactic	Charge of Opportunity	Táctica de preparacións
charge_tactic	Charge Tactic	Táctica de carga de oportunidade
wait_tactic	Wait Tactic	Táctica de carga
advance_tactic	Advance Tactic	Táctica de espera
