#CODE	ENGLISH	ENGLISH
INTERACTION_RELIGION_MUST_MARRY_REGULARLY	$RELIGION$ characters cannot marry Matrilineally	$RELIGION$ characters cannot marry Matrilineally!
		The pillow talk of a spouse or concubine can be very persuasive. Perhaps these Children of Israel truly are God's chosen?
		Battlefield Terrain Master
		This character has mastered the craft of finding the perfect terrain for defensive battles.
		Narrow Flank
		Not possible to Usurp County Rank Titles!
		What have I become? No more steak for me.
		The game data files have been altered in some way, disabling achievements in Ironman mode. Check so you don't have a mod loaded or verify your game files.
		The realm has benefitted from the vast network of contacts that [From.GetTitledName], your Jewish [Root.GetChancellorName], has fostered abroad. Somehow [From.GetSheHe] always manages to keep up to date on new customs and the latest diplomatic developments.
		Excellent work.
		[From.GetTitledName], your [Root.GetTreasurerName], has several contacts among the Radhanites. This Jewish merchant network supposedly stretches across the entirety of the known world, from Western Europe all the way to distant Cathay, and these contacts have been a great boon to the development of the realm's economy.
		Your [Root.GetSpymasterName], [From.GetTitledName], seems to have friends and informants inside every Jewish community in Europe. Messenger pigeons arrive at [From.GetHerHis] abode on a daily basis, often carrying vital intelligence from abroad about new weapons and tactics.
		Jewish councillors will sometimes benefit the advancement of technology.
		Will honor the betrothal
		The Cathar, or Albigensian, heresy rejects confession and the holiness of the clergy and of the Pope. They only have a single sacrament - the Consolation - to remove sin and turn the believer into a Cathar 'Perfect'.  Defining features in-game:\n§Y*§! There is no religious head\n§Y*§! Cathars may install women as priests
		The Fraticelli, or 'Little Brethren', is a Catholic heresy that originated in the Fransiscan Order of monks. It is devoted to poverty and asceticism - especially for men of the cloth. Fraticelli heretics are violently opposed to Church wealth and displays of opulence. Defining features in-game:\n§Y*§! Can create the Fraticelli Papacy, if Rome is conquered\n§Y*§! The Pope can grant divorces\n§Y*§! The Pope can grant the Invasion Casus Belli\n§Y*§! The Pope can Excommunicate Fraticelli characters§Y*§! Fraticelli Bishops may pay tax to the Pope rather than their secular liege
		Bogomilism is an originally Orthodox Christian heresy with Gnostic elements that completely rejects the ecclesiastical hierarchy and advocates a return to early Christianity. Bogomilists believe that the world was created by an evil demiurge - the Devil. Defining features in-game:\n§Y*§! There is no religious head\n§Y*§! Bogomilists may install women as priests
		The Iconoclast heresy plagued the Byzantine Empire in multiple waves. Iconoclasts believe that religious images - icons and depictions of holy figures in particular - are a form of idolatry and must not be allowed. In their heyday, iconoclasts destroyed innumerable such decorations and icons, sometimes even urged on by Iconoclast Emperors. Defining features in-game:\n§Y*§! Can create the Iconoclast Patriarch if Constantinople is controlled\n§Y*§! Multiple Patriarchs - the five Pentarchs and Autocephalous Patriarchs under Kings\n§Y*§! Patriarchs can grant divorces\n§Y*§! The Iconoclast Patriarch can grant the Invasion Casus Belli\n§Y*§! Patriarchs can Excommunicate Orthodox characters
		The Yazidi religion is properly a distinct religion but is treated as a Sunni heresy in the game. Yazidis believe that God created the world and left seven angels in charge, the chief of whom is the Peacock Angel, Malek Taus or Shaytan, a being usually identified by Christians and Muslims as Satan. Defining features in-game:\n§Y*§! The Yazidi Sheikhdom is held by a secular ruler, and can cease to exist.\n§Y*§! The Yazidi Sheikh can subjugate other Yazidi rulers freely\n§Y*§! The Yazidi Sheikh can declare great Jihads\n§Y*§! Yazidi rulers can - and are expected to have - multiple wives\n§Y*§! Temple Holdings can be held by anyone without penalty\n§Y*§! Yazidi dynasties grow decadent unless the men have enough land and win wars
		Ibadism is distinct from both Shi'a and Sunni Islam. Ibadis believe that souls condemned to Hell will stay there forever. Ibadis also reject the notion that Muslims will get to see Allah on the Day of Judgment. Defining features in-game:\n§Y*§! The Ibadi Caliphate is held by a secular ruler, and can cease to exist.\n§Y*§! The Ibadi Caliph can subjugate other Ibadi rulers freely\n§Y*§! The Ibadi Caliph can declare great Jihads\n§Y*§! Ibadi rulers can - and are expected to have - multiple wives\n§Y*§! Temple Holdings can be held by anyone without penalty\n§Y*§! Ibadi dynasties grow decadent unless the men have enough land and win wars
		The Hurufi faith is a mystical, kabbalistic, Sufi sect within Islam, regarded as a heresy. Defining features in-game:\n§Y*§! The Hurufi Sheikhdom is held by a secular ruler, and can cease to exist.\n§Y*§! The Hurufi Sheikh can subjugate other Hurufi rulers freely\n§Y*§! The Hurufi Sheikh can declare great Jihads\n§Y*§! Hurufi rulers can - and are expected to have - multiple wives\n§Y*§! Mosque Holdings can be held by anyone without penalty\n§Y*§! Hurufi dynasties grow decadent unless the men have enough land and win wars
		Karaite Judaism is a Jewish movement characterized by the recognition of the Tanakh alone as its supreme legal authority in Jewish religious law and theology. In this it is distinct from mainstream Rabbinic Judaism. Karaites maintain that all of the divine commandments handed down to Moses by God were recorded in the written Torah, without additional Oral Law or explanation. In-game, Karaite Judaism is a heresy of mainstream Judaism. This heresy has no formal head and no special game mechanics.
		Samaritanism is an Abrahamic religion closely related to Judaism. Samaritans assert their worship is the true religion of the ancient Israelites prior to the Babylonian Exile, preserved by those who remained in the Land of Israel, as opposed to Judaism, which they assert is a related but altered and amended religion. In-game, Samaritanism is treated as a heresy of mainstream Judaism. This heresy has no formal head and no special game mechanics.
		Cardinal
		Expected Next Cardinal
		This bishop is probably next in line for a Cardinalship when one becomes available.
		My Best Cardinal Candidate
		Of all the bishops in my realm, this one is the likeliest to get appointed Cardinal by the Pope.
		Focus on mastering defensive terrain.
		Focus on siege tactics.
		Create the Ibadi Caliphate
		Create the Ibadi Caliphate and assume your position as spiritual leader of all true Ibadi Muslims.
		§RUNSUPPORTED§!
