#CODE	ENGLISH	ENGLISH
EVTDESC7500	My [Root.GetTitle], many of your faithful subjects, myself included, feel that [From.PlotTarget.GetTitledName] has amassed more power and titles than is warranted by [From.PlotTarget.GetHerHis] station. If you were to kindly advise [From.PlotTarget.GetHerHim] to abdicate the [From.PlotTargetTitle.GetFullName] to a vassal, know that this decision would enjoy our wholehearted support.\n\nSigned,\n[From.GetTitledName]	My [Root.GetTitle], many of your faithful subjects, myself included, feel that [From.PlotTarget.GetTitledName] has amassed more power and titles than is warranted by [From.PlotTarget.GetHerHis] station. If you were to kindly advise [From.PlotTarget.GetHerHim] to abdicate the [From.PlotTargetTitle.GetFullName] to a vassal, know that this decision would enjoy our wholehearted support.\n\nSigned,\n[From.GetTitledName]
EVTOPTA7500	A commendable initiative.	A commendable initiative.
EVTOPTB7500	I will have no part in this scheme.	I will have no part in this scheme.
EVTTOOLTIP7500	[Root.TopLiege.GetTitledFirstName] receives a letter.	[Root.TopLiege.GetTitledFirstName] receives a letter.
EVTDESC7501	We must confess to sharing in your concerns regarding the rising affluence of [Root.PlotTarget.GetTitledName]. For the good of the realm, we shall contact [Root.PlotTarget.GetHerHim] forthwith and seek the compromise you suggested.\n\nSigned,\n[From.GetTitledName]	We must confess to sharing in your concerns regarding the rising affluence of [Root.PlotTarget.GetTitledName]. For the good of the realm, we shall contact [Root.PlotTarget.GetHerHim] forthwith and seek the compromise you suggested.\n\nSigned,\n[From.GetTitledName]
EVTOPTA7501	Excellent!	Excellent!
EVTTOOLTIP7501	Receives your positive reply.	Receives your positive reply.
EVTDESC7502	Don't be a fool, [Root.GetFirstName]! I will not see this realm torn asunder by intrigue and connivery. Abandon this scheme now, or on my oath you'll come to regret it!\n\nSigned,\n[From.GetTitledName]	Don't be a fool, [Root.GetFirstName]! I will not see this realm torn asunder by intrigue and connivery. Abandon this scheme now, or on my oath you'll come to regret it!\n\nSigned,\n[From.GetTitledName]
EVTOPTA7502	I see.	I see.
EVTTOOLTIP7502	Receives your negative reply.	Receives your negative reply.
EVTDESC7504	My dear [Root.GetTitle], we hope this letter finds you in good health. We have been urged by certain concerned parties to take steps in restoring the precarious balance of power in the realm, and we think it best if you voluntarily abdicate the [From.PlotTargetTitle] to one of your vassals. We are certain you will agree.\n\nSigned,\n[From.Liege.GetTitledName]	My dear [Root.GetTitle], we hope this letter finds you in good health. We have been urged by certain concerned parties to take steps in restoring the precarious balance of power in the realm, and we think it best if you voluntarily abdicate the [From.PlotTargetTitle] to one of your vassals. We are certain you will agree.\n\nSigned,\n[From.Liege.GetTitledName]
EVTOPTA7504	Very well.	Very well.
EVTOPTB7504	Has he gone insane?	Has he gone insane?
EVTTOOLTIP7504	[Root.PlotTarget.GetTitledName] receives a thinly veiled ultimatum from the [Root.Liege.GetTitle].	[Root.PlotTarget.GetTitledName] receives a thinly veiled ultimatum from the [Root.Liege.GetTitle].
EVTDESC7505	You have upset the delicate balance of power in the realm, [From.PlotTarget.GetTitledFirstName]. Relinquish control of the [From.PlotTargetTitle.GetFullName] to one of your vassals for the good of all, lest my confederates and I accomplish the same through force of arms.\n\nSigned,\n[From.GetTitledName]	You have upset the delicate balance of power in the realm, [From.PlotTarget.GetTitledFirstName]. Relinquish control of the [From.PlotTargetTitle.GetFullName] to one of your vassals for the good of all, lest my confederates and I accomplish the same through force of arms.\n\nSigned,\n[From.GetTitledName]
EVTOPTA7505	I have little choice.	I have little choice.
EVTOPTB7505	Never!	Never!
EVTOPTC7505	There are no eligible vassals, so you will have to take it yourself.	There are no eligible vassals, so you will have to take it yourself.
EVTTOOLTIP7505	[Root.PlotTarget.GetTitledName] receives a letter.	[Root.PlotTarget.GetTitledName] receives a letter.
EVTDESC7506	Though I am sure I shall curse your name until the end of times, I will agree to your demand in the interest of peace.\n\nSigned,\n[From.GetTitledName]	Though I am sure I shall curse your name until the end of times, I will agree to your demand in the interest of peace.\n\nSigned,\n[From.GetTitledName]
EVTOPTA7506	Excellent.	Excellent.
EVTDESC7507	I would no sooner surrender the [Root.PlotTargetTitle.GetFullName] than I would my right arm. If you and your little friends can muster the courage to face me, I shall gladly see you cut down to the last man. Come then!\n\nSigned,\n[From.GetTitledName]	I would no sooner surrender the [Root.PlotTargetTitle.GetFullName] than I would my right arm. If you and your little friends can muster the courage to face me, I shall gladly see you cut down to the last man. Come then!\n\nSigned,\n[From.GetTitledName]
EVTOPTA7507	You will choke on those words, my dear [From.GetTitle].	You will choke on those words, my dear [From.GetTitle].
EVTOPTB7507	Perhaps I should not risk war...	Perhaps I should not risk war...
EVTTOOLTIP7507	Ultimatum rejected.	Ultimatum rejected.
EVTDESC7508	You put me in a difficult position, my liege, but if you feel this is the best course of action, then so be it. I shall surrender the title.\n\nSigned,\n[From.GetTitledName]	You put me in a difficult position, my liege, but if you feel this is the best course of action, then so be it. I shall surrender the title.\n\nSigned,\n[From.GetTitledName]
EVTOPTA7508	Very good.	Very good.
EVTOPTA7509	The insolence!	The insolence!
EVTDESC7510	The [Root.Liege.GetTitle] has managed to arrange the abdication. [Root.PlotTarget.GetTitledFirstName] now rules the [Root.PlotTargetTitle.GetFullName].	The [Root.Liege.GetTitle] has managed to arrange the abdication. [Root.PlotTarget.GetTitledFirstName] now rules the [Root.PlotTargetTitle.GetFullName].
EVTOPTA7510	Good.	Good.
EVTDESC7511	[Root.PlotTarget.GetTitledFirstName] has refused the [Root.Liege.GetTitle]'s reasonable request to abdicate the [Root.PlotTargetTitle.GetFullName], but at least this has given your liege the impetus to potentially revoke it in the future. It appears you will have to settle on this arrangement for now.	[Root.PlotTarget.GetTitledFirstName] has refused the [Root.Liege.GetTitle]'s reasonable request to abdicate the [Root.PlotTargetTitle.GetFullName], but at least this has given your liege the impetus to potentially revoke it in the future. It appears you will have to settle on this arrangement for now.
EVTOPTA7511	So be it.	So be it.
EVTDESC7515	Through the machinations of a secret conspiracy of noblemen, [From.GetTitledName] has been forced to abdicate one of [From.GetHerHis] duchies. After much deliberation, the lords of the realm have finally managed to agree on you as the least offensive candidate for the title. Congratulations, [From.GetTitle].	Through the machinations of a secret conspiracy of noblemen, [From.GetTitledName] has been forced to abdicate one of [From.GetHerHis] duchies. After much deliberation, the lords of the realm have finally managed to agree on you as the least offensive candidate for the title. Congratulations, [From.GetTitle].
EVTOPTA7515	Good things come to those who wait.	Good things come to those who wait.
EVTDESC7517	[From.GetTitledName] had no eligible vassals to receive the title, so it has been granted to you instead to do with as you see fit.	[From.GetTitledName] had no eligible vassals to receive the title, so it has been granted to you instead to do with as you see fit.
PLOT_TOOLTIP_WEAKEN_VASSAL	[This.Holder.GetTitledName] is no longer the ruler of the [This.GetFullName].	[This.Holder.GetTitledName] is no longer the ruler of the [This.GetFullName].
CB_NAME_WEAKEN_VASSAL	Claim [Title.GetName]	Claim [Title.GetName]
VASSAL_TRANSFER_SETUP	A Vassal has been transferred	A Vassal has been transferred
VASSAL_TRANSFER_LOG	$OLD_LIEGE$ has transferred the vassalage of $VASSAL$ to $NEW_LIEGE$	$OLD_LIEGE$ has transferred the vassalage of $VASSAL$ to $NEW_LIEGE$
WAR_NAME_WEAKEN_VASSAL	War for a New Ruler of $OTHER_TITLE$.	War for a New Ruler of $OTHER_TITLE$.
TRIGGER_ATTACKER	Main Attacker	Main Attacker
TRIGGER_MOST_PART_ATTACKER	Most Contributing Attacker	Most Contributing Attacker
TRIGGER_DEFENDER	Main Defender	Main Defender
TRIGGER_MOST_PART_DEFENDER	Most Contributing Defender	Most Contributing Defender
CHAR_IS_NOT	Character is NOT	Character is NOT
CHAR_IS	Character is	Character is
CHAR_EXISTS	Character exists	Character exists
THREAT_NOT_DE_JURE_LIEGE	Not a De Jure Vassal	Not a De Jure Vassal
THREAT_INFIDEL	Infidel	Infidel
THREAT_FOREIGNER	Foreigner	Foreigner
THREAT_LOW_LEVIES	Depleted Levies	Depleted Levies
THREAT_OTHER_INDEP_WARS	Current Independence Revolts	Current Independence Revolts
force_converting	Force Conversion	Force Conversion
EVTTOOLTIP3336	cannot be allowed to continue like this! I must tell [This.GetTitledFirstName] how irresponsible [This.GetHerHis] behavior is!	cannot be allowed to continue like this! I must tell [This.GetTitledFirstName] how irresponsible [This.GetHerHis] behavior is!
SongsOfAlbionDLC	Songs of Albion	Songs of Albion
SongsOfFaithDLC	Songs of Faith	Songs of Faith
SongsOfTheHolyLandDLC	Songs of the Holy Land	Songs of the Holy Land
