#CODE	ENGLISH	ENGLISH
#TITLE_CREATION_HAS_OWNER	You are not allowed to create or usurp titles while you hold a Temporary title	You are not allowed to create or usurp titles while you hold a Temporary title
digambara_jain_desc	This character follows the Digambara branch of Jainism.	This character follows the Digambara branch of Jainism.
svetambara_jain	Svetambara Jain	Svetambara Jain
svetambara_jain_desc	This character follows the Svetambara branch of Jainism.	This character follows the Svetambara branch of Jainism.
sympathy_indian	Sympathy for Indian religons	Sympathy for Indian religons
sympathy_indian_desc	This character, though neither Hindu, Buddhist or Jain, has a special sympathy and understanding for the Indian faiths and their practitioners.	This character, though neither Hindu, Buddhist or Jain, has a special sympathy and understanding for the Indian faiths and their practitioners.
karluk	Karluk	Karluk
kirghiz	Kirghiz	Kirghiz
khanty	Khanty	Khanty
afghan	Afghan	Afghan
baloch	Baloch	Baloch
indo_aryan_group	Indo-Aryan	Indo-Aryan
dravidian_group	Dravidian	Dravidian
indian	Indian	Indian
bengali	Bengali	Bengali
hindustani	Hindustani	Hindustani
sindhi	Sindhi	Sindhi
marathi	Marathi	Marathi
sinhala	Sinhala	Sinhala
telugu	Telugu	Telugu
kannada	Kannada	Kannada
tamil	Tamil	Tamil
gujurati	Gujarati	Gujurati
panjabi	Panjabi	Panjabi
rajput	Rajput	Rajput
oriya	Oriya	Oriya
assamese	Assamese	Assamese
IS_LOWBORN	Is lowborn	Is lowborn
IS_NOT_LOWBORN	Is NOT lowborn	Is NOT lowborn
IS_REINCARNATED	Is reincarnated	Is reincarnated
IS_NOT_REINCARNATED	Is NOT reincarnated	Is NOT reincarnated
NUM_DYN_MEMBERS_LESS_THAN	Fewer Dynasty members than 	Fewer Dynasty members than 
NUM_DYN_MEMBERS_GREATER_THAN	More Dynasty members than 	More Dynasty members than 
decadent	Decadent	Decadent
decadent_desc	Soft living and flagrant debauchery has turned this character decadent, a living offense to all righteous Muslims. Decadent characters will slowly increase the decadence value of their entire dynasty, which can eventually lead to massive tribal uprisings.	Soft living and flagrant debauchery has turned this character decadent, a living offense to all righteous Muslims. Decadent characters will slowly increase the decadence value of their entire dynasty, which can eventually lead to massive tribal uprisings.
reincarnation	Reincarnation of [Reincarnation.GetBestName]	Reincarnation of [Reincarnation.GetBestName]
reincarnation_desc	This character is widely believed to be a reincarnation of [Reincarnation.GetBestName].	This character is widely believed to be a reincarnation of [Reincarnation.GetBestName].
opinion_takfir	Takfir	Takfir
opinion_straightened_up	Straightened up	Straightened up
#DECADENCE_DESC	All adult Muslim men below the rank of Count risk acquiring the §YDecadent§! trait, especially those of low character. The amount of Decadence these men incur on their dynasty depends on their own social status as well as the total amount of Holdings controlled by the Dynasty. Decadence affects the tax income from the demesne and the morale damage that demesne levies take in battle. Ways to halt or decrease Decadence include:\n§G*§! Granting landed titles to dynasty members\n§G*§! A smaller demesne for the Dynasty Head\n§G*§! Successfully convincing decadent Dynasty members to abandon their sinful ways.\n§G*§! Imprisoning, banishing or killing decadent Dynasty members\n§G(The Religion View contains a list of decadent dynasty members.)§!	All adult Muslim men below the rank of Count risk acquiring the §YDecadent§! trait, especially those of low character. The amount of Decadence these men incur on their dynasty depends on their own social status as well as the total amount of Holdings controlled by the Dynasty. Decadence affects the tax income from the demesne and the morale damage that demesne levies take in battle. Ways to halt or decrease Decadence include:\n§G*§! Granting landed titles to dynasty members\n§G*§! A smaller demesne for the Dynasty Head\n§G*§! Successfully convincing decadent Dynasty members to abandon their sinful ways.\n§G*§! Imprisoning, banishing or killing decadent Dynasty members\n§G(The Religion View contains a list of decadent dynasty members.)§!
convince_to_straighten_up	Convince to Straighten up	Convince to Straighten up
#convince_to_straighten_up_desc	Attempt to reason with §Y[This.GetBestName]§!, asking him to clean up his act. There is no guarantee that this will succeed, but having a high Learning or Diplomacy skill will help.	Attempt to reason with §Y[This.GetBestName]§!, asking him to clean up his act. There is no guarantee that this will succeed, but having a high Learning or Diplomacy skill will help.
EVTDESC91300	I had the spice merchant beaten for the contemptuous look he gave me. Apparently, there are many who think I have grown soft and decadent, lost to vices and indulging in haram!	I had the spice merchant beaten for the contemptuous look he gave me. Apparently, there are many who think I have grown soft and decadent, lost to vices and indulging in haram!
EVTOPTA91300	Bah! Minstrel, play another song!	Bah! Minstrel, play another song!
EVTDESC91350	My [GetFromFromRelation] [FromFrom.GetBestName] has let me know that my sinful living shames the entire dynasty. [FromFrom.GetSubjectPronounCap] is exerting [FromFrom.GetPossPronoun] influence to shield House [Root.GetDynName], but strongly urges me to seek guidance in the perfect example set by the Prophet (peace be upon him.)	My [GetFromFromRelation] [FromFrom.GetBestName] has let me know that my sinful living shames the entire dynasty. [FromFrom.GetSubjectPronounCap] is exerting [FromFrom.GetPossPronoun] influence to shield House [Root.GetDynName], but strongly urges me to seek guidance in the perfect example set by the Prophet (peace be upon him.)
EVTOPTA91350	How rude! My life is my own.	How rude! My life is my own.
EVTOPTB91350	I will try, with the help of [Root.Religion.GetRandomGodName]!	I will try, with the help of [Root.Religion.GetRandomGodName]!
EVTDESC91351	My decadent [GetFromRelation] [From.GetBestName] refuses to change [From.GetPossPronoun] sinful ways. I can declare [From.GetObjectPronoun] a kafir, which will give me a reason to imprison the degenerate... unless there is another way to get through to [From.GetObjectPronoun].	My decadent [GetFromRelation] [From.GetBestName] refuses to change [From.GetPossPronoun] sinful ways. I can declare [From.GetObjectPronoun] a kafir, which will give me a reason to imprison the degenerate... unless there is another way to get through to [From.GetObjectPronoun].
EVTOPTA91351	Invoke Takfir against [From.GetObjectPronoun]!	Invoke Takfir against [From.GetObjectPronoun]!
EVTOPTB91351	I am a better negotiator than this!	I am a better negotiator than this!
EVTOPTC91351	I must save [From.GetPossPronoun] soul from the fires of Jahannam!	I must save [From.GetPossPronoun] soul from the fires of Jahannam!
EVTOPTD91351	Time to get... unconventional.	Time to get... unconventional.
EVTDESC91352	My [GetFromRelation] [From.GetBestName] understands that [From.GetSubjectPronoun] is living a life of haram, and has ensured me that [From.GetSubjectPronoun] is committed to changing [From.GetPossPronoun] ways.	My [GetFromRelation] [From.GetBestName] understands that [From.GetSubjectPronoun] is living a life of haram, and has ensured me that [From.GetSubjectPronoun] is committed to changing [From.GetPossPronoun] ways.
EVTOPTA91352	Good, House [Root.GetDynName] must stay pure!	Good, House [Root.GetDynName] must stay pure!
EVTDESC91355	My [GetFromRelation] [From.GetTitledFirstName] just will not give up. [From.GetSubjectPronounCap] makes some most persuasive arguments about why I need to overcome my forbidden, haram, desires. For the sake of my soul, my dynasty and my religion, I need to repent.	My [GetFromRelation] [From.GetTitledFirstName] just will not give up. [From.GetSubjectPronounCap] makes some most persuasive arguments about why I need to overcome my forbidden, haram, desires. For the sake of my soul, my dynasty and my religion, I need to repent.
EVTOPTA91355	I know I am weak. Too weak!	I know I am weak. Too weak!
EVTOPTB91355	Though it's hard, I shall walk the narrow path.	Though it's hard, I shall walk the narrow path.
EVTDESC91356	I just cannot get through to my wastrel [GetFromRelation] [From.GetFirstName]! [From.GetSubjectPronounCap] is simply too weak and obstinate.	I just cannot get through to my wastrel [GetFromRelation] [From.GetFirstName]! [From.GetSubjectPronounCap] is simply too weak and obstinate.
EVTDESC91357	My [GetFromRelation] [From.GetBestName] understands that [From.GetSubjectPronoun] is living a life of haram, and has ensured me that [From.GetSubjectPronoun] is committed to changing [From.GetPossPronoun] ways.	My [GetFromRelation] [From.GetBestName] understands that [From.GetSubjectPronoun] is living a life of haram, and has ensured me that [From.GetSubjectPronoun] is committed to changing [From.GetPossPronoun] ways.
EVTDESC91360	My [GetFromRelation] [From.GetTitledFirstName] is back to persuade my to abandon my forbidden, haram, desires. [From.GetSubjectPronounCap] quotes the Koran and the Hadiths like a mufti and threatens me with the fires of Jehennom in the afterlife...	My [GetFromRelation] [From.GetTitledFirstName] is back to persuade my to abandon my forbidden, haram, desires. [From.GetSubjectPronounCap] quotes the Koran and the Hadiths like a mufti and threatens me with the fires of Jehennom in the afterlife...
EVTOPTA91360	Do I look like a believer?	Do I look like a believer?
EVTOPTB91360	I must join the Bektashi!	I must join the Bektashi!
EVTOPTC91360	I must join the Hashshashin!	I must join the Hashshashin!
EVTOPTD91360	I must go on the Hajj to Mecca!	I must go on the Hajj to Mecca!
EVTOPTE91360	I will donate money to charity!	I will donate money to charity!
EVTDESC91361	My [GetFromRelation] [From.GetTitledFirstName] was moved to tears by my fiery exhortations. [From.GetSubjectPronounCap] will join a holy order in order to serve Allah best!	My [GetFromRelation] [From.GetTitledFirstName] was moved to tears by my fiery exhortations. [From.GetSubjectPronounCap] will join a holy order in order to serve Allah best!
EVTOPTA91361	[From.GetSubjectPronounCap] makes me proud!	[From.GetSubjectPronounCap] makes me proud!
EVTDESC91362	My [GetFromRelation] [From.GetTitledFirstName] was moved to tears by my fiery exhortations and left immediately for the holy pilgrimage to Mecca - the Hajj.	My [GetFromRelation] [From.GetTitledFirstName] was moved to tears by my fiery exhortations and left immediately for the holy pilgrimage to Mecca - the Hajj.
EVTOPTA91362	A pious choice!	A pious choice!
EVTDESC91363	My [GetFromRelation] [From.GetTitledFirstName] was shaken by the strength of my pious arguments and promised to reform [From.GetPossPronoun] ways, starting with a generous donation to charity.	My [GetFromRelation] [From.GetTitledFirstName] was shaken by the strength of my pious arguments and promised to reform [From.GetPossPronoun] ways, starting with a generous donation to charity.
EVTOPTA91363	There is hope for [From.GetObjectPronoun] yet!	There is hope for [From.GetObjectPronoun] yet!
EVTDESC91365	I woke up to a dreadful stench and found my room full of the rotting carcasses of dogs and pigs. As I staggered out through the door, a shadowy figure crept up from behind and held a knife to my throat, whispering 'This is what your life is like. Imagine your death...' before disappearing without a trace!	I woke up to a dreadful stench and found my room full of the rotting carcasses of dogs and pigs. As I staggered out through the door, a shadowy figure crept up from behind and held a knife to my throat, whispering 'This is what your life is like. Imagine your death...' before disappearing without a trace!
EVTOPTA91365	[From.GetTitledFirstName] cannot scare me with theatrics!	[From.GetTitledFirstName] cannot scare me with theatrics!
EVTOPTB91365	Maybe I had better shape up...	Maybe I had better shape up...
EVTOPTC91365	This is just too much. Life is not worth living!	This is just too much. Life is not worth living!
EVTDESC91366	I arranged a very unpleasant 'awakening' for my decadent [GetFromRelation] [From.GetTitledFirstName], but [From.GetSubjectPronoun] remains stubbornly committed to [From.GetPossPronoun] hedonism, bringing shame on our House.	I arranged a very unpleasant 'awakening' for my decadent [GetFromRelation] [From.GetTitledFirstName], but [From.GetSubjectPronoun] remains stubbornly committed to [From.GetPossPronoun] hedonism, bringing shame on our House.
EVTDESC91367	The little nightmare I staged seems to have worked on my decadent [GetFromRelation] [From.GetTitledFirstName], who is scared witless and has promised to renounce [From.GetPossPronoun] shameful hedonism!	The little nightmare I staged seems to have worked on my decadent [GetFromRelation] [From.GetTitledFirstName], who is scared witless and has promised to renounce [From.GetPossPronoun] shameful hedonism!
EVTDESC91368	It seems the nighttime show I put on for my decadent [GetFromRelation] [From.GetTitledFirstName] was a little too much. [From.GetSubjectPronounCap] chose to jump from a tower rather than live a righteous life as a true Muslim!	It seems the nighttime show I put on for my decadent [GetFromRelation] [From.GetTitledFirstName] was a little too much. [From.GetSubjectPronounCap] chose to jump from a tower rather than live a righteous life as a true Muslim!
EVTOPTA91368	Shameful! Good riddance.	Shameful! Good riddance.
EVTTOOLTIP91351	Tell [This.GetFirstName] to mind his own business!	Tell [This.GetFirstName] to mind his own business!
EVTTOOLTIP91352	Promise [This.GetFirstName] to lead a righteous life!	Promise [This.GetFirstName] to lead a righteous life!
EVTTOOLTIP91355	Make a better attempt at convincing [This.GetFirstName]	Make a better attempt at convincing [This.GetFirstName]
EVTTOOLTIP91360	Present the best religious arguments to [This.GetFirstName]	Present the best religious arguments to [This.GetFirstName]
EVTTOOLTIP91365	Arrange for some nasty nighttime theatrics to scare [This.GetFirstName] in [From.GetPossPronoun] room	Arrange for some nasty nighttime theatrics to scare [This.GetFirstName] in [From.GetPossPronoun] room
patron_shiva	Patron Deity: Shiva	Patron deity: Shiva
patron_vishnu	Patron Deity: Vishnu	Patron deity: Vishnu
patron_brahma	Patron Deity: Brahma	Patron deity: Brahma
patron_kali	Patron Deity: Kali	Patron deity: Kali
patron_ganesha	Patron Deity: Ganesha	Patron deity: Ganesha
patron_ganga	Patron Deity: Ganga	Patron deity: Ganga
hold_tiger_hunt	Hold a Tiger Hunt	Hold a Tiger Hunt
hold_tiger_hunt_desc	Tiger hunting is not only a noble sport but also an occasion to meet your vassals to forge bonds of friendship and discuss important business.	Tiger hunting is not only a noble sport but also an occasion to meet your vassals to forge bonds of friendship and discuss important business.
#indian_pilgrimage		
#indian_pilgrimage_desc		
choose_hindu_patron_deity	Choose a Patron Deity	Choose a Patron Deity
choose_hindu_patron_deity_desc	You can choose a personal patron deity from among the most powerful of the many gods and godesses of the Hindu faith. People will associate your rule with that deity and some aspects of government will be strengthened as a result, though you should be aware that this always has a cost in some other area. There are those who argue that it's best to stay neutral and anger no one.	You can choose a personal patron deity from among the most powerful of the many gods and godesses of the Hindu faith. People will associate your rule with that deity and some aspects of government will be strengthened as a result, though you should be aware that this always has a cost in some other area. There are those who argue that it's best to stay neutral and anger no one.
EVTDESC_RoI_100	These are the three gods of the Trimurti, the Great Trinity. Perhaps I should choose one of them as my patron deity?	These are the three gods of the Trimurti, the Great Trinity. Perhaps I should choose one of them as my patron deity?
EVTOPTA_RoI_100	Fair Shiva with His trident.	Fair Shiva with His trident.
EVTOPTB_RoI_100	All-powerful, crowned Vishnu.	All-powerful, crowned Vishnu.
EVTOPTC_RoI_100	Mighy Brahma, He of four faces.	Mighy Brahma, He of four faces.
EVTOPTD_RoI_100	There are other powerful deities as well...	There are other powerful deities as well...
EVTDESC_RoI_101	These are all powerful gods and goddesses. Choosing one of them as my patron deity would be a testament to the power of my dynasty.	These are all powerful gods and goddesses. Choosing one of them as my patron deity would be a testament to the power of my dynasty.
EVTOPTA_RoI_101	Kali, the slayer and agent of Time.	Kali, the slayer and agent of Time.
EVTOPTB_RoI_101	Ganesha, the remover of obstacles.	Ganesha, the remover of obstacles.
EVTOPTC_RoI_101	Ganga of the waters, She who purifies.	Ganga of the waters, She who purifies.
EVTOPTD_RoI_101	On second thought, I shall associate myself with one of the Trimurti...	On second thought, I shall associate myself with one of the Trimurti...
EVTDESC_RoI_10001	My little [GetFromRelation] [From.GetFirstName] has an odd birthmark that closely matches that of my [GetFromReincarnationRelation], [From.Reincarnation.GetBestName]. Could [From.Reincarnation.GetSubjectPronoun] have been reborn as my [GetFromRelation] in this life?	My little [GetFromRelation] [From.GetFirstName] has an odd birthmark that closely matches that of my [GetFromReincarnationRelation], [From.Reincarnation.GetBestName]. Could [From.Reincarnation.GetSubjectPronoun] have been reborn as my [GetFromRelation] in this life?
EVTOPTA_RoI_10001	Such is [From.Reincarnation.GetHerHis] Karma.	Such is [From.Reincarnation.GetObjectPronoun] Karma.
EVTOPTB_RoI_10001	No, this Atman is different	No, this Atman is different
EVTDESC_RoI_10002	Sometimes I think of my other family, when I was an old [Root.Reincarnation.GetManWoman]. Where are all my old friends?	Sometimes I think of my other family, when I was an old [Root.Reincarnation.GetManWoman]. Where are all my old friends?
EVTOPTA_RoI_10002	I miss them...	I miss them...
#EVTDESC_RoI_10003	My beloved [GetFromRelation] is showing every sign of being my reborn [GetFromReincarnationRelation] [From.Reincarnation.GetFirstName]. Little [From.GetFirstName] often speaks of [From.GetObjectPronoun] old friends and family, even naming many correctly.	My beloved [GetFromRelation] is showing every sign of being my reborn [GetFromReincarnationRelation] [From.Reincarnation.GetFirstName]. Little [From.GetFirstName] often speaks of [From.GetObjectPronoun] old friends and family, even naming many correctly.
EVTOPTA_RoI_10003	I wonder how alike [From.Reincarnation.GetFirstName] [From.GetSubjectPronoun] will become...	I wonder how alike [From.Reincarnation.GetFirstName] [From.GetSubjectPronoun] will become...
EVTOPTB_RoI_10003	Remarkable, but I want [From.GetObjectPronoun] raised as a new person.	Remarkable, but I want [From.GetObjectPronoun] raised as a new person.
EVTDESC_RoI_10010	My tutors say that they see more of my [GetReincarnationRelation] [Root.Reincarnation.GetFirstName] in me every day, even though my own vague memories of that past life are fading fast.	My tutors say that they see more of my [GetReincarnationRelation] [Root.Reincarnation.GetFirstName] in me every day, even though my own vague memories of that past life are fading fast.
EVTOPTA_RoI_10010	I just feel like... me.	I just feel like... me.
#EVTDESC_RoI_10011	My [GetFromRelation] [From.GetFirstName], [From.Reincarnation.GetTitledFirstName] reborn, is acting more like [From.GetPossPronoun] previous incarnation every day!	My [GetFromRelation] [From.GetFirstName], [From.Reincarnation.GetTitledFirstName] reborn, is acting more like [From.GetPossPronoun] previous incarnation every day!
EVTOPTA_RoI_10011	How remarkable is Samsara - the cycle of rebirth!	How remarkable is Samsara - the cycle of rebirth!
EVTDESC_RoI_10020	[Root.Reincarnation.Killer.GetFirstName]!' you scream as you wake up from a horrible nightmare of being killed. As your guards come rushing in, you calm down and realize that it was no ordinary dream. You remember the name of the one who had you murdered in your previous life as [Root.Reincarnation.GetBestName] - the evil [Root.Reincarnation.Killer.GetBestName]!	[Root.Reincarnation.Killer.GetFirstName]!' you scream as you wake up from a horrible nightmare of being killed. As your guards come rushing in, you calm down and realize that it was no ordinary dream. You remember the name of the one who had you murdered in your previous life as [Root.Reincarnation.GetBestName] - the evil [Root.Reincarnation.Killer.GetBestName]!
EVTOPTA_RoI_10020	That vicious spawn of a Rakshasi!	That vicious spawn of a Rakshasi!
EVTDESC_RoI_10021	As you gaze idly into the pond, a feeling of deep love suddenly comes over you, and then, the sweetest memory. You remember making love to your beloved [Root.Reincarnation.Spouse.GetHusbandWife] [Root.Reincarnation.Spouse.GetFirstName] by another pool of water, in another forest, in another life...	As you gaze idly into the pond, a feeling of deep love suddenly comes over you, and then, the sweetest memory. You remember making love to your beloved [Root.GetHusbandWife] [Root.Reincarnation.Spouse.GetFirstName] by another pool of water, in another forest, in another life...
EVTOPTA_RoI_10021	Ah, [Root.Reincarnation.Spouse.GetFirstName] my love, where are you now?	Ah, [Root.Reincarnation.Spouse.GetFirstName] my love, where are you now?
#EVTDESC_RoI_10022	Watching a group of children at play, you suddenly remember another child, little [target_child.GetFirstName], who was your precious firstborn when you were in the world as [Root.Reincarnation.GetBestName].	Watching a group of children at play, you suddenly remember another child, little [Root.Reincarnation.GetFirstName], who was your precious firstborn when you were in the world as [Root.Reincarnation.GetBestName].
EVTOPTA_RoI_10022	How the wheel turns...	How the wheel turns...
ATTACHMENT_REQUIREMENTS_TOOLTIP	The target unit must have the Same Looter status, must be either your Vassal or Ally, and it's Owner must have the Same or Greater Feudal Ranking.	The target unit must have the Same Looter status, must be either your Vassal or Ally, and it's Owner must have the Same or Greater Feudal Ranking.
MATCHMAKING_FILTER_NOPASSWORD	No Password	No Password
MATCHMAKING_FILTER_NOTFULL	Not Full	Not Full
MATCHMAKING_FILTER_HASPLAYERS	Has Players	Has Players
#MATCHMAKING_FILTER_MOD	Mod	Mod
#MATCHMAKING_FILTER_VERSION	Version	Version
MATCHMAKING_SERVER_FILTER_SEARCH	Search Tags	Search Tags
MATCHMAKING_SERVER_FILTER_SEARCH_NAMES	Search Names	Search Names
MESSAGE_BUTTON_SEARCH	Search	Search
MATCHMAKING_SERVERS_DOSEARCH	Search	Search
MATCHMAKING_REFRESH_LAN	Refresh LAN	Refresh LAN
MATCHMAKING_REFRESH_INTERNET	Refresh Internet	Refresh Internet
MATCHMAKING_JOIN_SERVER	Join Game	Join Game
MATCHMAKING_HOST_SERVER	Host Game	Host Game
MATCHMAKING_SERVER_PASSWORD	Password	Password
MATCHMAKING_SERVER_NAME	Name	Name
MATCHMAKING_SERVER_SLOTS	Slots	Slots
MATCHMAKING_SERVER_VERSION	Version	Version
MATCHMAKING_SERVER_TAGS	Tags	Tags
MATCHMAKING_SERVER_MOD	Mod	Mod
MATCHMAKING_SERVER_STATUS	Status	Status
MATCHMAKING_SERVER_PING	Ping	Ping
FRIENDS	Friends	Friends
SEND	Send	Send
MATCHMAKING_TITLE	Matchmaking	Matchmaking
MATCHMAKING_SERVERS	Servers	Servers
MATCHMAKING_COMMUNITY	Community	Community
CONNECT_TO_IP	Connect to ID	Connect to ID
MATCHMAKING_SERVER_CONNECT_TITLE	Connect to Server	Connect to Server
MATCHMAKING_SERVER_CONNECT_ADDRESS	Server ID	Server ID
MATCHMAKING_SERVERS_SEARCHING	Searching for servers...	Searching for servers...
MATCHMAKING_SERVERS_NOSERVERS	No servers found!	No servers found!
MATCHMAKING_SERVER_STATUS_STARTING	Starting	Starting
MATCHMAKING_SERVER_STATUS_RUNNING	Running	Running
MATCHMAKING_SERVER_STATUS_STOPPED	Stopped	Stopped
MATCHMAKING_SERVER_HOST_TAGS	Tags	Tags
MATCHMAKING_SERVER_DESC	Description	Description
become_kshatriya	Become Kshatriya Caste	Become Kshatriya Caste
become_kshatriya_desc	Changing caste is traditionally not possible in India. However, for a determined ruler who is willing to pay the price in gifts and bribes as well as risk the ire of Hindu society, even the impossible might be achieved. And after a generation or so, who knows, people might even forget that [Root.GetHerHis] family weren't always Kshatriya...\n\nA person of high learning will impress more and thus and have a lower cost in gold for the whole process.	Changing caste is traditionally not possible in India. However, for a determined ruler who is willing to pay the price in gifts and bribes as well as risk the ire of Hindu society, even the impossible might be achieved. And after a generation or so, who knows, people might even forget that [Root.GetHerHis] family weren't always Kshatriya...\n\nA person of high learning will impress more and thus and have a lower cost in gold for the whole process.
opinion_changed_caste	Changed Caste	Changed Caste
opinion_married_wrong_caste	Married Wrong Caste	Married Wrong Caste
opinion_ruler_wrong_caste_hindu	Ruler is Wrong Caste	Ruler is Wrong Caste
opinion_ruler_wrong_caste_non_hindu	Ruler is Wrong Caste	Ruler is Wrong Caste
