#CODE	ENGLISH
SETTLE_ADVENTURER_INTERACTION_1	Grant the §Y[ThirdPartyTitle.GetFullName]§W to §Y[Recipient.GetTitledFirstName]§W, increasing [Recipient.GetPossPronoun] opinion of you by §G$OPINION$§W.
SETTLE_ADVENTURER_INTERACTION_2	The capital will change from §Y$CURRENT$§W to §Y$NEW$§W.
SETTLE_ADVENTURER_INTERACTION_3	Vassals going with the grant: 
SETTLE_ADVENTURER_INTERACTION_4	[Player.Religion.GetPietyName] from temple grant: §G$PIETY$§!.
SETTLE_ADVENTURER_INTERACTION_5	§RMaking [Recipient.GetObjectPronoun] a $TITLE$ will disqualify [Recipient.GetObjectPronoun] from the succession!§!
SETTLE_ADVENTURER_INTERACTION_ACCEPT_SETUP	Offer to Settle Adventurer Accepted
SETTLE_ADVENTURER_INTERACTION_ACCEPT_LOG	§Y[Actor.GetBestName]§W settled the adventurer §Y[Recipient.GetBestName]§W by giving [Recipient.GetHerHim] the [ThirdPartyTitle.GetFullName].
SETTLE_ADVENTURER_INTERACTION_6	Grant the §Y[ThirdPartyTitle.GetFullName]§W and all titles under it to §Y[Recipient.GetTitledFirstName]§W, increasing [Recipient.GetPossPronoun] opinion of you by §G$OPINION$§W.
SETTLE_ADVENTURER_INTERACTION_7	Decadence lost from grant to dynasty member: §G$DECADENCE$%§! (the effect is relative to the dynasty's current Decadence.)
SETTLE_ADVENTURER_INTERACTION_9	Settling an adventurer will significantly reduce the risk of further raid attempts against you for a long time.
IS_ALLOWED_TO_LOOT	Is allowed to raid
CANNOT_DESTROY_DURING_WAR	Cannot destroy contested title during war
NOT_IS_ALLOWED_TO_LOOT	Is NOT allowed to raid
settled_adventurer	Settled Adventurer
desc_settled_adventurer	This county have been settled by a raiding adventurer and can not be raided.
LOOTING_SETTLED_ADVENTURER	This county has recently been settled by a raider adventurer.
TOGGLE_LOOTER_FAIL_FORCED_NOT_LOOT	 Unit is allowed to raid
SPAWN_UNIT_EFFECT_FORCED_NOT_LOOTING	These troops cannot raid.
SPAWN_UNIT_EFFECT_LOOTING	These troops will start off as raiders.
tut_0a_6	Click the portrait. All characters have a view like this. This is the King of Scotland, and here you can see that his parents and grandparents are dead. He has three children and three siblings.
REALM_LEVY_DIFF_LOWER_THAN	Current realm levy difference between §Y$FIRST$§! and §Y$SECOND$§! lower than §Y$VAL$§!
REALM_LEVY_DIFF_AT_LEAST	Current realm levy difference between §Y$FIRST$§! and §Y$SECOND$§! at least §Y$VAL$§!
MAX_REALM_LEVY_DIFF_LOWER_THAN	Maximum realm levy difference between §Y$FIRST$§! and §Y$SECOND$§! lower than §Y$VAL$§!
MAX_REALM_LEVY_DIFF_AT_LEAST	Maximum realm levy difference between §Y$FIRST$§! and §Y$SECOND$§! at least §Y$VAL$§!
REALM_LEVY_LESS	Current realm levies less than ?$VAL$?
REALM_LEVY_LEAST	Current realm levies at least ?$VAL$?
MAX_TROOP_STRENGTH_LESS	Maximum realm levies less than ?$VAL$?
MAX_TROOP_STRENGTH_LEAST	Maximum realm levies at least ?$VAL$?
ANY_UNIT	Any Unit
ALL_UNITS	All Units
IS_SEAFARER	Is seafarer
NOT_IS_SEAFARER	Is NOT seafarer
IS_ISLAND	Is an island
NOT_IS_ISLAND	Is NOT an island
DYNAMIC_MERCENARY_COMPANY	[Root.GetFirstName]'s [Root.Culture.GetName] Band
create_mercenary_company	Send Away as Mercenary
create_mercenary_company_desc	Send §Y[Root.GetFirstName]§! away to seek experience, fame and fortune as a mercenary, taking some soldiers from your current levy with [Root.GetHerHim] as a starting force. You will be able to recall [Root.GetHerHim] to §Y[From.Capital.GetName]§! at any time, and hopefully by then [Root.GetSheHe] will have brought honor to your dynasty by amassing a suitably impressive amount of gold and prestige.
maintaining_mercenary_band	Maintaining Mercenary Band
desc_maintaining_mercenary_band	This holding is used to refill mercenary bands
ANY_MERCENARY_BAND_STARTS	Any mercenary band
TRIGGER_BAND_CREATOR	Band creator
DEMESNE_GARRISON_MORE_THAN	Garrison of entire demesne is more or equal to 
DEMESNE_GARRISON_LESS_THAN	Garrison of entire demesne is less than 
AIREASON_NOT_DUCHY	Desires a duchy
AIREASON_NO_PORT	Desires coastal counties
SETTLE_ADVENTURER_INTERACTION_LETTER	We offer you the landed title of [ThirdPartyTitle.GetFullName] in exchange for your protection against future raids in this area.
SETTLE_ADVENTURER_INTERACTION_OFFER	[Actor.GetBestName] wants to offer us the landed title of [ThirdPartyTitle.GetFullName] in exchange for our protection.
SETTLE_ADVENTURER_INTERACTION_DECLINE_SETUP	Offer to Settle Adventurer Declined
SETTLE_ADVENTURER_INTERACTION_DECLINE_LOG	§Y[Recipient.GetBestName]§W refused §Y[Actor.GetBestName]§W's offer to settle in [Actor.GetHerHis] lands.
dissolve_mercenary_company	Recall to Court
dissolve_mercenary_company_desc	Order [Root.GetFirstName] to disband [Root.GetHerHis] mercenary band and return home.
is_mercenary_leader_YEAR	Has been leading the company for five years\n
HAS_NOT_RAISED_STANDING_TROOPS	Has not raised standing troops
HAS_RAISED_STANDING_TROOPS	Has raised standing troops
EVTDESC288	I accept your offer of settling down.
EVTDESC289	I refuse to accept your offer of settling down.
INTERACTION_REQUIRES_NO_ACTOR_MERCENARY_TITLE	§Y[Actor.GetTitledFirstName]§! must not be a Mercenary
INTERACTION_REQUIRES_NO_RECIPIENT_MERCENARY_TITLE	§Y[Recipient.GetTitledFirstName]§! must not be a Mercenary
started_mercenary_company	Started Mercenary Company
IS_ADVENTURER	Is adventurer
IS_NOT_ADVENTURER	Is not adventurer
TRIGGER_MOST_PART_CRUSADER	Most Contributing Crusader
INTERACTION_REQUIRES_RECIPIENT_FEUDAL	§Y[Recipient.GetTitledFirstName]§! is feudal.
CHRONICLE_DIVORCED	[New.GetTitledFirstName] announced the formal annulment of [From.GetTitledFirstName]s marriage with [Root.GetTitledName].
CHRONICLE_DIVORCED_NO_HEAD	[From.GetTitledFirstName] divorced [Root.GetTitledName].
LAW_ALLOWED	Can enact §Y$LAW$§! law
LAW_NOT_ALLOWED	Can NOT enact §Y$LAW$§! law
LAW_POTENTIAL	Eligible to enact §Y$LAW$§! law
LAW_NOT_POTENTIAL	NOT eligible to enact §Y$LAW$§! law
GOVERNMENT_ALLOWED	Can enact §Y$GOVERNMENT$§! government
GOVERNMENT_NOT_ALLOWED	Can NOT enact §Y$GOVERNMENT$§! government
GOVERNMENT_POTENTIAL	Eligible to enact §Y$GOVERNMENT$§! government
GOVERNMENT_NOT_POTENTIAL	NOT eligible to enact §Y$GOVERNMENT$§! government
DECISION_ALLOWED	Can take §Y$DECISION$§! decision
DECISION_NOT_ALLOWED	Can NOT take §Y$DECISION$§! decision
DECISION_POTENTIAL	Eligible to take §Y$DECISION$§! decision
DECISION_NOT_POTENTIAL	NOT eligible to take §Y$DECISION$§! decision
TARGETTED_DECISION_ALLOWED	Can take §Y$DECISION$§! decision against §Y$CHARACTER$§!
TARGETTED_DECISION_NOT_ALLOWED	Can NOT take §Y$DECISION$§! decision against §Y$CHARACTER$§!
TARGETTED_DECISION_POTENTIAL	Eligible to take §Y$DECISION$§! decision against §Y$CHARACTER$§!
TARGETTED_DECISION_NOT_POTENTIAL	NOT eligible to take §Y$DECISION$§! decision against §Y$CHARACTER$§!
TITLE_DECISION_ALLOWED	Can take §Y$DECISION$§! decision for §Y$TITLE$§!
TITLE_DECISION_NOT_ALLOWED	Can NOT take §Y$DECISION$§! decision for §Y$TITLE$§!
TITLE_DECISION_POTENTIAL	Eligible to take §Y$DECISION$§! decision for §Y$TITLE$§!
TITLE_DECISION_NOT_POTENTIAL	NOT eligible to take §Y$DECISION$§! decision for §Y$TITLE$§!
SETTLEMENT_DECISION_ALLOWED	Can take §Y$DECISION$§! decision in §Y$SETTLEMENT$§!
SETTLEMENT_DECISION_NOT_ALLOWED	Can NOT take §Y$DECISION$§! decision in §Y$SETTLEMENT$§!
SETTLEMENT_DECISION_POTENTIAL	Eligible to take §Y$DECISION$§! decision in §Y$SETTLEMENT$§!
SETTLEMENT_DECISION_NOT_POTENTIAL	NOT eligible to take §Y$DECISION$§! decision in §Y$SETTLEMENT$§!
PROV1293	Gulf of Kutch
PROV1382	Gulf of Suez
PROV1383	Northern Red Sea
PROV1384	Central Red Sea
PROV1385	Southern Red Sea
PROV1386	Strait of Mandeb
PROV1387	Gulf of Aden
PROV1388	Horn of Africa
PROV1389	Coast of Dhofar
PROV1390	Southern Coast of Oman
PROV1391	Coast of Muscat
PROV1392	Gulf of Oman
PROV1393	Strait of Hormuz
PROV1394	Eastern Persian Gulf
PROV1395	Western Persian Gulf
PROV1396	Coast of Makran
PROV1397	Indus Delta
PROV1398	Coast of Gujarat
PROV1399	Coast of Konkan
PROV1400	Coast of Malabar
PROV1401	Karnataka Coast
PROV1402	Gulf of Mannar
PROV1403	South Lanka Coast
PROV1404	Palk Strait
PROV1405	North Lanka Coast
PROV1406	South Coromandel Coast
PROV1407	North Coromandel Coast
#PROV1408	Outer Mongolia
PROV1409	Coast of Orissa
PROV1410	Coast of Kataka
PROV1411	Ganges Delta
PROV1412	Arabian Sea
EVTDESC_HL_101	[From.GetBestName] has gathered a band of warriors with the intention to raid foreign lands to create a fortune of [From.GetPossPronoun] own.
EVTDESC_HL_112	The [GetRootFromInsult] [From.GetBestName] has declared [From.GetHerHis] intentions of trying to seize land from your realm by force with [From.GetHerHis] band of thieves and robbers.
EVTOPTA_HL_112	We must stop [From.GetHerHim].
EVTDESC_HL_121	Dear [GetFromReverseRelation],\n[From.Religion.GetRandomGodNameCap] has smiled upon me the during my recent adventures. I now have so much wealth that I'm having trouble spending it all. However I would like to have a realm of my own fitting for a warrior of my rank, therefore I propose a small exchange.\n\nSigned,\nyour [GetFromRelation] [From.GetFirstName]
world_europe_west_brittania	Britannia
world_europe_west_germania	Germania
world_europe_west_francia	Francia
world_europe_west_iberia	Iberia
world_europe_west	Western Europe
world_europe_north	Northern Europe
world_europe_south_east	South-East Europe
world_europe_south_italy	Italia
world_europe_south	Southern Europe
world_europe_east	Eastern Europe
world_asia_minor	Asia Minor
world_middle_east_jerusalem	Jerusalem
world_middle_east_arabia	Arabian Peninsula
world_india_deccan	Deccan
world_india_bengal	Bengal
world_india_rajastan	Rajastan
world_persia	Persia
world_africa_north	North Africa
world_africa_west	West Africa
world_africa_east	East Africa
world_africa	Africa
world_steppe_west	Western Steppes
world_steppe_east	Eastern Steppes
world_steppe	Steppes
world_europe	Europe
world_middle_east	Middle-East
world_india	India
world_steppe_tarim	Tarim Basin
custom_eastern_baltic	Eastern Baltic
custom_frisia	Frisia
custom_england	England
custom_castillian	North Iberia
custom_catalan	East Iberia
custom_andalusian	South Iberia
custom_portuguese	North-West Iberia
custom_swedish	Sweden
custom_danish	Denmark
custom_norwegian	Norway
custom_scotland	Scotland
opinion_humiliated_rival	Humiliated by rival
MAPMODE_REALM	§YRealms§!
PROV1347	Taklamakan Desert
pyramid	Pyramid
k_mongolia	Mongolia
k_mongolia_adj	Mongolian
d_altay	Altay
d_otuken	Ötüken
d_khangai	Khangai
d_ikh_bogd	Ikh Bogd
k_khotan	Khotan
d_kashgar	Kashgar
d_khotan	Khotan
d_karashar	Karashar
d_kumul	Kumul
EVTOPTA_WOL_415	I have butterflies in my stomach!
EVTTOOLTIP_CM_4332	[This.GetTitledFirstName] becomes a member of the Haruriyyah Order
tower_topples	Tower topples.
tower_stands	Tower stands.
promised_to_clear_out_heresy	Promised to clear out heresy
alert_can_tech_name	You can invest in technology
MAPMODE_REALM_DESC	This map mode shows all independent Realms and it's substructure.
MAPMODE_REALM_ONMAP_TOOLTIP_DESC1	Press §GControl + Left Click§! to show Sub-Realms of §Y$REALM$§!
MAPMODE_REALM_ONMAP_TOOLTIP_DESC2	Press §GControl + Right Click§! to hide Sub-Realms of §Y$REALM$§!
MAPMODE_GOVERNMENTS	§YGovernments§!
MAPMODE_GOVERNMENTS_DESC	This map mode shows the different governments.
#REVOKE_TITLE_INTERACTION_2G	Our $GOVERNMENT$ administration allows us to revoke Emirates without objections from the aristocracy.
EVTDESC_SoA_566	It's time to rescind that old and absurd decree banning Jews from the realm.
EVTOPTA_SoA_566	Let such injustices be consigned to history.
BARONY_DESTROYED	This barony has been destroyed
DEJURE_LIEGE_STARTS	De Jure Liege
DEFACTO_LIEGE_STARTS	De Facto Liege
destroy_settlement	§Y$SETTLEMENT$§! will be destroyed.\n
make_capital_holding	§Y$SETTLEMENT$§! will become the primary settlement in §Y$COUNTY$§!.\n
make_primary	Make County Capital
make_primary_desc	I can make this holding the county capital of this county.
nomad_ARMY_OF	Nomads of $CHARACTER$
nomad_ARMY	$CULTURE$ Nomads
EVTDESC_HL_10101	Warriors serving with your [GetFromRelation] [From.GetFirstName] have sent word to inform you that they have recently observed a marked improvement in [From.GetHerHis] military leadership abilities.
EVTOPTA_HL_10101	There is no substitute for experience!
EVTDESC_HL_10201	Rumors reach you regarding [GetFromRelation] [From.GetFirstName], the mercenary. You always knew him as a coward, but now the word is that [From.GetSheHe] has been cured of [From.GetHerHis] shameful fear of battle.
EVTOPTA_HL_10201	Finally, my [GetFromRelation] is a real [From.GetManWoman]!
EVTDESC_HL_10211	Life as a mercenary seems to have hardened your [GetFromRelation] [From.GetFirstName]. Words of [From.GetHerHis] courage in battle reach you every so often.
EVTOPTA_HL_10211	[From.GetHerHisCap] deeds honor the [Root.GetOnlyDynastyName] dynasty!
EVTDESC_HL_10221	It is said that your [GetFromRelation] [From.GetFirstName] has become known as a very energetic and tenacious mercenary leader.
EVTOPTA_HL_10221	A fine example to all!
EVTDESC_HL_10231	People say that your [GetFromRelation] [From.GetFirstName] has changed since [From.GetSheHe] took up leadership of [From.GetHerHis] mercenary band. [From.GetSheHeCap] now rarely shows the kindness to others that [From.GetSheHe] used to be known for.
EVTOPTA_HL_10231	How this world changes [From.GetMenWomen].
EVTDESC_HL_10241	It is said that [From.GetHerHis] time as a mercenary leader has changed the outlook of your [GetFromRelation] [From.GetFirstName]. [From.GetSheHeCap] no longer shows the same humble spirit as before.
EVTOPTA_HL_10241	A predictable effect of [From.GetHerHis] station, surely.
EVTDESC_HL_10251	During [From.GetHerHis] time as a mercenary leader, your [GetFromRelation] [From.GetFirstName] has become quite famed for [From.GetHerHis] taste for lustful escapades.
EVTOPTA_HL_10251	Perhaps it was only to be expected.
EVTDESC_HL_10261	It is said that the mercenaries who serve in your your [GetFromRelation] [From.GetFirstName]'s band all have come to fear [From.GetHerHis] frequent outbursts of rage.
EVTOPTA_HL_10261	I'm sure they deserve it.
EVTDESC_HL_10271	Your [GetFromRelation] [From.GetFirstName] has gained a reputation as a very cruel mercenary leader.
EVTOPTA_HL_10271	People had best not get in [From.GetHerHis] way.
EVTDESC_HL_10301	News reach you that your [GetFromRelation] [From.GetFirstName] has fought a glorious battle against [FromFrom.GetTitledName].
EVTOPTA_HL_10301	[From.GetSheHeCap] measures [From.GetHerselfHimself] against the great!
EVTDESC_HL_10401	Mercenary leaders frequently have to deal with people of foreign cultures and religions. Now people are saying that your [GetFromRelation] [From.GetFirstName] has developed a particular interest in the [merc_location.Holder.Religion.GetName] ways.
EVTOPTA_HL_10401	So [From.GetSheHe] finds [merc_location.Holder.Religion.GetName]s interesting?
EVTDESC_HL_10411	You receive news that your [GetFromRelation] [From.GetFirstName] has converted to the [merc_location.Holder.Religion.GetName] faith.
EVTOPTA_HL_10411	So [From.GetSheHe] worships [merc_location.Holder.Religion.GetRandomGodName] now?
INTERACTION_REQUIRES_RECIPIENT_NOT_SAME_COURT_AS_SPOUSE	§Y[Recipient.GetTitledFirstName]§! is not in a lesser union and in the same court as [Recipient.GetHerHis] spouse
nomadic_government	Nomadic
IS_NOMADIC	Is Nomadic
ISNT_NOMDAIC	Is NOT Nomadic
HAVE_GOVERNMENT	Has government §Y$GOVERNMENT$§!
DONT_HAVE_GOVERNMENT	Does NOT have government §Y$GOVERNMENT$§!
STAT_POPULATION	Population
STAT_MANPOWER	Manpower
STAT_CLAN_SATISFACTION	Clan Satisfaction
STAT_CLAN_SATISFACTION_DESC	This value represents the satisfaction of the clans in your realm. The clan satisfaction is determined by how equally the realm is split between the clans. Having low clan satisfaction will increase the risk of clan revolts. You can increase clan satisfaction by handing out provinces with empty holdings to your clan vassals.
INCOME_NOMADIC_TAX	Nomadic Tax
adventurer	Adventurer
adventurer_desc	This character has a background as an adventurer, which means that they might be somewhat more ambitious than others.
mercenary_traditions	Mercenary Traditions
mercenary_traditions_desc	This character's family has a history of being mercenaries.
EVTDESC_HL_10601	It is said that your [GetFromRelation] [From.GetFirstName] has turned into a very experienced mercenary commander.
EVTOPTA_HL_10601	That is good to hear.
EVTDESC_HL_10610	You have heard interesting rumors at court about your father's past as a mercenary commander.
EVTOPTA_HL_10610	I should ask my guardian [Guardian.GetTitledFirstName] about it.
EVTDESC_HL_10611	My ward, [From.GetTitledFirstName], is asking me about [From.GetHerHis] father's past as a mercenary.
EVTOPTA_HL_10611	Ah, do I have stories for [From.GetHerHim]...
EVTOPTB_HL_10611	[From.GetSheHeCap] is better off not knowing.
EVTDESC_HL_10612	My [GetFromRelation] [From.GetFirstName] is asking me about my past as a mercenary.
EVTDESC_HL_10613	[From.GetTitledFirstName] stayed up late into the night, and [From.GetSheHe] told me many stories of my father's past adventures.
EVTOPTA_HL_10613	Fascinating!
EVTDESC_HL_10614	[From.GetFirstName] refused to tell me anything.
EVTOPTA_HL_10614	But why?
EVTDESC_HL_10515	Apparently there was a fight between your son and the mercenary [From.GetDynName]. As luck would have it, no one came to harm.
EVTOPTA_HL_10515	I am glad it ended well.
EVTDESC_HL_10516	Apparently your son was in a violent fight with his employer's son. It seems that no one came to harm, however.
EVTOPTA_HL_10516	I am not pleased.
EVTDESC_HL_10517	Apparently there was a fight between your son and the mercenary [From.GetDynName]. Your son was wounded.
EVTOPTA_HL_10517	Woe!
EVTDESC_HL_10518	Apparently your son [From.GetFirstName] was in a violent fight with his employer's son, who was lightly injured.
EVTOPTA_HL_10518	Better luck next time!
EVTDESC_HL_10519	Apparently there was a fight between your son and the mercenary [From.GetDynName]. Your son was maimed in the fight.
EVTDESC_HL_10520	Apparently your son [From.GetFirstName] was in a violent fight with his employer's son, who was maimed.
EVTOPTA_HL_10520	That's my boy!
EVTDESC_HL_10521	New reach you that your son has been killed in a fight with the mercenary [From.GetDynName].
EVTOPTA_HL_10521	I will have my revenge, I swear it!
EVTDESC_HL_10522	Apparently your son [From.GetFirstName] was in a violent fight with his employer's son, who was killed.
EVTDESC_HL_10530	That mercenary band that you hired a while back seems to still be in the region.... maybe you should invite the commander to a small feast?
EVTOPTA_HL_10530	Yes, I think I will!
EVTOPTB_HL_10530	No, mercenaries are best kept at a proper distance.
EVTDESC_HL_10532	[From.GetDynName] came to feast with you and you found that you have much in common.
EVTOPTA_HL_10532	A new friend, maybe I should give [From.GetHerHim] some land...
EVTDESC_HL_10533	[From.GetTitledName] refused to come and feast with you.
EVTOPTA_HL_10533	Who does [From.GetSheHe] think [From.GetSheHe] is?
MUST_NOT_BE_EMPLOYED_MERCENARY	Must not currently be employed
IS_NOT_OVER_TRADEPOST_LIMIT	Is not over Trade Post Limit (§Y$TRADE_POSTS$§!/§Y$MAX_TRADE_POSTS$§!)
CALL_ALL_NOT_INDEPENDENT	Cannot Call Tribal or Nomadic Vassals since you are not an independent ruler.
tribal_contract	Tribal Levies
tribal_contract_desc	Tribal Levy Laws control the obligations of tribes to provide troops for their liege.
tribal_contract_0	Minimal Tribal Levies
tribal_contract_0_desc	The Tribes are expected to provide a small amount of troops for the defense of the realm.
tribal_contract_1	Normal Tribal Levies
tribal_contract_1_desc	The Tribes are expected to provide a moderate amount of troops for the defense of the realm.
tribal_contract_2	Large Tribal Levies
tribal_contract_2_desc	The Tribes are expected to provide a substantial amount of troops for the defense of the realm.
tribal_contract_3	Maximum Tribal Levies
tribal_contract_3_desc	The Tribes are expected to provide a large amount of troops for the defense of the realm.
