#CODE	ENGLISH	ENGLISH
ASK_TO_EMBARGO_INTERACTION_DESC	Ask §Y[Recipient.GetBestName]§W to declare an Embargo War against a rival Merchant Republic.	Ask §Y[Recipient.GetBestName]§W to declare an Embargo War against a rival Merchant Republic.
ASK_TO_EMBARGO_INTERACTION_LONG_DESC	You can weaken a rival Merchant Republic and open up coastal counties for your Trade Posts by convincing a ruler to embargo them. Money usually does the trick. However, if you lose the war, §Yyou§! will pay war reparations.	You can weaken a rival Merchant Republic and open up coastal counties for your Trade Posts by convincing a ruler to embargo them. Money usually does the trick. However, if you lose the war, §Yyou§! will pay war reparations.
ASK_TO_EMBARGO_INTERACTION_0	Select a rival Merchant Republic to embargo.	Select a rival Merchant Republic to embargo.
ASK_TO_EMBARGO_INTERACTION_1	Have §Y[Recipient.GetTitledFirstName]§! declare an Embargo War on §Y[ThirdPartyCharacter.GetTitledFirstName]§! and §Y[ThirdPartyCharacter.TopLiege.PrimaryTitle.GetName]§! together with you. Offer §Y$GOLD$§!¤ to sweeten the deal. §RIf you lose the war, you will pay the war reparations.§!	Have §Y[Recipient.GetTitledFirstName]§! declare an Embargo War on §Y[ThirdPartyCharacter.GetTitledFirstName]§! and §Y[ThirdPartyCharacter.TopLiege.PrimaryTitle.GetName]§! together with you. Offer §Y$GOLD$§!¤ to sweeten the deal. §RIf you lose the war, you will pay the war reparations.§!
ASK_TO_EMBARGO_INTERACTION_ACCEPT_SETUP	Embargo Request Accepted	Embargo Request Accepted
ASK_TO_EMBARGO_INTERACTION_ACCEPT_LOG	§Y[Recipient.GetTitledName]§! and §Y[Actor.GetTitledName]§! have declared a joint Embargo War on §Y[ThirdPartyCharacter.GetDynName]§!	§Y[Recipient.GetTitledName]§! and §Y[Actor.GetTitledName]§! have declared a joint Embargo War on §Y[ThirdPartyCharacter.GetDynName]§!
ASK_TO_EMBARGO_INTERACTION_OFFER	[Actor.GetTitledName] is offering us $COST$¤ to embargo [ThirdPartyCharacter.GetTitledFirstName] and [ThirdPartyCharacter.TopLiege.PrimaryTitle.GetName].	[Actor.GetTitledName] is offering us $COST$¤ to embargo [ThirdPartyCharacter.GetTitledFirstName] and [ThirdPartyCharacter.TopLiege.PrimaryTitle.GetName].
ASK_TO_EMBARGO_INTERACTION_LETTER	The insidious [ThirdPartyCharacter.PrimaryTitle.GetAdjective] traders must be expelled from your lands. If you agree to declare an Embargo War on [ThirdPartyCharacter.GetTitledName], we will not only join the war on your side but also present you with $COST$¤. Should we fail, [Actor.PrimaryTitle.GetName] will pay any war reparations.	The insidious [ThirdPartyCharacter.PrimaryTitle.GetAdjective] traders must be expelled from your lands. If you agree to declare an Embargo War on [ThirdPartyCharacter.GetTitledName], we will not only join the war on your side but also present you with $COST$¤. Should we fail, [Actor.PrimaryTitle.GetName] will pay any war reparations.
INTERACTION_REQUIRES_TARGET_IS_MERCHANT_REPUBLIC	§Y[ThirdPartyCharacter.PrimaryTitle.GetName]§! is a Merchant Republic	§Y[ThirdPartyCharacter.PrimaryTitle.GetName]§! is a Merchant Republic
ANY_ATTACKER_STARTS	Any Attacker	Any Attacker
ANY_DEFENDER_STARTS	Any Defender	Any Defender
EVTDESC295	After careful consideration, I have decided to accept your suggestion. Together, we shall force the [Root.PrimaryTitle.GetAdjective] traders out of [From.PrimaryTitle.GetName]!\n\n[From.GetTitledFirstName]	After careful consideration, I have decided to accept your suggestion. Together, we shall force the [Root.PrimaryTitle.GetAdjective] traders out of [From.PrimaryTitle.GetName]!\n\n[From.GetTitledFirstName]
EVTDESC296	Honestly, I find your embargo suggestion against [Root.PrimaryTitle.GetName] rather ludicrous. Why should I favor one money-grubbing Republic over another?\n\n[From.GetTitledFirstName]	Honestly, I find your embargo suggestion against [Root.PrimaryTitle.GetName] rather ludicrous. Why should I favor one money-grubbing Republic over another?\n\n[From.GetTitledFirstName]
CONQUEROR_HOME_CULTURE	Cultural Bonds	Cultural Bonds
AIREASON_SUPPORT_FOR_CONQUEROR	Home Support for Conqueror	Home Support for Conqueror
k_hansa	The Hansa	The Hansa
k_hansa_adj	Hanseatic	Hanseatic
called_into_war	Called into War	Called into War
city_kingdom_of_german	Merchant League of	Merchant League of
city_kingdom_german	Merchant League	Merchant League
opinion_bribed_tp	Bribed over Trade Post	Bribed over Trade Post
opinion_thwarted_tp_destruction	Thwarted Destruction of Trade Post	Thwarted Destruction of Trade Post
TRADEPOST_COST_OP_EFFECT	§Y$LIEGE$§!'s opinion of you: $EFFECT$	§Y$LIEGE$§!'s opinion of you: $EFFECT$
#DESTROY_TRADEPOST_EFFECT	The Trade Post in $LOCATION$ is destroyed	The Trade Post in $LOCATION$ is destroyed
EVTDESC_REP_601	Money continues to flow through the Trade Post in [From.GetName], but your relationship with the merchant family that owns it has soured. To teach them a lesson without going to war, you could arrange for a mob to burn it down...	Money continues to flow through the Trade Post in [From.GetName], but your relationship with the merchant family that owns it has soured. To teach them a lesson without going to war, you could arrange for a mob to burn it down...
EVTOPTA_REP_601	Yes! Assemble the mob!	Yes! Assemble the mob!
EVTOPTB_REP_601	No, things could quickly escalate out of control...	No, things could quickly escalate out of control...
tp_spare	You decide not to move against the Trade Post.	You decide not to move against the Trade Post.
EVTTOOLTIP_REP_602	An angry mob marches towards the Trade Post.	An angry mob marches towards the Trade Post.
EVTDESC_REP_602	You and [From.GetTitledName] aren't exactly on the best of terms, and now it seems [From.GetSheHe] has encouraged an angry mob to burn down your Trade Post in [FromFrom.GetName]! Your small garrison has been surrounded, and the mob threatens to butcher them all unless you withdraw from [FromFrom.GetName].	You and [From.GetTitledName] aren't exactly on the best of terms, and now it seems [From.GetSheHe] has encouraged an angry mob to burn down your Trade Post in [FromFrom.GetName]! Your small garrison has been surrounded, and the mob threatens to butcher them all unless you withdraw from [FromFrom.GetName].
EVTOPTA_REP_602	We have no choice. Dismantle the Trade Post.	We have no choice. Dismantle the Trade Post.
EVTOPTB_REP_602	Offer a bribe to [From.GetFirstName].	Offer a bribe to [From.GetFirstName].
EVTOPTC_REP_602	Point out the wealth the Trade Post brings to [FromFrom.GetName].	Point out the wealth the Trade Post brings to [FromFrom.GetName].
EVTOPTD_REP_602	Use skillful diplomacy to disperse the mob.	Use skillful diplomacy to disperse the mob.
EVTDESC_REP_603	The mob you gathered successfully stormed the Trade Post and burnt it to the ground!	The mob you gathered successfully stormed the Trade Post and burnt it to the ground!
EVTOPTA_REP_603	Everything is proceeding as I have foreseen.	Everything is proceeding as I have foreseen.
EVTTOOLTIP_REP_604	A bribe is offered.	A bribe is offered.
EVTDESC_REP_604	Envoys from [FromFrom.GetTitledName] have presented you with a significant bribe in the hope that you will use your influence to spare [FromFrom.GetHerHis] Trade Post in [From.GetName].	Envoys from [FromFrom.GetTitledName] have presented you with a significant bribe in the hope that you will use your influence to spare [FromFrom.GetHerHis] Trade Post in [From.GetName].
EVTOPTA_REP_604	Good. Have the crowds dispersed.	Good. Have the crowds dispersed.
EVTOPTB_REP_604	Ha! The fool will lose both his money and his Trade Post.	Ha! The fool will lose both his money and his Trade Post.
EVTTOOLTIP_REP_605	The mob disperses.	The mob disperses.
EVTDESC_REP_605	[From.GetTitledName] is quite skilled at stewardship, and [From.GetSheHe] somehow managed to sway the mob by telling them of the wealth that flows into the county through the Trade Post. The crowd has dispersed and the Trade Post remains untouched.	[From.GetTitledName] is quite skilled at stewardship, and [From.GetSheHe] somehow managed to sway the mob by telling them of the wealth that flows into the province through the Trade Post. The crowd has dispersed and the Trade Post remains untouched.
EVTOPTA_REP_605	Sigh. If you want something done...	Sigh. If you want something done...
EVTDESC_REP_606	[From.GetTitledName] has skillfully used diplomacy to somehow make the mob back down! The crowd has dispersed and the Trade Post remains untouched.	[From.GetTitledName] has skillfully used diplomacy to somehow make the mob back down! The crowd has dispersed and the Trade Post remains untouched.
EVTTOOLTIP_REP_607	The Trade Post is destroyed.	The Trade Post is destroyed.
EVTDESC_REP_607	[From.GetTitledFirstName], the vile monster [From.GetSheHe] is, took the money you offered [From.GetHerHim] as a bribe, but still did nothing to spare your Trade Post. The mob stormed the garrison and the handful of survivors who made it back to [Root.MercRepCapital.GetName] have provided chilling accounts of the brutality that ensued.	[From.GetTitledFirstName], the vile monster [From.GetSheHe] is, took the money you offered [From.GetHerHim] as a bribe, but still did nothing to spare your Trade Post. The mob stormed the garrison and the handful of survivors who made it back to [Root.MercRepCapital.GetName] have provided chilling accounts of the brutality that ensued.
EVTOPTA_REP_607	Barbarians! Scum! Savages!	Barbarians! Scum! Savages!
opinion_burned_tp	Burned Trade Post	Burned Trade Post
opinion_burned_tp_despite_bribe	Burned Trade Post Despite Bribe	Burned Trade Post Despite Bribe
