#CODE	ENGLISH	ENGLISH
RETRACT_VASSAL_INTERACTION_ACCEPT_SETUP	Vassal Retracted	§Y[Actor.GetBestName]§W has transferred the vassalage of §Y[ThirdPartyCharacter.GetBestName]§W from §Y[Recipient.GetBestName]§W
RETRACT_VASSAL_INTERACTION_ACCEPT_LOG	§Y[Actor.GetBestName]§W has transferred the vassalage of §Y[ThirdPartyCharacter.GetBestName]§W from §Y[Recipient.GetBestName]§W	We have decided to retract the vassalage of [ThirdPartyCharacter.GetBestName]. Failure to accept will lead to war.
RETRACT_VASSAL_INTERACTION_LETTER	We have decided to retract the vassalage of [ThirdPartyCharacter.GetBestName]. Failure to accept will lead to war.	Vassal Retraction Refused
RETRACT_VASSAL_INTERACTION_DECLINE_SETUP	Vassal Retraction Refused	§Y[Recipient.GetBestName]§W refused the retraction of the vassal §Y[ThirdPartyCharacter.GetBestName]§W, demanded by §Y[Actor.GetBestName]§W
RETRACT_VASSAL_INTERACTION_DECLINE_LOG	§Y[Recipient.GetBestName]§W refused the retraction of the vassal §Y[ThirdPartyCharacter.GetBestName]§W, demanded by §Y[Actor.GetBestName]§W	My liege, I accept your decision to retract my vassal, [Root.GetBestName], though it grieves me deeply.
EVTDESC274	My liege, I accept your decision to retract my vassal, [Root.GetBestName], though it grieves me deeply.	Your breach of the feudal contract is unacceptable, I will not give up my vassals without a fight!
EVTDESC275	Your breach of the feudal contract is unacceptable, I will not give up my vassals without a fight!	Cannot destroy titles under Gavelkind succession
CANNOT_DESTROY_GAVELKIND_TITLE	Cannot destroy titles under Gavelkind succession	§Y[Actor.GetBestName]§! can afford to lose §Y$COST$§W [Player.Religion.GetPietyName]
INTERACTION_REQUIRES_PIETY	§Y[Actor.GetTitledFirstName]§! can afford to lose §Y$COST$§W [Player.Religion.GetPietyName]	§Y[Actor.GetBestName]§! can pay §Y$COST$§W¤
INTERACTION_REQUIRES_MONEY	§Y[Actor.GetTitledFirstName]§! can pay §Y$COST$§W¤	§Y[Actor.GetBestName]§! can afford to lose §Y$COST$§W Prestige
INTERACTION_REQUIRES_PRESTIGE	§Y[Actor.GetTitledFirstName]§! can afford to lose §Y$COST$§W Prestige	Celtic Unit Pack
CelticUnitPackDLC	Celtic Unit Pack	Celtic Portraits
CelticPortraitsDLC	Celtic Portraits	Broken Spirit
broken_spirit	Broken Spirit	Subjugated
opinion_subjugated_other_rel	Subjugated	Taran
d_meath_adj_irish	Taran	Ghanan Band
d_ghanan_band	Ghanan Band	Ghanan
d_ghanan_band_adj	Ghanan	Is Claimant
AIREASON_CONSORT_CLAIMANT	Is Claimant	With the ambition to become king of §Y[PrimaryTitle.GetName]§!, §Y[GetTitovledFirstName]§! is not allowed to move the capital outside the de jure kingdom.
#RULER_HAS_BECOME_KING_AMBITION	With the ambition to become king of §Y[PrimaryTitle.GetName]§!, §Y[GetTitovledFirstName]§! is not allowed to move the capital outside the de jure kingdom.	Hellenic
hellenic_pagan	Hellenic	The Hellenistic religion is polytheistic, with a pantheon of twelve major gods including Jupiter, Mars, Mercury, Venus, Minerva and Vesta. It originated in ancient Greece and with the conquests of Alexander the Great and the Roman Empire, it would go on to become the dominant religion in the Mediterranean world until the rise of Christendom. Defining features in-game: \n§Y*§! Can declare Subjugation Wars against all other pagans\n§Y*§! Rulers cannot declare Holy Wars\n§Y*§! Inferior at conversion and vulnerable to non-pagan missionaries
hellenic_pagan_DESC	The Hellenistic religion is polytheistic, with a pantheon of twelve major gods including Jupiter, Mars, Mercury, Venus, Minerva and Vesta. It originated in ancient Greece and with the conquests of Alexander the Great and the Roman Empire, it would go on to become the dominant religion in the Mediterranean world until the rise of Christendom.	Jupiter
GOD_JUPITER	Jupiter	Mercury
GOD_MERCURY	Mercury	Mars
GOD_MARS	Mars	Venus
GOD_VENUS	Venus	Minerva
GOD_MINERVA	Minerva	Vesta
GOD_VESTA	Vesta	Since the dawn of history, both Europe and the Middle East has been home to countless Pagan religions and cults unrelated to the Abrahamic faiths. Defining features in-game:\n§Y*§! Rulers are limited to Gavelkind Succession\n§Y*§! Rulers cannot declare Holy Wars\n§Y*§! Inferior at conversion and vulnerable to non-pagan missionaries
pagan_DESC	Since the dawn of history, both Europe and the Middle East has been home to countless Pagan religions and cults unrelated to the Abrahamic faiths.	The Aztec Church
d_aztec_reformed	The Aztec Church	Diviner
job_spiritual_hellenic_pagan	Diviner	Diviner
job_spiritual_pagan	Diviner	Pagans are allowed to subjugate other pagan rulers once in their lifetime. (With the 'Become King' ambition, there is no such time limit against targets within the kingdom.) Free men are always willing to follow the mightiest ruler...
#pagan_subjugation_desc	Pagans are allowed to subjugate other pagan rulers once in their lifetime. (With the 'Become King' ambition, there is no such time limit against targets within the kingdom.) Free men are always willing to follow the mightiest ruler...	
