#CODE	ENGLISH	ENGLISH
AIREASON_CAN_PAY_OWN_RANSOM	§Y[GetTitledFirstName]§! can afford [GetHerHis] own ransom	§Y[GetTitledFirstName]§! can afford [GetHerHis] own ransom
STILLBIRTH_LOG	§Y$MOTHER$§! gave birth to a stillborn little §Y$SEX$§!.	§Y$MOTHER$§! gave birth to a stillborn little §Y$SEX$§!.
religious_revolt_desc	Peasants of a different religion group can rise up to throw off oppression and spread their faith with fire and sword.	Peasants of a different religion group can rise up to throw off oppression and spread their faith with fire and sword.
lost_religious_revolt	Infidel Rebel Victories	Infidel Rebel Victories
won_religious_revolt	Infidel Rebels Crushed	Infidel Rebels Crushed
PRIEST	priest	priest
IMAM_PRIEST	imam	imam
SHEIKH_PRIEST	sheikh	sheikh
MULLAH	mullah	mullah
GODI	godi	godi
SHAMAN	shaman	shaman
VOLHV	volhv	volhv
AUGUR	augur	augur
HERBAD	herbad	herbad
RABBI	rabbi	rabbi
NOTIFICATION_EVENT_SETUP	Notification Events	Notification Events
CTT_CHRISTIAN_CRUSADES_UNLOCKED	The Crusading Era has Begun\n	The Crusading Era has Begun\n
CTT_MUSLIM_JIHADS_UNLOCKED	The Great Jihad Era has Begun\n	The Great Jihad Era has Begun\n
CTT_PAGAN_GHWS_UNLOCKED	The Pagan Great Holy War Era has Begun\n	The Pagan Great Holy War Era has Begun\n
EVTNAME39660	Crusader Kings	Crusader Kings
EVTDESC39660	Christian Pilgrims to the the Holy Land suffer all manner of abuse and the routes are not safe. In order to protect the pilgrims and secure Jerusalem for Christ and the faithful, His Holiness, [Root.GetTitledName], has accepted the possibility of an outright invasion by joint Christian forces. This signals a new era of large scale Christian holy wars - the Crusades.	Christian Pilgrims to the the Holy Land suffer all manner of abuse and the routes are not safe. In order to protect the pilgrims and secure Jerusalem for Christ and the faithful, His Holiness, [Root.GetTitledName], has accepted the possibility of an outright invasion by joint Christian forces. This signals a new era of large scale Christian holy wars - the Crusades.
EVTOPTA39660	Deus Vult!	Deus Vult!
EVTOPTB39660	Foolish Posturing!	Foolish Posturing!
EVTDESC39661	The Roman Empire in the East. Byzantium - Christianity's firm bulwark against the Mohammedan infidels of the Orient - is failing. The dire situation has convinced His Holiness, [Root.GetTitledName], to accept the possibility of an outright invasion by joint Christian forces. This signals a new era of large scale Christian holy wars - the Crusades.	The Roman Empire in the East. Byzantium - Christianity's firm bulwark against the Mohammedan infidels of the Orient - is failing. The dire situation has convinced His Holiness, [Root.GetTitledName], to accept the possibility of an outright invasion by joint Christian forces. This signals a new era of large scale Christian holy wars - the Crusades.
EVTDESC39662	Rome, the city of Saint Peter and the very seat of the Papacy itself, has fallen to infidels. In response, the Pope-in-exile, His Holiness, [Root.GetTitledName], has declared his intention to forge a great alliance of Christian lords in order to reclaim the eternal city. This signals a new era of large scale Christian holy wars - the Crusades.	Rome, the city of Saint Peter and the very seat of the Papacy itself, has fallen to infidels. In response, the Pope-in-exile, His Holiness, [Root.GetTitledName], has declared his intention to forge a great alliance of Christian lords in order to reclaim the eternal city. This signals a new era of large scale Christian holy wars - the Crusades.
EVTDESC39663	The very heartlands of Western Christianity are under siege by infidels! Desperate Christian lords have persuaded His Holiness, [Root.GetTitledName], to declare his intention of forging a great and righteous alliance to expel the heathens in the name of God. This signals a new era of large scale Christian holy wars - the Crusades.	The very heartlands of Western Christianity are under siege by infidels! Desperate Christian lords have persuaded His Holiness, [Root.GetTitledName], to declare his intention of forging a great and righteous alliance to expel the heathens in the name of God. This signals a new era of large scale Christian holy wars - the Crusades.
EVTNAME39670	Renewed Jihad	Renewed Jihad
EVTDESC39670	His Magnificence, [Root.GetTitledName], has been convinced by his [Root.Religion.GetPriestTitle]s that it is time to declare another era of Great Conquests, such as was the case under the first Caliphs. The Dar al-Islam must grow again. All righteous Muslim men should prepare to join the ranks of the mujahideen for the upcoming struggles. This signals a renewed era of Islamic expansion.	His Magnificence, [Root.GetTitledName], has been convinced by his [Root.Religion.GetPriestTitle]s that it is time to declare another era of Great Conquests, such as was the case under the first Caliphs. The Dar al-Islam must grow again. All righteous Muslim men should prepare to join the ranks of the mujahideen for the upcoming struggles. This signals a renewed era of Islamic expansion.
EVTOPTA39670	Allahu Akbar!	Allahu Akbar!
EVTOPTB39670	Disturbing News	Disturbing News
EVTDESC39671	The Holy City of Jerusalem, where the Prophet was taken up to heaven, has fallen to infidels! His Magnificence, [Root.GetTitledName], will not let this stand, and has declared that another era of Great Conquests is upon us, such as was the case in the days of the first Caliphs. The Dar al-Islam must be defended! All righteous Muslim men should prepare to join the ranks of the mujahideen for the upcoming struggles. This signals a renewed era of Islamic expansion.	The Holy City of Jerusalem, where the Prophet was taken up to heaven, has fallen to infidels! His Magnificence, [Root.GetTitledName], will not let this stand, and has declared that another era of Great Conquests is upon us, such as was the case in the days of the first Caliphs. The Dar al-Islam must be defended! All righteous Muslim men should prepare to join the ranks of the mujahideen for the upcoming struggles. This signals a renewed era of Islamic expansion.
EVTDESC39672	The unthinkable has happened! The holy city of Mecca has fallen to infidels and the Kaaba is even now being defiled by their very presence. His Magnificence, [Root.GetTitledName], has declared that an era of renewed Jihad is upon the world. The holy city must be retaken at all costs. All righteous Muslim men should prepare to join the ranks of the mujahideen for the upcoming struggles. This signals a renewed era of Islamic expansion.	The unthinkable has happened! The holy city of Mecca has fallen to infidels and the Kaaba is even now being defiled by their very presence. His Magnificence, [Root.GetTitledName], has declared that an era of renewed Jihad is upon the world. The holy city must be retaken at all costs. All righteous Muslim men should prepare to join the ranks of the mujahideen for the upcoming struggles. This signals a renewed era of Islamic expansion.
EVTDESC39673	The House of Islam is under grave threat from the onslaught of heathens and infidels in its very heartlands. In response, His Magnificence, [Root.GetTitledName], has declared that an era of renewed Jihad is upon the world. The core regions of the Dar al-Islam must be retaken at all costs. All righteous Muslim men should prepare to join the ranks of the mujahideen for the upcoming struggles. This signals a renewed era of Islamic expansion.	The House of Islam is under grave threat from the onslaught of heathens and infidels in its very heartlands. In response, His Magnificence, [Root.GetTitledName], has declared that an era of renewed Jihad is upon the world. The core regions of the Dar al-Islam must be retaken at all costs. All righteous Muslim men should prepare to join the ranks of the mujahideen for the upcoming struggles. This signals a renewed era of Islamic expansion.
EVTDESC39674	The House of Islam is under grave threat from the onslaught of heathens and infidels in Africa. In response, His Magnificence, [Root.GetTitledName], has declared that an era of renewed Jihad is upon the world. The western regions of the Ummah must be retaken at all costs. All righteous Muslim men should prepare to join the ranks of the mujahideen for the upcoming struggles. This signals a renewed era of Islamic expansion.	The House of Islam is under grave threat from the onslaught of heathens and infidels in Africa. In response, His Magnificence, [Root.GetTitledName], has declared that an era of renewed Jihad is upon the world. The western regions of the Ummah must be retaken at all costs. All righteous Muslim men should prepare to join the ranks of the mujahideen for the upcoming struggles. This signals a renewed era of Islamic expansion.
EVTNAME39680	Wrath of the Old Gods	Wrath of the Old Gods
EVTDESC39680	In response to the new era of Crusades and Jihads among the Abrahamic monotheists, the Great [Root.GetTitledName] has informed all [Root.Religion.GetName] [Root.Religion.GetPriestTitle]s of [Root.GetPossPronoun] plans for a magnificent [Root.Religion.GetName] Pagan response. In fact, all pagan heads of religion may now declare Great Holy Wars. This could be the beginning of unprecedented Heathen aggression.	In response to the new era of Crusades and Jihads among the Abrahamic monotheists, the Great [Root.GetTitledName] has informed all [Root.Religion.GetName] [Root.Religion.GetPriestTitle]s of [Root.GetPossPronoun] plans for a magnificent [Root.Religion.GetName] Pagan response. In fact, all pagan heads of religion may now declare Great Holy Wars. This could be the beginning of unprecedented Heathen aggression.
EVTOPTA39680	Great [Root.Religion.GetRandomGodName] is with us!	Great [Root.Religion.GetRandomGodName] is with us!
EVTOPTB39680	The Old Gods are Mighty!	The Old Gods are Mighty!
EVTOPTC39680	Lock up your son and daughter!	Lock up your son and daughter!
EVTDESC_TOG_1060	[Root.Religion.GetName] rebels have risen up in [Root.GetName], led by a militant [Root.Religion.GetPriestTitle]. If not swiftly crushed, this revolt could spread like wildfire!	[Root.Religion.GetName] rebels have risen up in [Root.GetName], led by a militant [Root.Religion.GetPriestTitle]. If not swiftly crushed, this revolt could spread like wildfire!
EVTOPTA_TOG_1060	Curses!	Curses!
EVTOPTB_TOG_1060	Accursed Infidels!	Accursed Infidels!
EVTDESC_TOG_1061	[From.Religion.GetName] rebels have risen up in [From.GetName], led by a militant [From.Religion.GetPriestTitle]. If not swiftly crushed, this revolt could spread like wildfire!	[From.Religion.GetName] rebels have risen up in [From.GetName], led by a militant [From.Religion.GetPriestTitle]. If not swiftly crushed, this revolt could spread like wildfire!
EVTDESC_TOG_1070	Another raving mob of [Root.Religion.GetName] infidels have risen up in [Root.GetName], reinforcing the ongoing uprising!	Another raving mob of [Root.Religion.GetName] infidels have risen up in [Root.GetName], reinforcing the ongoing uprising!
EVTOPTA_TOG_1070	Infidel Scum!	Infidel Scum!
EVTDESC_TOG_1071	Another raving mob of [From.Religion.GetName] infidels have risen up in [From.GetName], reinforcing the ongoing uprising!	Another raving mob of [From.Religion.GetName] infidels have risen up in [From.GetName], reinforcing the ongoing uprising!
EVTDESC_TOG_1190	A rebel mob breaks down my door and streams into the room. It's no use pleading for my life, I will go out fighting!	A rebel mob breaks down my door and streams into the room. It's no use pleading for my life, I will go out fighting!
EVTOPTA_TOG_1190	Die you bastards! Arrgh...	Die you bastards! Arrgh...
#EVTDESC_TOG_1191	§Y[From.GetTitledName]§! was murdered by rebels after the siege of §Y[FromFrom.GetName]§! in §Y[FromFrom.County.GetName]§!.	§Y[From.GetTitledName]§! was murdered by rebels after the siege of §Y[FromFrom.GetName]§! in §Y[FromFrom.County.GetName]§!.
EVTOPTA_TOG_1191	They will all hang for this!	They will all hang for this!
RETIRE_TO_MONASTERY_INTERACTION_TITLE	Order to Take the Vows	Order to Take the Vows
RETIRE_TO_MONASTERY_INTERACTION_DESC	Order §Y[Recipient.GetBestName]§! to take the vows and join a monastic order.	Order §Y[Recipient.GetBestName]§! to take the vows and join a monastic order.
RETIRE_TO_MONASTERY_INTERACTION_LONG_DESC	You can order unlanded courtiers to take the vows and join a monastic order of their choice. This will disqualify them from normal inheritance, but they can still be claimants.	You can order unlanded courtiers to take the vows and join a monastic order of their choice. This will disqualify them from normal inheritance, but they can still be claimants.
RETIRE_TO_MONASTERY_INTERACTION_0	§Y[Recipient.GetFirstName]§! will join the §Y$TITLE$§! in their defense of the [Recipient.Religion.GetName] faith.	§Y[Recipient.GetFirstName]§! will join the §Y$TITLE$§! in their defense of the [Recipient.Religion.GetName] faith.
RETIRE_TO_MONASTERY_INTERACTION_1	§Y[Recipient.GetFirstName]§! will become a monk, but stay in your court.	§Y[Recipient.GetFirstName]§! will become a monk, but stay in your court.
RETIRE_TO_MONASTERY_INTERACTION_2	§Y[Recipient.GetFirstName]§! will become a nun, but stay in your court.	§Y[Recipient.GetFirstName]§! will become a nun, but stay in your court.
RETIRE_TO_MONASTERY_INTERACTION_3	§Y[Recipient.GetFirstName]§! will be released from prison.	§Y[Recipient.GetFirstName]§! will be released from prison.
RETIRE_TO_MONASTERY_INTERACTION_ACCEPT_SETUP	Character Joins Monastic Order	Character Joins Monastic Order
RETIRE_TO_MONASTERY_INTERACTION_ACCEPT_LOG	§Y[Actor.GetDynName]§! ordered §Y[Recipient.GetBestName]§! to join a monastic order.	§Y[Actor.GetDynName]§! ordered §Y[Recipient.GetBestName]§! to join a monastic order.
INTERACTION_REQUIRES_RECIPIENT_UNMARRIED	§Y[Recipient.GetTitledFirstName]§! must be unmarried	§Y[Recipient.GetTitledName]§! must be unmarried
INTERACTION_REQUIRES_RECIPIENT_PRISONER_OR_NOT_HEIR	§Y[Recipient.GetTitledFirstName]§! must either be a prisoner or not an heir to any titles	§Y[Recipient.GetTitledName]§! must either be a prisoner or not an heir to any titles
INTERACTION_REQUIRES_NO_REGENT	§Y[Actor.GetTitledFirstName]§! must not have a regent	§Y[Actor.GetTitledName]§! must not have a regent
monk	Monk	Monk
monk_desc	This man is living out his days in a monastery, disqualified from normal inheritance.	This man is living out his days in a monastery, disqualified from normal inheritance.
nun	Nun	Nun
nun_desc	This woman is living out her days in a monastery, disqualified from normal inheritance.	This woman is living out her days in a monastery, disqualified from normal inheritance.
AIREASON_FOUND_MY_CALLING	Found my Calling	Found my Calling
d_bektashi	Bektashi Order	Bektashi Order
d_bektashi_adj	Bektashi	Bektashi
d_immortals	Immortals	Immortals
d_immortals_adj	Immortal	Immortal
d_zealots	Zealots	Zealots
d_zealots_adj	Zealot	Zealot
d_holy_sepulchre	Brotherhood of the Holy Sepulchre	Brotherhood of the Holy Sepulchre
d_holy_sepulchre_adj	Brotherhood	Brotherhood
d_saint_anthony	Order of Saint Anthony	Order of Saint Anthony
d_saint_anthony_adj	Saint Anthony	Saint Anthony
d_sky_lords	Lords of the Sky	Lords of the Sky
d_sky_lords_adj	Sky Lord	Sky Lord
d_spirit_guardians	Spirit Guardians	Spirit Guardians
d_spirit_guardians_adj	Guardian	Guardian
d_warriors_perun	Warriors of Perun	Warriors of Perun
d_warriors_perun_adj	Perun	Perun
d_chosen_perkunas	Chosen of Perkunas	Chosen of Perkunas
d_chosen_perkunas_adj	Perkunas	Perkunas
d_sons_kaleva	Sons of Kaleva	Sons of Kaleva
d_sons_kaleva_adj	Kaleva	Kaleva
d_huitzilopochtli	Cult of Huitzilopochtli	Cult of Huitzilopochtli
d_huitzilopochtli_adj	Huitzilopochtli	Huitzilopochtli
d_knights_santiago	Knights of Santiago	Knights of Santiago
d_knights_santiago_adj	Santiago	Santiago
d_knights_calatrava	Knights of Calatrava	Knights of Calatrava
d_knights_calatrava_adj	Calatrava	Calatrava
DEDEBABA	Dedebaba	Dedebaba
DYNASTY_CONTROLS_HOLY_ORDER	Dynasty controls $ORDER$: §G+$VALUE$§!	Dynasty controls $ORDER$: §G+$VALUE$§!
DYNASTY_CONTROLS_RELIGIOUS_HEAD	Dynasty controls $RELIGION$: §G+$VALUE$§!	Dynasty controls $RELIGION$: §G+$VALUE$§!
opinion_generous_donation	Generous Donation	Generous Donation
opinion_defending_vs_foreigners	Defending vs Foreigners	Defending vs Foreigners
donate_money_to_knights_hospitaler	Donate 300¤ to the Hospitallers	Donate 300¤ to the Hospitallers
donate_money_to_teutonic_order	Donate 300¤ to the Teutonic Order	Donate 300¤ to the Teutonic Order
donate_money_to_jomsvikings	Donate 300¤ to the Jomsvikings	Donate 300¤ to the Jomsvikings
donate_money_to_jomsvikings_desc	I can donate money to the Jomsvikings in exchange for [Player.Religion.GetPietyName] and lifelong respect from the priesthood.	I can donate money to the Jomsvikings in exchange for [Player.Religion.GetPietyName] and lifelong respect from the priesthood.
donated_to_holy_order	Donations to Holy Order	Donations to Holy Order
borrow_money_knights_templar	Borrow 300¤ from the Templars	Borrow 300¤ from the Templars
borrow_money_knights_templar_desc	I can borrow money from the Templars and pay back the same sum at any time. However, while I'm in their debt, the Grand Master can make various requests, like one of my sons joining their ranks.	I can borrow money from the Templars and pay back the same sum at any time. However, while I'm in their debt, the Grand Master can make various requests, like one of my sons joining their ranks.
borrowed_from_knights_templar	Owes 300¤ to the Knights Templar	Owes 300¤ to the Knights Templar
borrow_money_assassins	Borrow 300¤ from the Hashshashins	Borrow 300¤ from the Hashshashins
borrow_money_assassins_desc	I can borrow money from the Hashshashins and pay back the same sum at any time. However, while I'm in their debt, the Grand Master can make various requests, like one of my sons joining their ranks.	I can borrow money from the Hashshashins and pay back the same sum at any time. However, while I'm in their debt, the Grand Master can make various requests, like one of my sons joining their ranks.
borrowed_from_assassins	Owes 300¤ to the Hashshashins	Owes 300¤ to the Hashshashins
borrow_money_bektashi	Borrow 300¤ from the Bektashi	Borrow 300¤ from the Bektashi
borrow_money_bektashi_desc	I can borrow money from the Bektashi and pay back the same sum at any time. However, while I'm in their debt, the Grand Master can make various requests, like one of my sons joining their ranks.	I can borrow money from the Bektashi and pay back the same sum at any time. However, while I'm in their debt, the Grand Master can make various requests, like one of my sons joining their ranks.
borrowed_from_bektashi	Owes 300¤ to the Bektashi Order	Owes 300¤ to the Bektashi Order
vassalize_knights_templar	Vassalize the Knights Templar	Vassalize the Knights Templar
vassalize_knights_templar_desc	As the King of Jerusalem, it is within my power to vassalize the powerful Knights Templar at the cost of 500 gold.	As the King of Jerusalem, it is within my power to vassalize the powerful Knights Templar at the cost of 500 gold.
vassalize_knights_hospitaler	Vassalize the Knights Hospitaller	Vassalize the Knights Hospitaller
vassalize_knights_hospitaler_desc	As the King of Jerusalem, it is within my power to vassalize the powerful Knights Hospitaller at the cost of 500 gold.	As the King of Jerusalem, it is within my power to vassalize the powerful Knights Hospitaller at the cost of 500 gold.
expelled_d_knights_templar	Expelled the Knights Templar	Expelled the Knights Templar
expel_the_knights_templar	Expel the Knights Templar	Expel the Knights Templar
expel_the_knights_templar_desc	I can drive the Knights Templar from my realm and seize their castles. However, it is a very impious thing to do...	I can drive the Knights Templar from my realm and seize their castles. However, it is a very impious thing to do...
expel_the_knights_hospitaler	Expel the Knights Hospitaller	Expel the Knights Hospitaller
expel_the_knights_hospitaler_desc	I can drive the Knights Hospitaller from my realm and seize their castles. However, it is a very impious thing to do...	I can drive the Knights Hospitaller from my realm and seize their castles. However, it is a very impious thing to do...
expel_the_teutonic_order	Expel the Teutonic Order	Expel the Teutonic Order
