#CODE	ENGLISH	ENGLISH
RETCAP_FROM_BUILDINGS	From Buildings: §G$AMOUNT$§!\n	The Christians and Muslims are a constant threat to Pagans - they are more stable and can wage Holy Wars on you. However, all Pagans except the Tengri have a great defensive advantage: non-pagans take significant attrition damage in pagan lands. Alas, this effect does not last forever though - if the Pagan religion is reformed or if the attacker has a high enough technological level, the advantage is lost.
RETCAP_FROM_TECH	From Technology: §G+$PERCENT$%§!\n	The Pagan religions can be roughly sorted into two groups: Offensive (Tengri, Norse) and Defensive (Suomenusko, West African, Romuva, Slavic).
RETCAP_MINIMUM_RETINUE	Minimum Retinue: §Y$MIN$§!\n	The Offensive Pagans:\nAll Offensive Pagans lose Prestige when they have not been at war for some time, but they also never have a shortage of CBs to use on all those around them. Alternatively, they can go looting!
RETCAP_FROM_RELIGION	From Religion: $AMOUNT$\n	To loot, select an army and click on the 'Toggle Looter' button. Move the army to the lands of someone not of your religion to have them start looting. This will make you hostile toward the owner of the county and all his lieges, so beware of their troops.\nIf you are looting a county neighbouring your own lands, the loot will go straight into your coffers. Otherwise, you need a fleet in an adjacent sea zone. The loot will be loaded onto the ships, and will then need to be transported back to the homeland, so plan accordingly.\nThis means that only coastal counties and those next to your land can be looted. If you are Norse however, you have another option - your ships can navigate the major rivers of Europe, opening up more areas for raiding.
RETCAP_TOTAL	\nTotal: §Y$TOTAL$§!	The Norse also have the ability to do Prepared Invasions. After declaring their intention to invade an enemy, landless adventurers may flock to their banners. These extra troops will allow smaller Norse realms to take on larger enemies, making them even more dangerous to the Christian and Muslim world. However, both attacker and defender need to be of reasonable size and a ruler can only attempt one prepared invasion in his lifetime.
RAISE_COUNTY_LEVIES	Raise County Levies	The Defensive Pagans:\nThese Pagans are not quite as aggressive as the Norse and the Tengri - instead they focus on the defence of their homelands. The troops of the defensive pagans are more powerful than those of other religions, especially in counties of their own religion. Defensive pagans also have larger garrisons in their homelands.
RAISE_COUNTY_FLEETS	Raise County Fleets	Even though you are not playing as a Pagan you will find that they are bound to influence your game in many ways. This Hint screen will explain how their unique gameplay affects you, which can be useful even if you are a Crusader Kings II veteran.
TECH_DEM_INC_EMPERORS	§G+$AMOUNT$§! Demesne size for Emperors	The first thing to be aware of when dealing with Pagans is that they are much more aggressive than other, more 'civilized' religions. They can conquer or subjugate each other at will and are always a threat to their neighbours due to their looting and their powerful troops. A wise leader will know when to strike at them however, for their realms are far less stable than ours, especially in the early years of a new chieftain.
TECH_DEM_INC_KINGS	§G+$AMOUNT$§! Demesne size for Kings	Any county that borders a Pagan realm or that the Vikings can access via sea or river is at risk of their raids. Vikings will come in their ships, and steppe nomads on horses from the vast Tartar wastes. As they siege our counties, they loot and pillage the countryside, which will temporarily lower the tax income, so it is important to raise an army and chase them out. If they manage to actually occupy holdings, they can pillage these even further, burning down buildings, or even entire holdings. We can prevent this mainly by building forts - the fort level prevents looting, and heavily fortified counties can even block the Vikings' ability to sail down rivers.
TECH_DEM_INC_DUKES	§G+$AMOUNT$§! Demesne size for Dukes	The Pagan realms themselves are not the only threat - Vikings can declare their intention to invade a civilized country. Heathen adventurers from far and wide may then travel to join their ranks, boosting a normally harmless realm into a serious threat for even the mightiest of civilized rulers.
TECH_DEM_INC_COUNTS	§G+$AMOUNT$§! Demesne size for Counts	You can, of course, attempt to civilize these barbarians by sending our religious councillor to convert their rulers. If all else fails, you can also dominate them with Holy Wars, but you should be aware of how powerful the Pagan armies can be, especially when entrenched in their homelands, where their holdings will be hard to besiege and their troops will be much tougher to beat on the battlefield. Worst of all, it is far harder for us to forage in the hostile forests and marshes of the heathen homelands. Luckily, this harsh penalty can be overcome - either if the Pagans reform their religion and society to a point where we could almost consider them civilized, or if our technology reaches a high enough level.
TECH_DEM_INC_BARONS	§G+$AMOUNT$§! Demesne size for Barons	Does NOT control at least §Y$VAL$§W holy sites\n
#MONTHLY_PIETY_TO_LIEGE	Monthly Piety to Liege:\n	Controls at least §Y$VAL$§W holy sites\n
HINT_TECH_VIEW_TEXT_2	All Rulers above the rank of Count accumulate Technology Points in each of the three groups based on their Attributes.\nThese points can then be spent to increase the technological level in their capital.\nTechnology can also spread to neighbouring provinces, between demesne provinces or in Trade Zones.	Crossing of the Major River §Y$RIVER$§! to §Y$TO$§!
UNDER_PLAYER	This Holy Site is under your control	When attacking over a Major River, the attacking army will get a significant combat penalty
RELIGION_UNIT_MODIFIER	Modifier to all Units and Holdings controlled by this religion:	From Realm: §G$REALM$§!\n   Holdings: §Y$HOLDINGS$§!\n   Cap per Holding: §Y$PERHOLDING$§!\n
RELIGION_UNIT_HOME_MODIFIER	Additional Modifier in counties of this religion:	From Buildings: §G$AMOUNT$§!\n
PROVINCE_HAS_HOLYSITE	This County contains §Y$HOLYSITE$§!, a Holy Site of §Y$RELIGION$§!	From Technology: §G+$PERCENT$%§!\n
recently_conquered	Recently Conquered	Minimum Retinue: §Y$MIN$§!\n
new_administration	New Administration	From Religion: $AMOUNT$\n
#obj_become_king_title	Become King of [This.Capital.Kingdom.GetName]	\nTotal: §Y$TOTAL$§!
#obj_become_king_desc	[This.GetTitledFirstName] wants to become King of [This.Capital.Kingdom.GetName]. If pagan, it allows [This.GetObjectPronoun] the unlimited use of the Subjugation Casus Belli within the kingdom.	Raise County Levies
#obj_become_king_tip	Is King of [This.Capital.Kingdom.GetName]	Raise County Fleets
won_crusade	Victorious in Crusade	§G+$AMOUNT$§! Demesne size for Emperors
lost_crusade	Defeated in Crusade	§G+$AMOUNT$§! Demesne size for Kings
won_holy_war	Won Holy Wars	§G+$AMOUNT$§! Demesne size for Dukes
lost_holy_war	Lost Holy Wars	§G+$AMOUNT$§! Demesne size for Counts
paragon_of_virtue	Paragons of Virtue	§G+$AMOUNT$§! Demesne size for Barons
ruler_bowed_to_pope	Papal Demands Accepted	Monthly Piety to Liege:\n
ruler_defied_pope	Papal Demands Refused	All Rulers above the rank of Count accumulate Technology Points in each of the three groups based on their Attributes.\nThese points can then be spent to increase the technological level in their capital.\nTechnology can also spread to neighbouring provinces, between demesne provinces or in Trade Zones.
ruler_bowed_to_patriarch	Patriarchal Demands Accepted	This Holy Site is under your control
ruler_defied_patriarch	Patriarchal Demands Refused	Modifier to all Units and Holdings controlled by this religion:
religious_order_formed	Religious Orders Formed	Additional Modifier in provinces of this religion:
head_of_religion_neglect	Neglectful Head of Religion	This County contains §Y$HOLYSITE$§!, a Holy Site of §Y$RELIGION$§!
convert_to_attacker_religion	Convert to Attacker's Religion	Recently conquered
convert_to_attacker_religion_desc	We are currently under attack for religious reasons. If I accept conversion, I can end this war now and protect my people...	New Administration
#VASSAL_OPINION_CHANGE	All vassals' opinion of §Y$ABOUT$§! changes by $MUCH$	Become King of [This.Capital.Kingdom.GetName]
OPINION_CHANGE	§Y$ACTIVE$'s§! opinion of §Y$PASSIVE$§! changes by $MUCH$	[This.GetTitledFirstName] wants to become King of [This.Capital.Kingdom.GetName]. If pagan, it allows [This.GetObjectPronoun] the unlimited use of the Subjugation Casus Belli within the kingdom.
OPINION_CHANGE_TIMER	for §Y$TIME$§! $TIMEUNIT$.	Is King of [This.Capital.Kingdom.GetName]
HOSTILE_LOOTING	§YHostile§! and raiding §Y$ENEMY$§! for loot.\nThis will last another §Y$DAYS$§! days.	Victorious in Crusade
HOSTILE_LOOTED	§YHostile§! towards §Y$ENEMY$§! due to being raided.\nThis will last another §Y$DAYS$§! days.	Defeated in Crusade
HOSTILE_BOTH_LOOTING	§YHostile§! towards §Y$ENEMY$§! due to mutual raids.\nThis will last another §Y$DAYS$§! days.	Won Holy Wars
TIMEUNIT_YEARS	years	Lost Holy Wars
TIMEUNIT_MONTHS	months	Paragons of Virtue
ca_shipyard_1	Castle Shipyard	Papal Demands Accepted
ca_shipyard_2	Castle Shipyard	Papal Demands Refused
ca_shipyard_3	Castle Shipyard	Patriarchal Demands Accepted
ca_shipyard_4	Castle Shipyard	Patriarchal Demands Refused
ct_shipyard_1	City Shipyard	Religious Orders Formed
ct_shipyard_2	City Shipyard	Neglectful Head of Religion
ct_shipyard_3	City Shipyard	Convert to Attacker's Religion
ct_shipyard_4	City Shipyard	We are currently under attack for religious reasons. If I accept conversion, I can end this war now and protect my people...
tp_shipyard_1	Temple Shipyard	All vassals' opinion of §Y$ABOUT$§! changes by $MUCH$
tp_shipyard_2	Temple Shipyard	§Y$ACTIVE$'s§! opinion of §Y$PASSIVE$§! changes by $MUCH$
tp_shipyard_3	Temple Shipyard	for §Y$TIME$§! $TIMEUNIT$.\n
tp_shipyard_4	Temple Shipyard	§YHostile§! and raiding §Y$ENEMY$§! for loot.\nThis will last another §Y$DAYS$§! days.
shipyard_desc	Skilled shipwrights are hard at work here, building all sorts of seafaring vessels.	§YHostile§! towards §Y$ENEMY$§! due to being raided.\nThis will last another §Y$DAYS$§! days.
TOGGLE_LOOTER	Toggle Looter	§YHostile§! towards §Y$ENEMY$§! due to mutual raids.\nThis will last another §Y$DAYS$§! days.
TOGGLE_LOOTER_DESC	Setting this Unit to be a Looter will allow it to loot the counties and holdings of other rulers.\nThis will cause a temporary state of hostility with them however, allowing them to attack any of your troops	years
REL_AUTHORITY_CHANGE	§Y$RELIGION$§!: $PERC$ Moral Authority for §Y$TIME$§! $TIMEUNIT$.\n	months
IS_HOLY_CITY_FOR_RELIGION	The §Y$RELIGION$§! faith considers §Y$HOLDING$§! a holy site	Castle Shipyard
IS_HOLY_CITY_FOR_RELIGION_2	They have control of the holding	Castle Shipyard
IS_HOLY_ORDER	Is Holy Order	Castle Shipyard
IS_NOT_HOLY_ORDER	Is NOT Holy Order	Castle Shipyard
opinion_looted	Pillaged my Lands	City Shipyard
opinion_heir_guardian_my_culture	Heir Educated with Proper Culture	City Shipyard
opinion_heir_guardian_foreign_culture	Heir Educated with Foreign Culture	City Shipyard
PORTAGE	Portage between §Y$FROM$§! and §Y$TO$§!	City Shipyard
PORTAGE_DESC	A Portage allows ships to move between Major Rivers over a land county	Temple Shipyard
HOLY_SITE_CONTROLLED	(controlled)	Temple Shipyard
HOLY_SITE_PARTIALLY_CONTROLLED	(partial control)	Temple Shipyard
HOLY_SITE_NOT_CONTROLLED	(not controlled)	Temple Shipyard
RELHEAD_CONTROLS	controls a holy site	Skilled shipwrights are hard at work here, building all sorts of seafaring vessels.
HOLY_SITE_OF	Holy Site of	Toggle Looter
RELHEAD_DIPLO	Diplomacy of	Setting this Unit to be a Looter will allow it to loot the provinces and holdings of other religions.\nThis will cause a temporary state of hostility with them however, allowing them to attack any of your troops
RELHEAD_PIETY	[Player.Religion.GetPietyName] of	§Y$RELIGION$§!: $PERC$ Moral Authority for §Y$TIME$§! $TIMEUNIT$.\n
ORGANIZED_RELIGION	Organized Religion	The §Y$RELIGION$§! faith considers §Y$HOLDING$§! a holy site
INTERACTION_REQUIRES_RECIPIENT_CAN_MARRY	§Y[Recipient.GetTitledFirstName]§! must be able to marry and produce heirs	They have control of the holding
INTERACTION_PREP_INV_ALREADY_TARGETTED	§Y[Recipient.GetTitledFirstName]§! is not already targeted by a Prepared Invasion	Is Holy Order
INTERACTION_PREP_INV_ONLY_ONCE	§Y[Actor.GetTitledFirstName]§! can only prepare one invasion in [Actor.GetPossPronoun] lifetime	Is NOT Holy Order
MORAL_AUTHORITY_OF_RELIGION	Moral Authority of the §Y$RELIGION$§! faith: §Y$AUTHORITY$%§!	Pillaged my Lands
EVTNAME670	The [Root.Religion.GetName] Reformation	Heir Educated with Proper Culture
EVTDESC670	The ancient [Root.Religion.GetName] religion is proving unable to withstand the onslaught of the Cross and the Moon. Rather than abandoning the old ways, [Root.GetTitledName] and the most powerful priests have decided to reform the [Root.Religion.GetName] faith. With codified rites, a holy scripture and a strict church hierarchy under a single leader, they hope that the reformed [Root.Religion.GetName] faith is better armed to fight back against the weak and effeminate foreign beliefs!	Heir Educated with Foreign Culture
EVTOPTA670	For [Root.Religion.GetRandomGodName]!	Portage between §Y$FROM$§! and §Y$TO$§!
EVTOPTB670	Embrace the Reformation!	A Portage allows ships to move between Major Rivers over a land province
EVTOPTC670	The old ways are still best	(controlled)
EVTOPTD670	They are still barbarians!	(partial control)
NUM_CULTURE_REALM_PROVS_LESS	Fewer than §Y$NUM$§! §Y$CULTURE$§! Counties in Realm	(not controlled)
NUM_CULTURE_REALM_PROVS_MORE	At least §Y$NUM$§! §Y$CULTURE$§! Counties in Realm	controls a holy site
NUM_TITLE_REALM_PROVS_LESS	Fewer than §Y$NUM$§! Counties within the §Y$TITLE$§! in Realm	Holy Site of
NUM_TITLE_REALM_PROVS_MORE	At least §Y$NUM$§! Counties within the §Y$TITLE$§! in Realm	Diplomacy of
d_norse_pagan_reformed	The Fylkirate	[Player.Religion.GetPietyName] of
d_norse_pagan_reformed_adj	Norse	Organized Religion
d_baltic_pagan_reformed	The Romuvan Church	§Y[Recipient.GetTitledName]§! must be able to marry and produce heirs
d_baltic_pagan_reformed_adj	Romuva	§Y[Recipient.GetTitledName]§! is not already targeted by a Prepared Invasion
d_slavic_pagan_reformed	The Slavic Church	§Y[Actor.GetTitledName]§! can only prepare one invasion in [Actor.GetPossPronoun] lifetime
d_slavic_pagan_reformed_adj	Slavic	Moral Authority of the §Y$RELIGION$§! faith: §Y$AUTHORITY$%§!
d_tengri_pagan_reformed	The Tengri Church	The [Root.Religion.GetName] Reformation
d_tengri_pagan_reformed_adj	Tengri	The ancient [Root.Religion.GetName] religion is proving unable to withstand the onslaught of the Cross and the Moon. Rather than abandoning the old ways, [Root.GetTitledName] and the most powerful priests have decided to reform the [Root.Religion.GetName] faith. With codified rites, a holy scripture and a strict church hierarchy under a single leader, they hope that the reformed [Root.Religion.GetName] faith is better armed to fight back against the weak and effeminate foreign beliefs!
d_finnish_pagan_reformed	The Suomenusko Church	For [Root.Religion.GetRandomGodName]!
d_finnish_pagan_reformed_adj	Suomenusko	Embrace the Reformation!
d_aztec_pagan_reformed	The Aztec Church	The old ways are still best
d_aztec_pagan_reformed_adj	Aztec	They are still barbarians!
d_west_african_pagan_reformed	West African Church	Fewer than §Y$NUM$§! §Y$CULTURE$§! Counties in Realm
d_west_african_pagan_reformed_adj	West African	At least §Y$NUM$§! §Y$CULTURE$§! Counties in Realm
e_wendish_empire	Wendish Empire	Fewer than §Y$NUM$§! Counties within the §Y$TITLE$§! in Realm
e_wendish_empire_adj	Wendish	At least §Y$NUM$§! Counties within the §Y$TITLE$§! in Realm
e_tartaria	Tartaria	The Fylkirate
e_tartaria_adj	Tartar	Norse
e_carpathia	Carpathia	The Romuvan Church
e_carpathia_adj	Carpathian	Romuva
d_york_adj_norse	Jorvik	The Slavic Church
d_york_adj_swedish	Jorvik	Slavic
d_york_adj_danish	Jorvik	The Tengri Church
d_york_adj_norwegian	Jorvik	Tengri
d_pecs_adj_bohemian	Balaton	The Suomenusko Church
c_pecs_adj_bohemian	Balaton	Suomenusko
d_ungvar_adj_croatian	Chrobatian	The Aztec Church
k_asturias	Asturias	Aztec
k_asturias_adj	Asturian	West African Church
d_lendians	Lendians	West African
d_lendians_adj	Lendian	Wendish Empire
d_kryvians	Kryvians	Wendish
d_kryvians_adj	Kryvian	Tartaria
d_vyatichi	Vyatichi	Tartar
d_vyatichi_adj	Vyatich	Carpathia
d_severians	Severians	Carpathian
d_severians_adj	Severian	Jorvik
d_glomacze	Glomacze	Jorvik
d_glomacze_adj	Glomacz	Jorvik
d_sorbs	Sorbs	Jorvik
d_sorbs_adj	Sorbian	Balaton
d_obotrites	Obotrites	Balaton
d_obotrites_adj	Obotrite	Chrobatian
d_brandenburg_adj_pommeranian	Brennaburgian	Asturias
d_mecklemburg_adj_pommeranian	Weligradian	Asturian
WEST_FRANCIA	West Francia	Lendians
WEST_FRANCIA_ADJ	West Francian	Lendian
EAST_FRANCIA	East Francia	Kryvians
EAST_FRANCIA_ADJ	East Francian	Kryvian
FYLKIR	Fylkir	Vyatichi
FYLKJA	Fylkja	Vyatich
FYLKIR_FOA	Your Holiness	Severians
HEAD_PRIEST	High Priest	Severian
HEAD_PRIESTESS	High Priestess	Glomacze
HEAD_PRIEST_FOA	Your Holiness	Glomacz
TRIBAL	Tribal	Sorbs
TRIBAL_TITLE	§YTribal Title§! (cannot have de jure vassals)	Sorbian
TRIBAL_TITLE_DESC	Tribal Titles do not and cannot have de jure vassal titles. If a tribal chief gains control of a proper title of the same or higher rank, the tribal title will be destroyed forever.	Obotrites
TITULAR_TITLE_DESC	Titular Titles do not have any de jure vassals under them. However, given time, vassal duchies and kingdoms can become their de jure vassals, making the titular title a 'proper' one.	Obotrite
ISNT_VALID_PREP_INV_TARGET	§Y$CHAR$§!'s holdings in the §Y$TITLE$§! can NOT be taken through a Prepared Invasion	Brennaburgian
IS_VALID_PREP_INV_TARGET	§Y$CHAR$§!'s holdings in the §Y$TITLE$§! can be taken through a Prepared Invasion	Weligradian
NOT_ENOUGH_AUTHORITY_TO_REFORM_RELIGION	§RThe Moral Authority of §Y$RELIGION$§R must be at least §Y$NEED$§!	West Francia
NOT_ENOUGH_HOLY_SITES_TO_REFORM_RELIGION	§RYou only control §Y$CURRENT$§R of the §Y$RELIGION$§R holy sites, you need at least §Y$NEED$§!	West Francian
NOT_ENOUGH_PIETY_TO_REFORM_RELIGION	§RWe need at least §Y$NEED$§R $PIETYNAME$§!	East Francia
REFORM_RELIGION	§YReform the $RELIGION$ Faith§!	East Francian
REFORM_RELIGION_DESC	Reforming the $RELIGION$ faith will turn it into an organized religion with a religious head. Unless you control all of the Holy Sites, doing so requires §Y$AUTHORITY_REQ$§! Moral Authority and control of §Y$HOLY_SITES_REQ$§! $RELIGION$ holy sites. It will cost you §R$PIETY_COST$§! [Player.Religion.GetPietyName]. Rulers of a Reformed Pagan religion can use the Holy War Casus Belli, get access to most succession laws, no longer suffer Prestige loss while at peace, and will have less trouble with independent minded vassals. However, they also lose the defensive supply limit penalty for religious enemies in their territory and vassals will get upset if you have their levies raised for too long for no good reason.	Fylkir
title_courtesan	Concubine	Fylkja
REVOLT_SHARED_TICKING_WS_DESC	$PERC$: The Rebels Control all their Holdings	Your Holiness
REFORMED	Reformed	High Priest
BM_THE_OLD_GODS	The Old Gods	High Priestess
