#CODE	ENGLISH
ASK_COUNCIL_POSITION_INTERACTION_DESC	Spend a §YFavor§! to demand a §YCouncil§! position from your liege.
ASK_COUNCIL_POSITION_INTERACTION_LONG_DESC	You can spend the §YFavor§! §Y[Recipient.GetTitledFirstName]§! owes you to force them to give you a position on the §YCouncil§!.
ASK_COUNCIL_POSITION_INTERACTION_LETTER	\nTo return the favor you owe me, I request you give me my rightful position on your council.
ASK_COUNCIL_POSITION_INTERACTION_LETTER_GET	\nIn return for the favor you owe me, give me a position on your council.
ASK_COUNCIL_POSITION_INTERACTION_ACCEPT_LOG	§Y[Actor.GetBestName]§! used a favor on §Y[Recipient.GetBestName]§! to get the $POSITION|Y$ position$FIRED$
COUNCIL_POSITION_FIRED	, getting $FIRED|Y$ fired in the process.
coerced_into_council_position	Was forced to give a Council Position
DEMAND_POSITION_MUST_HAVE_POSITIONS	$RECIPIENT|Y$ must have §YCouncil§! positions that $ACTOR|Y$ can hold
DEMAND_POSITION_CAN_HOLD_POSITION	$ACTOR|Y$ can be $POSITION|Y$ for $RECIPIENT|Y$
DEMAND_POSITION_MUST_CHOOSE_POSITION	$ACTOR|Y$ must choose a §YCouncil§! Position to ask $RECIPIENT|Y$
#EVTDESC526	I demand that you grant me a position on your council, in return for the favor you owe me.
EVTDESC527	[This.GetTitledFirstName] declined [From.GetTitledFirstName] request to join the council as [Title.GetName], despite the favor owed.
EVTDESC528	[From.GetTitledFirstName] spent the favor [This.GetTitledFirstName] owed [From.GetObjectPronoun] to force the Realm Peace.
EVTDESC529	[This.GetTitledFirstName] declined [From.GetTitledFirstName] request to force the realm peace, despite the favor owed.
EVTDESC530	[From.GetTitledFirstName] spent the favor [This.GetTitledFirstName] owed [From.GetObjectPronoun] to force [This.GetTitledFirstName] to join their Factions.
EVTDESC531	[This.GetTitledFirstName] declined [From.GetTitledFirstName] to join [Actor.GetTitledFirstName]'s factions, despite the favor owed.
HAS_FACTION_TO_JOIN	$ACTOR|Y$ is leading at least one §YFaction§!
KINGDOM_LAW_DESC_CONCLAVE	Crown Laws can only be passed by Kings and Emperors, and concern everyone in the (de facto) kingdom or empire.
CAN_ENFORCE_PEACE	§YRealm Peace§! can be enforced
TOOLTIP_SoA_5357	This option is available to you due to your §YLustful§! and §YCynical§! nature and your high §YIntrigue§!\n.
AIREASON_IS_A_THREAT	Is a threat
stutter_desc	This character is a stutterer. It hampers their ability to communicate effectively with others.
EVTDESC1690	I'm going to be the bestest ruler ever when I grow up!
council_war_off_custom	 Council members can join factions freely\n
council_war_on_custom	Council members may only join factions when the Council is §RDiscontent§!\nNomad and tribal Council members can always join factions
CROWN_LAW_CHANGE_TIMEOUT	§RThe Council recently rejected a crown law change. You can attempt to make a crown law change again at $DATE$§!
ALLOW_MATRILINEAL_MARRIAGE_ON	Allow Matrilineal Marriage\n
ALLOW_MATRILINEAL_MARRIAGE_OFF	Disallow Matrilineal Marriage\n
LANDED_TITLE_BEING_CREATED	$TITLE$ is being created
#FORM_NON_AGGRESSION_PACT_INTERACTION_TITLE	Renegotiate Non-Aggression Pact
FORM_NON_AGGRESSION_PACT_INTERACTION_DESC	Form a Non-Aggression Pact between §Y[Actor.GetBestName]§! and §Y[Recipient.GetBestName]§!.
FORM_NON_AGGRESSION_PACT_INTERACTION_LONG_DESC	If your dynastic bonds are close enough, you can offer a Non-Aggression Pact to another character.
FORM_NON_AGGRESSION_PACT_INTERACTION_LETTER	\nI offer to form a Non-Aggression Pact with you.
FORM_NON_AGGRESSION_PACT_INTERACTION_LETTER_GET	\nLet us form a Non-Aggression Pact.
FORM_NON_AGGRESSION_PACT_INTERACTION_REQ	§Y[Actor.GetBestName]§! can form a Non-Aggression Pact with §Y[Recipient.GetBestName]§!
FORM_NON_AGGRESSION_PACT_INTERACTION_REJECTED_REQ	§Y[Recipient.GetBestName]§! has not recently rejected to form a Non-Aggression Pact with §Y[Actor.GetBestName]§!
EVTDESC524	I, [From.GetBestName], accept your proposal for a Non-Aggression Pact!
EVTDESC525	I, [From.GetBestName], unfortunately have to decline your proposal for a Non-Aggression Pact!
EVTOPTA524	A wise choice.
EVTOPTA525	What is the [GetFromRootInsult] planning?
COUNCILOR_LAW_CHANGE_ON_LIEGE_REALM_NOTIFICATION	$COUNCILOR$ has decided to institute the $LAW$ Law in $TITLE$
VOTE_AS_FAVOR_OWNER_SETUP	Vote as favor owner on law change while returning favor
COUNCILOR_LAW_CHANGE_IN_LIEGE_REALM_SETUP	Councilor initiating law change in liege's realm by using favor
COUNCILOR_LAW_CHANGE_IN_LIEGE_REALM_LOG	By calling in a Favor $COUNCILOR|Y$ has forced you to start a vote on the $LAW|Y$ Law in $TITLE|Y$.
ALLIANCE_BROKEN_SETUP	When alliance is broken
ALLIANCE_BROKEN_LOG	The alliance between $CHAR$ and $ALLY$ has broken down
VOTE_AS_REQUESTOR_LOG	$CHARACTER|Y$ has voted $VOTE$ $LAW|Y$ due to $REQUESTOR$ requesting support.
VOTE_AS_REQUESTOR_SETUP	Vote as requestor requesting support on law change
ConclaveDLC	Conclave
UNDECIDED	Undecided
LOWER_RELATIVE_POWER_WITH_ALLIES	Army size with allies is less than $VAL|Y%$ of that of $OTHER|Y$ with allies.
HIGHER_RELATIVE_POWER_WITH_ALLIES	Army size with allies is at least $VAL|Y%$ of that of $OTHER|Y$ with allies.
#INTERACTION_COALITION_REQUIRES_INFAMY_LIMIT	§Y[Recipient.GetTitledFirstName]§! must have at least $NUM|Y0%$ Infamy
#COALITION_SIZE	Infamy: $INFAMY|Y$/$LIMIT|Y$
FAVOR_INVITE	Force acceptance of an Invite to Court proposal
FAVOR_JOIN_WAR	Force acceptance of a Call to Arms
FAVOR_EMBARGO	Force acceptance of an Ask to Embargo proposal
FAVOR_JOIN_FACTION	Force someone to join factions you lead
FAVOR_COUNCIL_POSITION	Force your liege to give you a Council position
FAVOR_PREVENT_ENFORCE_PEACE	Prevent or force a Realm Peace from your liege
CALL_IN_FAVOR_INTERACTION_TITLE	Call in Council Support
