#CODE	ENGLISH
## PRONOUNS	## PRONOUNS
String_GetHoldingDuDela_Castle_1	castle
String_GetHoldingDuDela_Castle_2	castle
String_GetHoldingDuDela_Castle_3	palace
String_GetHoldingDuDela_Temple_1	temple
String_GetHoldingDuDela_Nomad_1	camp
String_GetHoldingDuDela_Nomad_2	encampment
String_GetHoldingDuDela_Nomad_3	palace
String_GetHoldingDuDela_Tribal_1	village
String_GetHoldingDuDela_Tribal_2	town
String_GetHoldingDuDela_Tribal_3	fortress
String_GetHoldingDuDela_City_1	city
String_GetHoldingDuDela_City_2	city
String_GetHoldingDuDela_City_3	metropolis
String_GetHoldingDuDela_Fallback_1	capital
String_GetHoldingDuDela_settlement	settlement
# GetSocietyNameDuDelaDes	# GetSocietyNameDuDelaDes
String_the_Assassins_DuDelaDes	_
String_the_Satanists_DuDelaDes	_
String_the_Cold_Ones_DuDelaDes	_
String_the_Trollcrafters_DuDelaDes	_
String_the_Cult_of_Kali_Purusha_DuDelaDes	_
String_the_Plaguebringers_DuDelaDes	_
String_the_Benedictine_Order_DuDelaDes	_
String_the_Dominican_Order_DuDelaDes	_
String_the_Community_of_Saint_Basil_DuDelaDes	_
String_the_Community_of_Saint_Abraham_DuDelaDes	_
String_the_Community_of_Saint_Anthony_DuDelaDes	_
String_the_Sravaka_Samgha_DuDelaDes	_
String_the_Advaita_Matha_DuDelaDes	_
String_the_Savaka_Sangha_DuDelaDes	_
String_hermetics_DuDelaDes	_
# GetHouseOfWorshipDuDela	# GetHouseOfWorshipDuDela
GetHouseOfWorshipDuDela_Christian	church
GetHouseOfWorshipDuDela_Muslim	mosque
GetHouseOfWorshipDuDela_Pagan	temple
GetHouseOfWorshipDuDela_Zoroastrian	temple
GetHouseOfWorshipDuDela_Jewish	synagogue
GetHouseOfWorshipDuDela_Hindu	temple
GetHouseOfWorshipDuDela_Buddhist	temple
GetHouseOfWorshipDuDela_Jain	temple
# GetHouseOfWorshipUnUne	# GetHouseOfWorshipUnUne
GetHouseOfWorshipUnUne_Christian	church
GetHouseOfWorshipUnUne_Muslim	mosque
GetHouseOfWorshipUnUne_Pagan	temple
GetHouseOfWorshipUnUne_Zoroastrian	temple
GetHouseOfWorshipUnUne_Jewish	synagogue
GetHouseOfWorshipUnUne_Hindu	temple
GetHouseOfWorshipUnUne_Buddhist	temple
GetHouseOfWorshipUnUne_Jain	temple
#GetMatterOfImportanceOnA	#GetMatterOfImportanceOnA
String_GetMatterOfImportanceOnA_daughter	_
String_GetMatterOfImportanceOnA_son	_
String_GetMatterOfImportanceOnA_GetHusbandWifeOpp	_
String_GetMatterOfImportanceOnA_investments	_
String_GetMatterOfImportanceOnA_garden	_
String_GetMatterOfImportanceOnA_building_plans	_
String_GetMatterOfImportanceOnA_sword_practice	_
String_GetMatterOfImportanceOnA_tome_collection	_
String_GetMatterOfImportanceOnA_friends	_
String_GetMatterOfImportanceOnA_love	_
String_GetMatterOfImportanceOnA_dog	_
String_GetMatterOfImportanceOnA_cat	_
String_GetMatterOfImportanceOnA_health	_
# GetDWSettlementAuAla	# GetDWSettlementAuAla
String_town_AuAla	_
String_camp_AuAla	_
## VARIOUS STRINGS	## VARIOUS STRINGS
# Strings Cultures	# Strings Cultures
String_Culture_afghan_female	Afghan
String_Culture_afghan_male	Afghan
String_Culture_alan_female	Alan
String_Culture_alan_male	Alan
String_Culture_andalusian_arabic_female	Andalusian
String_Culture_andalusian_arabic_male	Andalusian
String_Culture_armenian_female	Armenian
String_Culture_armenian_male	Armenian
String_Culture_ashkenazi_female	Ashkenazi
String_Culture_ashkenazi_male	Ashkenazi
String_Culture_assamese_female	Assamese
String_Culture_assamese_male	Assamese
String_Culture_avar_female	Avar
String_Culture_avar_male	Avar
String_Culture_baloch_female	Baloch
String_Culture_baloch_male	Baloch
String_Culture_basque_female	Basque
String_Culture_basque_male	Basque
String_Culture_bedouin_arabic_female	Bedouin
String_Culture_bedouin_arabic_male	Bedouin
String_Culture_bengali_female	Bengali
String_Culture_bengali_male	Bengali
String_Culture_bohemian_female	Bohemian
String_Culture_bohemian_male	Bohemian
String_Culture_bolghar_female	Bolghar
String_Culture_bolghar_male	Bolghar
String_Culture_breton_female	Breton
String_Culture_breton_male	Breton
String_Culture_bulgarian_female	Bulgarian
String_Culture_bulgarian_male	Bulgarian
String_Culture_castillan_female	Castilian
String_Culture_castillan_male	Castilian
String_Culture_catalan_female	Catalan
String_Culture_catalan_male	Catalan
String_Culture_croatian_female	Croatian
String_Culture_croatian_male	Croatian
String_Culture_cuman_female	Cuman
String_Culture_cuman_male	Cuman
String_Culture_danish_female	Danish
String_Culture_danish_male	Danish
String_Culture_dutch_female	Dutch
String_Culture_dutch_male	Dutch
String_Culture_egyptian_arabic_female	Egyptian
String_Culture_egyptian_arabic_male	Egyptian
String_Culture_english_female	English
String_Culture_english_male	English
String_Culture_ethiopian_female	Ethiopian
String_Culture_ethiopian_male	Ethiopian
String_Culture_finnish_female	Finnish
String_Culture_finnish_male	Finnish
String_Culture_frankish_female	French
String_Culture_frankish_male	French
String_Culture_frisian_female	Frisian
String_Culture_frisian_male	Frisian
String_Culture_georgian_female	Georgian
String_Culture_georgian_male	Georgian
String_Culture_german_female	German
String_Culture_german_male	German
String_Culture_greek_female	Greek
String_Culture_greek_male	Greek
String_Culture_gujurati_female	Gujarati
String_Culture_gujurati_male	Gujarati
String_Culture_hindustani_female	Hindustani
String_Culture_hindustani_male	Hindustani
String_Culture_horse_female	Horse
String_Culture_horse_male	Horse
String_Culture_hungarian_female	Hungarian
String_Culture_hungarian_male	Hungarian
String_Culture_ilmenian_female	Ilmenian
String_Culture_ilmenian_male	Ilmenian
String_Culture_irish_female	Irish
String_Culture_irish_male	Irish
String_Culture_italian_female	Italian
String_Culture_italian_male	Italian
String_Culture_kannada_female	Kannada
String_Culture_kannada_male	Kannada
String_Culture_karluk_female	Karluk
String_Culture_karluk_male	Karluk
String_Culture_khanty_female	Khanty
String_Culture_khanty_male	Khanty
String_Culture_khazar_female	Khazar
String_Culture_khazar_male	Khazar
String_Culture_khitan_female	Khitan
String_Culture_khitan_male	Khitan
String_Culture_kirghiz_female	Kirghiz
String_Culture_kirghiz_male	Kirghiz
String_Culture_komi_female	Komi
String_Culture_komi_male	Komi
String_Culture_kurdish_female	Kurdish
String_Culture_kurdish_male	Kurdish
String_Culture_lappish_female	Sami
String_Culture_lappish_male	Sami
String_Culture_lettigallish_female	Lettigallian
String_Culture_lettigallish_male	Lettigallian
String_Culture_levantine_arabic_female	Levantine
String_Culture_levantine_arabic_male	Levantine
String_Culture_lithuanian_female	Lithuanian
String_Culture_lithuanian_male	Lithuanian
String_Culture_lombard_female	Lombard
String_Culture_lombard_male	Lombard
String_Culture_maghreb_arabic_female	Berber
String_Culture_maghreb_arabic_male	Berber
String_Culture_manden_female	Mandé
String_Culture_manden_male	Mandé
String_Culture_marathi_female	Marathi
String_Culture_marathi_male	Marathi
String_Culture_mongol_female	Mongol
String_Culture_mongol_male	Mongol
String_Culture_mordvin_female	Mordvin
String_Culture_mordvin_male	Mordvin
String_Culture_nahuatl_female	Nahua
String_Culture_nahuatl_male	Nahua
String_Culture_norman_female	Norman
String_Culture_norman_male	Norman
String_Culture_norse_female	Norse
String_Culture_norse_male	Norse
String_Culture_norwegian_female	Norwegian
String_Culture_norwegian_male	Norwegian
String_Culture_nubian_female	Nubian
String_Culture_nubian_male	Nubian
String_Culture_occitan_female	Occitan
String_Culture_occitan_male	Occitan
String_Culture_old_frankish_female	Frankish
String_Culture_old_frankish_male	Frankish
String_Culture_old_saxon_female	Saxon
String_Culture_old_saxon_male	Saxon
String_Culture_oriya_female	Oriya
String_Culture_oriya_male	Oriya
String_Culture_panjabi_female	Panjabi
String_Culture_panjabi_male	Panjabi
String_Culture_pecheneg_female	Pecheneg
String_Culture_pecheneg_male	Pecheneg
String_Culture_persian_female	Persian
String_Culture_persian_male	Persian
String_Culture_pictish_female	Pictish
String_Culture_pictish_male	Pictish
String_Culture_polish_female	Polish
String_Culture_polish_male	Polish
String_Culture_pommeranian_female	Pomeranian
String_Culture_pommeranian_male	Pomeranian
String_Culture_portuguese_female	Portuguese
String_Culture_portuguese_male	Portuguese
String_Culture_prussian_female	Prussian
String_Culture_prussian_male	Prussian
String_Culture_rajput_female	Rajput
String_Culture_rajput_male	Rajput
String_Culture_roman_female	Roman
String_Culture_roman_male	Roman
String_Culture_romanian_female	Vlach
String_Culture_romanian_male	Vlach
String_Culture_russian_female	Russian
String_Culture_russian_male	Russian
String_Culture_samoyed_female	Nenets
String_Culture_samoyed_male	Nenets
String_Culture_saxon_female	Anglo-Saxon
String_Culture_saxon_male	Anglo-Saxon
String_Culture_scottish_female	Scottish
String_Culture_scottish_male	Scottish
String_Culture_sephardi_female	Sephardi
String_Culture_sephardi_male	Sephardi
String_Culture_serbian_female	Serbian
String_Culture_serbian_male	Serbian
String_Culture_severian_female	Severian
String_Culture_severian_male	Severian
String_Culture_sindhi_female	Sindhi
String_Culture_sindhi_male	Sindhi
String_Culture_sinhala_female	Sinhala
String_Culture_sinhala_male	Sinhala
String_Culture_sogdian_female	Sogdian
String_Culture_sogdian_male	Sogdian
String_Culture_somali_female	Somali
String_Culture_somali_male	Somali
String_Culture_suebi_female	Suebi
String_Culture_suebi_male	Suebi
String_Culture_swedish_female	Swedish
String_Culture_swedish_male	Swedish
String_Culture_tamil_female	Tamil
String_Culture_tamil_male	Tamil
String_Culture_telugu_female	Telugu
String_Culture_telugu_male	Telugu
String_Culture_tocharian_female	Tocharian
String_Culture_tocharian_male	Tocharian
String_Culture_turkish_female	Turkish
String_Culture_turkish_male	Turkish
String_Culture_ugricbaltic_female	Estonian
String_Culture_ugricbaltic_male	Estonian
String_Culture_uyghur_female	Uyghur
String_Culture_uyghur_male	Uyghur
String_Culture_visigothic_female	Visigothic
String_Culture_visigothic_male	Visigothic
String_Culture_volhynian_female	Volhynian
String_Culture_volhynian_male	Volhynian
String_Culture_welsh_female	Welsh
String_Culture_welsh_male	Welsh
# Strings Masculine Plural (exceptions in French)	# Strings Masculine Plural (exceptions in French)
String_Culture_andalusian_arabic_MascPl	_
String_Culture_assamese_MascPl	_
String_Culture_danish_MascPl	_
String_Culture_dutch_MascPl	_
String_Culture_english_MascPl	_
String_Culture_finnish_MascPl	_
String_Culture_frankish_MascPl	_
String_Culture_hindustani_MascPl	_
String_Culture_hungarian_MascPl	_
String_Culture_irish_MascPl	_
String_Culture_polish_MascPl	_
String_Culture_portuguese_MascPl	_
String_Culture_scottish_MascPl	_
String_Culture_swedish_MascPl	_
String_Culture_welsh_MascPl	_
# Strings Religions	# Strings Religions
String_Religion_aztec_female	Aztec
String_Religion_aztec_male	Aztec
String_Religion_aztec_reformed_female	Aztec
String_Religion_aztec_reformed_male	Aztec
String_Religion_baltic_pagan_female	Romuva
String_Religion_baltic_pagan_male	Romuva
String_Religion_baltic_pagan_reformed_female	Romuva
String_Religion_baltic_pagan_reformed_male	Romuva
String_Religion_bogomilist_female	Bogomilist
String_Religion_bogomilist_male	Bogomilist
String_Religion_buddhist_female	Buddhist
String_Religion_buddhist_male	Buddhist
String_Religion_cathar_female	Cathar
String_Religion_cathar_male	Cathar
String_Religion_catholic_female	Catholic
String_Religion_catholic_male	Catholic
String_Religion_druze_female	Druze
String_Religion_druze_male	Druze
String_Religion_finnish_pagan_female	Suomenusko
String_Religion_finnish_pagan_male	Suomenusko
String_Religion_finnish_pagan_reformed_female	Suomenusko
String_Religion_finnish_pagan_reformed_male	Suomenusko
String_Religion_fraticelli_female	Fraticelli
String_Religion_fraticelli_male	Fraticelli
String_Religion_hellenic_pagan_female	Hellenic
String_Religion_hellenic_pagan_male	Hellenic
String_Religion_hindu_female	Hindu
String_Religion_hindu_male	Hindu
String_Religion_hurufi_female	Hurufi
String_Religion_hurufi_male	Hurufi
String_Religion_ibadi_female	Ibadi
String_Religion_ibadi_male	Ibadi
String_Religion_iconoclast_female	Iconoclast
String_Religion_iconoclast_male	Iconoclast
String_Religion_jain_female	Jain
String_Religion_jain_male	Jain
String_Religion_jewish_female	Jewish
String_Religion_jewish_male	Jewish
String_Religion_karaite_female	Karaite
String_Religion_karaite_male	Karaite
String_Religion_kharijite_female	Kharijite
String_Religion_kharijite_male	Kharijite
String_Religion_lollard_female	Lollard
String_Religion_lollard_male	Lollard
String_Religion_manichean_female	Manichean
String_Religion_manichean_male	Manichean
String_Religion_mazdaki_female	Mazdaki
String_Religion_mazdaki_male	Mazdaki
String_Religion_messalian_female	Messalian
String_Religion_messalian_male	Messalian
String_Religion_miaphysite_female	Miaphysite
String_Religion_miaphysite_male	Miaphysite
String_Religion_monophysite_female	Monophysite
String_Religion_monophysite_male	Monophysite
String_Religion_monothelite_female	Monothelite
String_Religion_monothelite_male	Monothelite
String_Religion_nestorian_female	Nestorian
String_Religion_nestorian_male	Nestorian
String_Religion_norse_pagan_female	Germanic
String_Religion_norse_pagan_male	Germanic
String_Religion_norse_pagan_reformed_female	Germanic
String_Religion_norse_pagan_reformed_male	Germanic
String_Religion_orthodox_female	Orthodox
String_Religion_orthodox_male	Orthodox
String_Religion_pagan_female	Pagan
String_Religion_pagan_male	Pagan
String_Religion_paulician_female	Paulician
String_Religion_paulician_male	Paulician
String_Religion_samaritan_female	Samaritan
String_Religion_samaritan_male	Samaritan
String_Religion_shiite_female	Shia
String_Religion_shiite_male	Shia
String_Religion_slavic_pagan_female	Slavic
String_Religion_slavic_pagan_male	Slavic
String_Religion_slavic_pagan_reformed_female	Slavic
String_Religion_slavic_pagan_reformed_male	Slavic
String_Religion_sunni_female	Sunni
String_Religion_sunni_male	Sunni
String_Religion_tengri_pagan_female	Tengri
String_Religion_tengri_pagan_male	Tengri
String_Religion_tengri_pagan_reformed_female	Tengri
String_Religion_tengri_pagan_reformed_male	Tengri
String_Religion_waldensian_female	Waldensian
String_Religion_waldensian_male	Waldensian
String_Religion_west_african_pagan_female	West African
String_Religion_west_african_pagan_male	West African
String_Religion_west_african_pagan_reformed_female	West African
String_Religion_west_african_pagan_reformed_male	West African
String_Religion_yazidi_female	Yazidi
String_Religion_yazidi_male	Yazidi
String_Religion_zikri_female	Zikri
String_Religion_zikri_male	Zikri
String_Religion_zoroastrian_female	Zoroastrian
String_Religion_zoroastrian_male	Zoroastrian
String_Religion_zun_pagan_female	Zunist
String_Religion_zun_pagan_male	Zunist
String_Religion_zun_pagan_reformed_female	Church of Zun
String_Religion_zun_pagan_reformed_male	Church of Zun
# Strings Religions Masculine Plural (exception in French)	# Strings Religions Masculine Plural (exception in French)
String_Religion_waldensian_MascPl	_
# Strings Religion Groups	# Strings Religion Groups
String_ReligionGroups_christian_female	Christian
String_ReligionGroups_christian_male	Christian
String_ReligionGroups_indian_group_female	Dharman
String_ReligionGroups_indian_group_male	Dharman
String_ReligionGroups_jewish_group_female	Israelite
String_ReligionGroups_jewish_group_male	Israelite
String_ReligionGroups_muslim_female	Muslim
String_ReligionGroups_muslim_male	Muslim
String_ReligionGroups_pagan_group_female	Pagan
String_ReligionGroups_pagan_group_male	Pagan
String_ReligionGroups_zoroastrian_group_female	Mazdan
String_ReligionGroups_zoroastrian_group_male	Mazdan
# Strings High God + DuDelaDes	# Strings High God + DuDelaDes
String_HighGodDuDelaDes_GOD_AHURA_MAZDA	Ahura Mazda
String_HighGodDuDelaDes_GOD_ALLAH	Allah
String_HighGodDuDelaDes_GOD_BRAHMA	Brahma
String_HighGodDuDelaDes_GOD_DIEVAS	Dievas
String_HighGodDuDelaDes_GOD_GOD	God
String_HighGodDuDelaDes_GOD_HUITZILOPOCHTLI	Huitzilopochtli
String_HighGodDuDelaDes_GOD_ODIN	Odin
String_HighGodDuDelaDes_GOD_PERUN	Perun
String_HighGodDuDelaDes_GOD_SATURN	Saturn
String_HighGodDuDelaDes_GOD_SHAYTAN	Shaytan
String_HighGodDuDelaDes_GOD_TENGRI	Tengri
String_HighGodDuDelaDes_GOD_THE_CREATOR	the Creator
String_HighGodDuDelaDes_GOD_THE_TIRTHANKARAS	the Tirthanankaras
String_HighGodDuDelaDes_GOD_UKKO	Ukko
String_HighGodDuDelaDes_GOD_ZUN	Zun
String_HighGodDuDelaDes_GOD_ZURVAN	Zurvan
# Strings Evil God + DuDelaDes	# Strings Evil God + DuDelaDes
String_GetEvilGodDuDelaDes_TLAZOLTEOTL	Tlazolteotl
String_GetEvilGodDuDelaDes_VELNIAS	Velnias
String_GetEvilGodDuDelaDes_THE_DEVIL	the Devil
String_GetEvilGodDuDelaDes_MARA	Mara
String_GetEvilGodDuDelaDes_IBLIS	Iblis
String_GetEvilGodDuDelaDes_TUONI	Tuoni
String_GetEvilGodDuDelaDes_PLUTO	Pluto
String_GetEvilGodDuDelaDes_THE_VINAYAKAS	the Vinyakas
String_GetEvilGodDuDelaDes_AHRIMAN	Ahriman
String_GetEvilGodDuDelaDes_THE_DEMIURGE	the Demiurge
String_GetEvilGodDuDelaDes_LOKI	Loki
String_GetEvilGodDuDelaDes_THE_DARK_SPIRITS	the Dark Spirits
String_GetEvilGodDuDelaDes_SATAN	Satan
String_GetEvilGodDuDelaDes_GOD_VELES	Veles
String_GetEvilGodDuDelaDes_ERLIK	Erlik
String_GetEvilGodDuDelaDes_THE_DARKNESS	the Darkness
# Strings Scripture + DuDelaDes	# Strings Scripture + DuDelaDes
String_ScriptureDuDelaDes_Asceticus	Asceticus
String_ScriptureDuDelaDes_Bible	Bible
String_ScriptureDuDelaDes_Book_Of_Illumination	Book of Illumination
String_ScriptureDuDelaDes_Buddhacavana	Buddhacavana
String_ScriptureDuDelaDes_Epistles_Of_Wisdom	Epistles of Wisdom
String_ScriptureDuDelaDes_Gathas	Gathas
String_ScriptureDuDelaDes_Great_Secret	Great Secret
String_ScriptureDuDelaDes_Koran	Koran
String_ScriptureDuDelaDes_Legends	Legends
String_ScriptureDuDelaDes_Mahabharata	Mahabharata
String_ScriptureDuDelaDes_Sagas	Sagas
String_ScriptureDuDelaDes_Torah	Torah
# Strings Devil God + DuDela	# Strings Devil God + DuDela
String_DevilGodDuDela_Ahriman	Ahriman
String_DevilGodDuDela_Chernobog	Chernobog
String_DevilGodDuDela_Erlik	Erlik
String_DevilGodDuDela_Hel	Hel
String_DevilGodDuDela_Iblis	Iblis
String_DevilGodDuDela_Kali	Kali Purusha
String_DevilGodDuDela_Satan	Satan
# Strings GetScriptureName (currently not used)	# Strings GetScriptureName (currently not used)
#String_GetScripture_THE_ASCETICUS	The Asceticus
#String_GetScripture_THE_BIBLE	The Bible
#String_GetScripture_THE_BOOK_OF_ILLUMINATION	The Book of Illumination
#String_GetScripture_THE_BUDDHACAVANA	the Buddhacavana
#String_GetScripture_THE_EPISTLES_OF_WISDOM	The Epistles of Wisdom
#String_GetScripture_THE_GATHAS	The Gathas
#String_GetScripture_THE_GREAT_SECRET	The Great Secret
#String_GetScripture_THE_KORAN	The Koran
#String_GetScripture_THE_LEGENDS	The Legends
#String_GetScripture_THE_MAHABHARATA	the Mahabharata
#String_GetScripture_THE_SAGAS	The Sagas
#String_GetScripture_THE_TORAH	The Torah
