#CODE	ENGLISH
horse_regret	Saved Instead of Favorite Horse
opinion_killed_horse	Killed My Horse
EVTDESC_HL_6512_LIGHTNING	I was just about to leave Lightning by the watering hole, when [From.GetFirstName]'s horse reached out and bit [Root.GetHerHim]!
EVTDESC_HL_6512_ARROW	I was just about to leave Arrow by the watering hole, when [From.GetFirstName]'s horse reached out and bit [Root.GetHerHim]!
EVTDESC_HL_6512_DRAGON	I was just about to leave Dragon by the watering hole, when [From.GetFirstName]'s horse reached out and bit [Root.GetHerHim]!
EVTDESC_HL_6512_SKY	I was just about to leave Sky by the watering hole, when [From.GetFirstName]'s horse reached out and bit [Root.GetHerHim]!
EVTOPTA_HL_6512	I'll have that beast killed!
EVTOPTB_HL_6512	There's a better watering spot over here...
EVTDESC_HL_6990	I haven't been feeling quite like myself during the last couple of weeks. It feels like there's a piece of myself missing now that my favorite horse is gone.
EVTOPTA_HL_6990	I have to carry this burden alone.
EVTOPTB_HL_6990	I'm lucky to have a [Root.Spouse.GetHusbandWife] to comfort me.
EVTOPTC_HL_6990	I'm lucky to have a friend to comfort me.
EVTDESC_HL_6520	A foreign painter arrived at your camp today. The painter has previously created beautiful portraits of many noble feudal families and now offers his services to you.
EVTOPTA_HL_6520	I want a portrait of myself.
EVTOPTB_HL_6520	I want a portrait of my beloved wife.
EVTOPTC_HL_6520	I want a portrait of my beautiful concubine.
EVTOPTD_HL_6520_SKY	I want a portrait of my magnificent horse, Sky.
EVTOPTD_HL_6520_LIGHTNING	I want a portrait of my magnificent horse, Lightning.
EVTOPTD_HL_6520_ARROW	I want a portrait of my magnificent horse, Arrow.
EVTOPTD_HL_6520_DRAGON	I want a portrait of my magnificent horse, Dragon.
EVTOPTE_HL_6520	I can't afford this.
EVTDESC_HL_6500_LIGHTNING	Lightning, your favorite warhorse, has now taken [Root.GetHerHis] last gallop across the steppe and begun the eternal sleep. It is time to take your farewell of an old friend that has served you well. 
EVTDESC_HL_6500_SKY	Sky, your favorite warhorse, has taken [Root.GetHerHis] last gallop across the steppe and begun the eternal sleep. It is time to take your farewell of an old friend that has served you well. 
EVTDESC_HL_6500_DRAGON	Dragon, your favorite warhorse, has taken [Root.GetHerHis] last gallop across the steppe and begun the eternal sleep. It is time to take your farewell of an old friend that has served you well. 
EVTDESC_HL_6500_ARROW	Arrow, your favorite warhorse, has taken [Root.GetHerHis] last gallop across the steppe and begun the eternal sleep. It is time to take farewell to your steed that has served you well.
EVTOPTA_HL_6500	Goodbye, old friend.
abandon_trade_post	Abandon Trade Post
TRADEPOST_FINISHED_NON_REPUBLIC_LOG	A Trade Post has been built by §Y$CHARACTER$§! in §Y$PROVINCE$§!.
TRADEPOST_FINISHED_NON_REPUBLIC_SETUP	Trade Route Trade Post Built
abandon_trade_post_desc	You can abandon your trade post in this county in favor of a better location.
ACTIVE_TRADE_ROUTE_IN_PROVINCE	\n§YSilk Road§!\nThe Silk Road brings trade through this county.\n
INACTIVE_TRADE_ROUTE_IN_PROVINCE	\n§YSilk Road§!\n§RWar is blocking this part of the Silk Road. Provinces that are occupied or besieged will block the Silk Road downstream.§!\n
ACTIVE_TRADE_ROUTE_MODIFIER	\nThe Silk Road gives the following effects:\n$MODIFIER$\n\nTrade posts built in Silk Road counties increase the modifier for all provinces. If some Silk Road provinces are blocked (by siege or occupation), other Silk Road provinces temporarily get a higher bonus as trade is redirected.
INACTIVE_TRADE_ROUTE_MODIFIER	\nIf active, the Silk Road would give the following effects:\n$MODIFIER$\n\nTrade posts built in Silk Road counties increase the modifier for all provinces. If some Silk Road provinces are blocked (by siege or occupation), other Silk Road provinces temporarily get a higher bonus as trade is redirected.
MAPMODE_TRADE_ZONES_DESC	All Trade Zones, separated by their owners. Provinces on the Silk Road are shown striped in yellow if active or red if blocked by siege or occupation.
