#CODE	ENGLISH	ENGLISH
HOLD_ELECTION_EFFECT	An election is held in $TITLE$.\n	An election is held in $TITLE$.\n
REQUEST_ANSWER_YES	§GThis Request would be Accepted§!	§GThis Request would be Accepted§!
REQUEST_ANSWER_MAYBE	§YThis Request might be Accepted§!	§YThis Request might be Accepted§!
REQUEST_ANSWER_NO	§RThis Request would be Denied§!	§RThis Request would be Denied§!
HymnsOfAbrahamDLC	Hymns of Abraham	Hymns of Abraham
WoFUPDLC	Warriors of Faith Unit Pack	Warriors of Faith Unit Pack
MOUPDLC	Military Orders Unit Pack	Military Orders Unit Pack
REVOKE_TITLE_TOOLTIP	Revoke the title of §Y$TITLE$§! from §Y$HOLDER$§!	Revoke the title of §Y$TITLE$§! from §Y$HOLDER$§!
#DESTROY_TITLE_TOOPTIP	Destroy the title of §Y$TITLE$§!.	Destroy the title of §Y$TITLE$§!
TITLE_DESTROY_TOOLTIP_IS_NOT_PRIMARY	Title is not the Primary Title	Title is not the Primary Title
TITLE_DESTROY_TOOLTIP_CAN_AFFORD	Can afford to lose §Y$PRESTIGE$§! Prestige	Can afford to lose §Y$PRESTIGE$§! Prestige
TITLE_DESTROY_IS_NOT_GAVELKIND	Succession type is not Gavelkind	Succession type is not Gavelkind
temple_baron_jewish_group	Rabbi	Rabbi
temple_count_jewish_group	Kohen	Kohen
temple_duke_jewish_group	Rabban	Rabban
temple_king_jewish_group	Nasi	Nasi
