#CODE	ENGLISH
CONVERTING	CONVERTING
sea_queen_desc	This character is known and feared far and wide. Wherever salt water can be found, there is terror of the Sea Queen.
88017.cannibal	A shame about [From.GetBestName], but at least I have a snack!
8469.a	[Root.Religion.GetHighGodNameCap] be praised!
tengri_warrior	Skylord
tengri_warrior_desc	The epitome of a Steppe Warrior, this character has fought for the glory of Tengrism.
romuvas_own	Hound of Dievas
romuvas_own_desc	This character has fought to defend the Holy Forest.
ukkos_shield	Ukko's Hammer
ukkos_shield_desc	Striking like the lightning of Ukko, this character has fought for the Suomenusko faith.
eagle_warrior	Eagle Knight
eagle_warrior_desc	The life of Aztec warriors is one of constant battle, and the Eagle Knights are the bravest and most fearsome. Their primary purpose is to capture prisoners to be sacrificed to their Gods.
peruns_chosen	Perun's Chosen
peruns_chosen_desc	The axes of Perun's Chosen hew the enemies of the Slavic faith with the power of His lightning.
nyames_shield	Nyame's Shield
nyames_shield_desc	This character is one of the chosen warriors who fight for the West African faith.
sun_warrior	Warrior of the Sun
sun_warrior_desc	The Warriors of the Sun strike with all the fiery power of Zun Himself.
ares_own	Ares' Own
ares_own_desc	Ares' Own are overwhelming, insatiable in battle, destructive, and man-slaughtering. They fight for the Hellenic faith.
sacrificed_head_bad	Our Religious Head was sacrificed to Heathen Gods.
sacrificed_head_good	We sacrificed the Head of a false Religion!
EVTOPTA_TOG_611_Pope	All the power of your Church cannot save you, [From.GetBestName]!
EVTOPTA_TOG_612_Caliph	There shall be no peace upon you, [From.GetBestName]!
crazymurderdog_tooltip	Their family will be rather upset. 
crazymurderdog_court_tooltip	The Court is shocked! 
cannibal_trait	Cannibal
cannibal_trait_desc	This character seeks to serve man.
INSULT_CANNIBAL	cannibal
INSULT_CANNIBALISTIC	man-eating
DEATH_PLATYPUS_NO_KILLER	was horribly killed by platypuses
DEATH_PLATYPUS	was horribly killed by the platypuses of $KILLER$
trapped_immortal	Perpetual Motion Machine
trapped_immortal_desc	A trapped Immortal is consigned to run within a wheel here for all eternity. A system of pulleys and gears attached to the wheel run various sawmills, grindstones, and other useful machinery.
placeholdername_3	As the red mist begins to overcome you, you are conscious of grabbing a battleaxe from the wall and swinging it at [immortal_rival.GetFirstName] with a bestial scream of pure fury...\nWhen you come back to yourself you are coated head-to-toe in blood, [immortal_rival.GetFirstName]'s body is in numerous small pieces, and the hallway is in thorough need of a cleaning. You brush some entrails from your shoulder and continue about your business.
placeholdername_4	I wonder who that was?
placeholdername_5	GRRRRRAAARGH!
placeholdername_6	Huh, picked up a scratch.
placeholdername_7	As [immortal_rival.GetFirstName] rushes towards you, you let out a high-pitched scream and throw yourself to the floor. This seems to take [immortal_rival.GetHerHim] by surprize as [immortal_rival.GetSheHe] trips over your sprawled form. You leap to your feet and are about to flee the scene when you realize [immortal_rival.GetFirstName] is not getting up again, [immortal_rival.GetSheHe] somehow landed on [immortal_rival.GetHerHis] own sword.
placeholdername_8	That was lucky!
placeholdername_9	Oh [Root.Religion.GetHighGodName], I'm dying!
placeholdername_10	Not today, [immortal_rival.GetFirstName]!
placeholdername_11	Thinking quickly you step backwards into your chambers and press the concealed button in the door frame. The hidden trapdoor outside opens under [immortal_rival.GetFirstName]'s feet as [immortal_rival.GetHerHis] charge carries [immortal_rival.GetHerHim] towards you, turning [immortal_rival.GetHerHis] scream of anger into a squeal of surprize. While you are not sure if the spikes at the bottom can kill an Immortal, your are sure they will ruin [immortal_rival.GetHerHis] day.
placeholdername_12	Fill the pit with rocks, it's the only way to be sure.
placeholdername_13	Perhaps we can put [immortal_rival.GetFirstName] to good use...
placeholdername_14	As [immortal_rival.GetFirstName] makes some kind of threatening speech, you reflect that it was for exactly this kind of situation that you had concealed guard posts built throughout your home. You discreetly pull the silent-alarm rope and several squads of soldiers rush from their secret posts to swarm [immortal_rival.GetFirstName]. Although [immortal_rival.GetSheHe] seems to put up a good fight, they are no match for your well-equipped guards and are soon subdued.\n 'An excellent investment!' you think to yourself.
placeholdername_15	Take [immortal_rival.GetHerHim] to the cells.
placeholdername_16	Take [immortal_rival.GetHerHim] outside and burn [immortal_rival.GetHerHim].
placeholdername_17	Time to feed my special pets...
placeholdername_18	Wait! Let's talk about this!
placeholdername_19	Using all of your natural charm and wit you are able to engage [immortal_rival.GetFirstName] in conversation before [immortal_rival.GetSheHe] can attack. You quickly find common ground and form a strong rapport with [immortal_rival.GetFirstName], soon you are chatting away like old friends. After what seems like minutes you realize you have been talking for hours, and [immortal_rival.GetFirstName] reflects that [immortal_rival.GetSheHe] cannot believe they came here to kill you.\n 'I was so foolish,' [immortal_rival.GetSheHe] says, 'violence is never the answer!'
placeholdername_20	I keep my fiends close
placeholdername_21	but my enemies CLOSER!
placeholdername_22	Engage them in scholarly debate
placeholdername_23	You call out a number of theorems about the nature of mortality which sound high-minded but have some obvious flaws if given more than a cursory thought. [immortal_rival.GetFirstName] is clearly torn by their desire to kill you and begone, but [immortal_rival.GetSheHe] clearly cannot resist the urge to point out the errors in your logic. Exasperated, [immortal_rival.GetSheHe] begins an exhaustive refutation of your points, one by one.
placeholdername_24	Raise new arguments
placeholdername_25	Refuse to acknowledge your errors
placeholdername_26	[immortal_rival.GetFirstName] is clearly getting highly invested in your debate. Your deliberate errors in your opening arguments have convinced [immortal_rival.GetHerHim] that [immortal_rival.GetSheHe] has the upper hand. Finding broad gestures are not enough to emphasize their points they sheath their sword, pull out some chalk, and begin to scrawl notes and graphs on the wall of the corridor.
placeholdername_27	Spring a logical trap
placeholdername_28	While they are distracted, smash their head with a candlestick.
placeholdername_29	[immortal_rival.GetFirstName] has taken the bait and is vigorously arguing against what [immortal_rival.GetSheHe] believes to be your latest nonsensical point.\n'So you see,' they conclude angrily, 'immortals cannot possibly exist!'\nThere is a brief pause wherein you think you start to see a look of startled realization begin to form on [immortal_rival.GetFirstName]'s face, but before it can fully take shape there is a clap of displaced air and [immortal_rival.GetFirstName] vanishes from existence.
placeholdername_30	I think, therefore I am.
placeholdername_31	Fight!
placeholdername_32	Die
placeholdername_33	Rage...taking...control!
placeholdername_34	Perhaps a change of clothes is needed though.
placeholdername_35	You give up. 
placeholdername_36	[immortal_rival.GetFirstName] is disgusted by your cowardice and leaves.
immortal_loyalty	Immortal Loyalty
placeholdername_38	This character is devoted to their Immortal Liege and hopes to one day learn their secret.
immortal_suspicions	Immortal suspicions
placeholdername_40	This character is deeply suspicions of their possibly Immortal Liege.
immortal_hate	Immortal disgust
placeholdername_42	This character is disgusted by the unnatural Immortality of their Liege.
placeholdername_43	Some of my vassals are beginning to suspect my reign has lasted too long. While they are not yet fully convinced of my Immortality, they are suspicious and will likely make trouble if they remain in power.
placeholdername_44	The suspicious vassals are now certain there is something unnatural about me, and are certainly plotting my demise. They must be stamped out, root and branch.
appeased_religious	Blessed People
ask_wards_liege_to_allow_faith_focus	Ask Permission for Faith Focus
ask_wards_liege_to_allow_faith_focus_desc	Send a letter to §Y[Root.Liege.GetTitledFirstName]§! asking for permission to change the childhood focus of §Y[Root.GetFirstName]§!. Focusing on faith will make §Y[Root.GetFirstName]§! adopt your religion.
change_wards_focus_to_faith	Change Childhood Focus to Faith
change_wards_focus_to_faith_desc	Change the focus of §Y[Root.GetFirstName]§!. Focusing on faith will make §Y[Root.GetFirstName]§! adopt your religion.
EVTDESC_ZE_2140	To the [GetFromFromRootCompliment] [Root.GetTitledNameWithNick],\n\nI write to ask for your permission to give my ward, [From.GetFirstName], a proper [FromFrom.Religion.GetName] upbringing and learn the ways of [FromFrom.Religion.GetScriptureName].\n\nSigned [FromFrom.GetTitledFirstName].
EVTDESC_ZE_2141	Dear [Root.GetTitledNameWithNick],\n\nYour initiative to teach [FromFrom.GetFirstName] about your religion is most welcome and I accept your proposal.
EVTDESCB_ZE_2142	To the [GetFromRootInsult] [Root.GetTitledFirstName],\n\nI am certain you can understand what a blasphemous suggestion you are making! [FromFrom.GetFirstName] is supposed to grow up to be a fine and dutiful [FromFrom.GetManWoman], something which will obviously not be possible with your strange rituals and profane manners.
RULE_VASSAL_LIMIT	Vassal Limit
RULE_VASSAL_LIMIT_DEFAULT_DESC	The Vassal Limit and number of vassals a ruler can control without penalties is at the default level.
RULE_VASSAL_LIMIT_HALF_DESC	The Vassal Limit is reduced to half the default level.
RULE_VASSAL_LIMIT_QUARTERED_DESC	The Vassal Limit is reduced to a fourth of the default level.
RULE_VASSAL_LIMIT_UNLIMITED_DESC	There is no limit to the number of vassals a ruler can control.
RULE_GRANT_INDEPENDENCE	Grant Independence
RULE_GRANT_INDEPENDENCE_RESTRICTED_DESC	The Grant Independence action is restricted.
RULE_GRANT_INDEPENDENCE_UNRESTRICTED_DESC	The Grant Independence action is unrestricted and can be used to grant independence to anyone.
ATTACHED_UNIT	£4£
ATTACHED_TO_UNIT	£5£
GOV_LANDED_CAN_NOT_INHERIT	Landed characters can not inherit
RULE_DEMESNE_SIZE	Demesne Size
RULE_DEMESNE_SIZE_DEFAULT_DESC	The Demesne Size and amount of land a ruler can control is at the default level.
RULE_OPTION_HALF	Half
RULE_DEMESNE_SIZE_HALF_DESC	The Demesne Size is reduced to a half the default level.
RULE_OPTION_QUARTERED	Quartered
RULE_DEMESNE_SIZE_QUARTERED_DESC	The Demesne Size is reduced to a fourth of the default level.
RULE_OPTION_UNLIMITED	Unlimited
RULE_DEMESNE_SIZE_UNLIMITED_DESC	There is no limit to the amount of land a ruler can control.
RULE_TURKIC_INVASIONS	Turkic Conquerors
RULE_TURKIC_INVASIONS_HISTORICAL_DESC	The great Central Asian Turkic conquerors Sabuktigin, Seljuk and Timur will tend to rise in their historical timeframes.
RULE_TURKIC_INVASIONS_RANDOM_DESC	Sabuktigin, Seljuk and Timur can appear in a wider time span.
RULE_TURKIC_INVASIONS_OFF_DESC	The great Turkic conquerors will never rise.
RULE_DYNASTY_TITLE_NAMES	Titles Named After Dynasties
RULE_DYNASTY_TITLE_NAMES_ON_DESC	Many cultures name their titles after the ruling dynasty (e.g. Abbasids, Bavandids, etc.)
RULE_DYNASTY_TITLE_NAMES_OFF_DESC	The base name is always used for titles, regardless of the ruler's culture.
RULE_CULTURAL_TITLE_NAMES	Cultural Title Names
RULE_CULTURAL_TITLE_NAMES_ON_DESC	The names of titles may change depending on the ruling culture (e.g. 'Sviþjod' instead of Sweden.)
RULE_CULTURAL_TITLE_NAMES_OFF_DESC	The English name is used for all titles regardless of the ruling culture.
good_times	Cheery
desc_good_times	This character had a great time, resulting in a cheery disposition enjoyed by everyone.
EVTDESC72030	I saw my mortal enemy [feast_duel_target.GetTitledFirstName] as soon as I stepped into [Root.Liege.GetTitledFirstName]'s castle. [feast_duel_target.GetHerHisCap] presence was almost more than I could bear and I longed to pick up my sword and impale [feast_duel_target.GetHerHim] with it!
EVTTOOLTIP72031	[feast_duel_target.GetTitledFirstName] is challenged to a duel by [Root.GetTitledFirstName]
EVTDESC72034	'How dare you spoil my feast with your silly quarrel?!'\n\nI managed to stop the duel before anyone was killed but I could tell [From.GetTitledFirstName] did not really listen to me, [From.GetSheHe] looked as eager as ever to settle the scores with [From.GetHerHis] 'mortal enemy' [feast_duel_target.GetTitledFirstName].
EVTDESC72035	[From.GetTitledFirstName] managed to kill [From.GetHerHis] opponent [feast_duel_target.GetTitledFirstName] before I managed to stop the duel.
EVTDESC72036	The duel was over when I reached them, [From.GetTitledFirstName]'s opponent, [feast_duel_target.GetTitledFirstName], lay wounded at [From.GetHerHis] feet.
EVTDESC72037	[From.GetTitledFirstName]'s maimed opponent, [feast_duel_target.GetTitledFirstName], tried to stand up when I reached them, but collapsed once again at [From.GetTitledFirstName]'s feet.
EVTOPTA72037	Don't just stand there, help [feast_duel_target.GetHerHim]!
EVTOPTB72037	[feast_duel_target.GetTitledFirstName] surely deserved it
opinion_betrayed	Betrayed Me
EVTDESC107100	Congratulations on your marriage! While Alfonso is busy trying to get [Root.Spouse.GetFirstName] with child, you might want to select a new, family oriented Ambition.
EVTDESC_HL_8005_father	As your father's heir, it falls on you to take him to the mountains. He will be offered to the birds of prey and in death he will generously share his flesh with all living creatures. May his spirit soar into the heavens.
EVTDESC_HL_8005_brother	Without any heirs of his own, it falls on you to take your brother to the mountains. He will be offered to the birds of prey and in death he will generously share his flesh with all living creatures. May his spirit soar into the heavens.
EVTDESC_HL_8005_other	As per custom, you should take your predecessor to the mountains. They will be offered to the birds of prey and in death they will generously share their flesh with all living creatures. May their spirit soar into the heavens.
EVTDESC_HL_8005_mother	As your mother's heir it falls upon you to bring her to the mountains. She will be offered to the birds of prey, and in death she will generously share her flesh with all living creatures. May her spirit soar into the heavens.
EVTDESC_HL_8005_sister	Without any heirs of her own, it falls upon you to bring your sister to the mountains. She will be offered to the birds of prey, and in death she will generously share her flesh with all living creatures. May her spirit soar into the heavens.
EVTDESC20147	During a mission to try and fabricate a claim to a title in [From.Location.GetName], my [Root.GetChancellorName] has been murdered!
EVTOPTA_WOL_2080_TOOLTIP	The liege of §Y[target_spy_on.GetTitledFirstName]§! will decide how to deal with [target_spy_on.GetHerHim].\n
EVTOPTC_WOL_2080_TOOLTIP	§Y[target_spy_on.GetTitledFirstName]§! will either stay out of factions or be exposed, giving you the right to imprison [target_spy_on.GetHerHim].\n
EVTOPTD_WOL_2080_TOOLTIP	§Y[target_spy_on.GetTitledFirstName]§! will either join your factions or be exposed, giving you the right to imprison [target_spy_on.GetHerHim].\n
EVTOPTE_WOL_2080_TOOLTIP	Do not use the information, but keep spying on §Y[target_spy_on.GetTitledFirstName]§!.\n
EVTOPTF_WOL_2080_TOOLTIP	Do not use the information and stop spying on §Y[target_spy_on.GetTitledFirstName]§!.\n
EVTOPTE_WOL_2082_TOOLTIP	Do not use the information against §Y[target_spy_on.GetTitledFirstName]§!.\n
will_not_marry	Will Not Marry
will_not_marry_desc	For one reason or another, this character will not get married.
EVTDESCZE15002	Some nights you are beset by terrible nightmares in which you witness the death of your trusted steed, [From.GetBestName]. How will you be able to live without [From.GetHerHim]?
EVTOPTAZE15002	I shall offer [From.GetFirstName] my magical blood!
EVTOPTBZE15002	Immortality is my gift, and my gift alone!
opinion_given_council_position_1	Given Council Position
opinion_given_council_position_2	Given Council Position
opinion_given_council_position_3	Given Council Position
scandalous_councillor_1_desc	This character's choice of councillor has been the cause of some dismay.
scandalous_councillor_2_desc	This character's choice of councillor has been the cause of some dismay.
scandalous_councillor_3_desc	This character's choice of councillor has been the cause of some dismay.
opinion_distressing_encounter	Distressing Encounter
commit_suicide_immortal	Commit Suicide
commit_suicide_immortal_desc	At first the prospect of eternal life seemed to be the sweetest dream imaginable. In hindsight, eternity is a very, very long time.
attempting_suicide_tooltip	Has not attempted to commit suicide recently.
EVTDESC_RIP_30200_A	Eternal life brings nothing but heartbreak and sorrow. While everything and everyone around you ages and withers away, you remain unchanged. Each dreary day blurs into the next. You have decided to end your life… if you can.
EVTDESC_RIP_30200_B	You tried. You really, really did, but the endless, dreary days and even longer, empty nights have gotten the better of you. With no one to call your love, no friends to brighten your days and no children bringing dreams of a better tomorrow… life is not really worth living anymore.
EVTDESC_RIP_30200_C	You tried. You really, really did, but dark thoughts creep uninvited into your mind none the less. You know that you are not alone, although it sure feels that way. Being surrounded by people who do not see, cannot understand… some days that is worse than total isolation.
EVTOPTA_RIP_30200	I will meet my end in a duel to the death.
EVTOPTA_RIP_30200_TOOLTIP	You challenge your rival §Y[suicide_duel_target.GetTitledFirstName]§! to a duel.
EVTOPTB_RIP_30200	Poison will gift me sweet oblivion.
EVTOPTC_RIP_30200	I will have a quick and painless death by the noose.
EVTOPTD_RIP_30200	The highest balcony in the keep offers one last view of my realm.
EVTDESC_RIP_30202	To the [GetFromRootInsult] [Root.GetBestName],\nYou have tainted this world with your presence for too long. I challenge you to a duel. In a month's time, bring your sword and meet me in [From.Location.GetName], or forfeit your honor. Only one of us will return alive.\n\nSigned, [From.GetBestName]
EVTOPTA_RIP_30202	I will have that [GetFromRootInsult]'s head!
EVTOPTB_RIP_30202	No, that sounds dangerous...
EVTDESC_RIP_30203	To the [GetFromRootInsult] [Root.GetBestName],\nI will gladly rid this world of your foul presence. Get your affairs in order, for I will show you no mercy.\n\nSigned, [From.GetBestName]
EVTOPTA_RIP_30203	[From.GetSheHeCap] is playing right into my hands.
EVTDESC_RIP_30204	To the [GetFromRootInsult] [Root.GetBestName],\nI neither have the time nor desire to indulge you in your petty pastimes. Have you no better to do, such as running your realm, for one? \n\nSigned, [From.GetBestName]
EVTOPTA_RIP_30204	That blasted coward...
EVTOPTA_RIP_30204_TOOLTIP	Your plans to end your life have been foiled. Perhaps you will make another attempt, in time...\n
EVTDESC_RIP_30205_LOST	[suicide_duel_target.GetTitledFirstName] was easy enough to fool. [suicide_duel_target.GetSheHeCap] was so thirsty for your blood that [suicide_duel_target.GetSheHe] did not notice the feebleness of your attempts to defend yourself. It was only a moment before [suicide_duel_target.GetHerHis] blade found the hollow of your throat.
EVTDESC_RIP_30205_WON	That useless [suicide_duel_target.GetManWoman] is good for absolutely nothing! Despite your attempts to give [suicide_duel_target.GetHerHim] every possible opening [suicide_duel_target.GetTitledFirstName] only managed to give you a few scratches.
EVTDESC_RIP_30205_INCAPABLE	Everything seemed to go according to plan. [suicide_duel_target.GetTitledFirstName] did not mind your feeble attempts at defense and soon you were on your knees, ready to feel the kiss of [suicide_duel_target.GetHerHis] blade on your neck. Instead, it was the pommel which [suicide_duel_target.GetSheHe] smashed into the back of your head...
EVTOPTA_RIP_30205	A noble death.
EVTOPTB_RIP_30205	This is useless. There must be another way.
EVTOPTC_RIP_30205	For this failure, [From.GetFirstName] is the one who will lose their head!
EVTOPTD_RIP_30205	I wanted death, not this! Not another prison...
EVTDESC_RIP_30206_WON	As soon as you drew your blades, you knew something was wrong. [From.GetTitledFirstName] barely attempted to parry your blows. Perhaps it was dishonorable of you to take advantage of the situation, although no one will know...
EVTDESC_RIP_30206_LOST	Perhaps your thirst for [From.GetTitledFirstName]'s blood got the better of you. As soon as your blades met for the first time, it felt as if you stood no chance. Yet [Root.Religion.GetHighGodName] must have been on your side, for instead of slaying you, [From.GetFirstName] cast away [From.GetHerHis] sword in anger...
EVTOPTA_RIP_30206	That [GetRootFromInsult] is with [Root.Religion.GetRandomEvilGodName] now.
EVTOPTB_RIP_30206	[From.GetFirstName] has pestered me for the last time!
EVTOPTC_RIP_30206	I am lucky to be alive.
EVTDESC_RIP_30207_SUCCESS	It had barely been a few moments before you started to cough blood after ingesting the poisonous brew you had concocted. Finally, you would be released from this dreary world...
EVTDESC_RIP_30207_FAIL	It had barely been a few moments before you started to cough blood after ingesting the poisonous brew you had concocted. Finally, you would be released… At least so you thought. Soon the coughing stopped, and all you were left with was a faint nausea.
EVTOPTA_RIP_30207	Now, the endless rest...
EVTOPTB_RIP_30207	[Root.Religion.GetHighGodName], why do you deny me death?!
EVTDESC_RIP_30208_SUCCESS	Once, you had been told that hanging was the preferable method of ending one's life. You told yourself this as you put the noose around your neck. The feeling of dread was short-lived as the quick fall blessed you with nothingness.
EVTDESC_RIP_30208_FAIL	Once, a man told you that hanging was the preferable method of ending one's life. Perhaps he should have told you about the importance of a long drop… Instead you were left hanging, the rope slowly cutting into you neck, until [found_hanger.GetTitledFirstName] happened to stumble upon you...
EVTDESC_RIP_30209_SUCCESS	You indulged in one last look at the surrounding landscape before you climbed the railing. It was a beautiful sight, yet you would not miss it. A deep breath, and then you fell, free as a bird…
EVTDESC_RIP_30209_FAIL	You had one last look at the surrounding landscape before you climbed the railing and stepped into nothingness. Impact was swifter than you had anticipated. Instead of oblivion you were overcome with excruciating pain. As from thousands of leagues away, you could hear screaming...
EVTDESC_RIP_30210_A	Your body has become a prison. This is no way to live. During one of your rare moments of clear though, you notice [suicide_assistant.GetTitledFirstName] sitting by your bedside. [suicide_assistant.GetSheHeCap] must help you… must end it…
EVTDESC_RIP_30210_B	Your body has become a prison. This is no way to live. During one of your rare moments of clear thought, you notice someone sitting at your bedside. They must help you… must end it…
EVTOPTA_RIP_30210	Mercy, [suicide_assistant.GetFirstName]. No more… Please…
EVTOPTB_RIP_30210	I beg of you, mercy. No more… Please…
