#CODE	ENGLISH	ENGLISH
THREAT_LIEGE_DEJURELIEGE	DeJure Liege	DeJure Liege
INGAME_STORE	Ingame Store	Ingame Store
tut_3c_6	Multilayered Laws	Multilayered Laws
tut_3c_7	When you open the laws screen, you will see the ducal laws of Brittany. Brittany is de jure a part of France though, so the crown laws of france will affect you too. To see how, you need to click the shield to the upper right.	When you open the laws screen, you will see the ducal laws of Brittany. Brittany is de jure a part of France though, so the crown laws of france will affect you too. To see how, you need to click the shield to the upper right.
tut_3c_8	Multilayered Laws II	Multilayered Laws II
tut_3c_9	There are the laws in France that might affect Brittany. On the top part you can see the succesion laws France is using, and also the crowns laws on the bottom half. Click next to end this part.	There are the laws in France that might affect Brittany. On the top part you can see the succesion laws France is using, and also the crowns laws on the bottom half. Click next to end this part.
REINFORCE_TOOLTIP	Next month, $NUM$ new soldier(s) will have been recruited	Next month, $NUM$ new soldier(s) will have been recruited
#other_claim_desc	This Casus Belli can be used by §Y$PRESSER$§! to press §Y$CLAIMANT$'s§! claim on the §Y$TITLE$§!.\nIf §Y$PRESSER$§! and §Y$CLAIMANT$§! are of the same dynasty, or if §Y$PRESSER$§! is de jure liege of §Y$TITLE$§!, §Y$CLAIMANT$§! will also become a vassal of §Y$PRESSER$§!.	This Casus Belli can be used by §Y$PRESSER$§! to press §Y$CLAIMANT$'s§! claim on the §Y$TITLE$§!.\nIf §Y$PRESSER$§! and §Y$CLAIMANT$§! are of the same dynasty, or if §Y$PRESSER$§! is de jure liege of §Y$TITLE$§!, §Y$CLAIMANT$§! will also become a vassal of §Y$PRESSER$§!.
TECH_GROWTH_PROG_SETUP	Advancement Progress in Demesne	Advancement Progress in Demesne
TECH_GROWTH_PROG_LOG	Progress of $TECH$ advancement in $PROV$ increased to §Y$PROG$§!	Progress of $TECH$ advancement in $PROV$ increased to §Y$PROG$§!
TECH_GROWTH_REALM_SETUP	Advancement in Realm	Advancement in Realm
TECH_GROWTH_REALM_LOG	Local knowledge of $TECH$ in $PROV$ increased to level §Y$LEVEL$§!	Local knowledge of $TECH$ in $PROV$ increased to level §Y$LEVEL$§!
TECH_GROWTH_PROG_REALM_SETUP	Advancement Progress in Realm	Advancement Progress in Realm
TECH_GROWTH_PROG_REALM_LOG	Local progress of $TECH$ advancement in $PROV$ increased to §Y$PROG$§!	Local progress of $TECH$ advancement in $PROV$ increased to §Y$PROG$§!
LOADING_TIP_0	A 'demesne' is the collection of Castles, Cities and Temples held by one person.	A 'demesne' is the collection of Castles, Cities and Temples held by one person.
LOADING_TIP_49	Carefully check the traits of your wife	Carefully check the traits of your wife
EVTDESC3340	I almost swallowed my tongue when a friendly courtier paid his respects to me. He thought I was displeased with him and he left perplexed.	I almost swallowed my tongue when a friendly courtier paid his respects to me. He thought I was displeased with him and he left perplexed.
EVTOPTA3340	I think I lost his respect...	I think I lost his respect...
alert_dejure_claim_instant	§YYou can Press de jure Ducal Claims§!	§YYou can Press de jure Ducal Claims§!
alert_dejure_claim_delayed	The following de jure ducal claims can be pressed: $LIST$	The following de jure ducal claims can be pressed: $LIST$
PRESSABLE_CLAIM	$COUNTY$, for $CLAIMANT$	$COUNTY$, for $CLAIMANT$
OPT_draw_trees	Render trees	Render trees
OPT_draw_rivers	Render rivers	Render rivers
OPT_draw_citysprawl	Render city sprawl	Render city sprawl
tut_4c_11	Marriage Effects	Marriage Effects
OPT_legacy_shaders	Legacy graphics mode	Legacy graphics mode
