#CODE	ENGLISH	ENGLISH
ca_steppe_stable_desc	The steppe is ideal for warfare on horseback, and the nomadic warrior cultures of these lands know to press this advantage. These riding grounds produce extra light cavalry and horse archers.	The steppe is ideal for warfare on horseback, and the nomadic warrior cultures of these lands know to press this advantage. These riding grounds produce extra light cavalry and horse archers.
ca_culture_nahuatl_1	Jaguar Warrior Lodge	Jaguar Warrior Lodge
ca_culture_nahuatl_2	Jaguar Warrior Lodge	Jaguar Warrior Lodge
ca_culture_nahuatl_3	Jaguar Warrior Lodge	Jaguar Warrior Lodge
ca_culture_nahuatl_4	Jaguar Warrior Lodge	Jaguar Warrior Lodge
ca_culture_nahuatl_1_desc	The fearless warriors of the Jaguar order are trained here. They represent the elite of the Aztec war machine and entire armies have been known to rout at the mere sight of the spotted fur covering their armor.	The fearless warriors of the Jaguar order are trained here. They represent the elite of the Aztec war machine and entire armies have been known to rout at the mere sight of the spotted fur covering their armor.
pagan_group_succ_desc_1	has gone to the gods	has gone to the gods
pagan_group_succ_desc_4	has set course for the afterlife	has set course for the afterlife
pagan_group_succ_desc_8	feasts with the gods	feasts with the gods
norse_pagan_succ_desc_3	was lifted up by the Valkyries	was lifted up by the Valkyries
norse_pagan_reformed_succ_desc_3	was lifted up by the Valkyries	was lifted up by the Valkyries
norse_pagan_succ_desc_4	has set course for Asgard	has set course for Asgard
norse_pagan_reformed_succ_desc_4	has set course for Asgard	has set course for Asgard
norse_pagan_succ_desc_8	feasts in Valhalla	feasts in Valhalla
norse_pagan_reformed_succ_desc_8	feasts in Valhalla	feasts in Valhalla
muslim_succ_desc_1	is eating white raisins in blissful Paradise	is eating white raisins in blissful Paradise
muslim_succ_desc_2	rides the white Camels of Paradise	rides the white Camels of Paradise
muslim_succ_desc_3	was lifted up by Allah	was lifted up by Allah
muslim_succ_desc_4	has set course for al-Jannah	has set course for al-Jannah
muslim_succ_desc_8	is with the Houris in Paradise	is with the Houris in Paradise
west_african_pagan_succ_desc_1	has gone to join the ancestors	has gone to join the ancestors
west_african_pagan_reformed_succ_desc_1	has gone to join the ancestors	has gone to join the ancestors
DE_JURE_INDP_DESC	Becoming independent, de jure, as §Y$TITLE$§! (§Y$YEARS$§!/$NEEDED_YEARS$ years)	Becoming independent, de jure, as §Y$TITLE$§! (§Y$YEARS$§!/$NEEDED_YEARS$ years)
EVTDESC_TOG_4016	I trust you are in good health, [Root.GetTitledFirstName]. My name is Palnatoke, and I have taken it upon myself to create a brotherhood of warriors devoted to Thor and Odin. While sailing along the coast of Rügen, I discovered the perfect site to build our stronghold and I would ask your permission to settle this land.\n\nSigned,\n[From.GetTitledName]	I trust you are in good health, [Root.GetTitledFirstName]. My name is Palnatoke, and I have taken it upon myself to create a brotherhood of warriors devoted to Thor and Odin. While sailing along the coast of Rügen, I discovered the perfect site to build our stronghold and I would ask your permission to settle this land.\n\nSigned,\n[From.GetTitledName]
EVTDESC_TOG_4026	I trust you are in good health, [Root.GetTitledFirstName]. My name is Palnatoke, and I have taken it upon myself to create a brotherhood of warriors devoted to Thor and Odin. While sailing along the coast of Werle, I discovered the perfect site to build our stronghold and I would ask your permission to settle this land.\n\nSigned,\n[From.GetTitledName]	I trust you are in good health, [Root.GetTitledFirstName]. My name is Palnatoke, and I have taken it upon myself to create a brotherhood of warriors devoted to Thor and Odin. While sailing along the coast of Werle, I discovered the perfect site to build our stronghold and I would ask your permission to settle this land.\n\nSigned,\n[From.GetTitledName]
INTERACTION_CONSORT_NOT_PREGNANT	Concubine must not be pregnant	Concubine must not be pregnant
SETTLEMENT_LOOTED_LOG	§Y$SETTLEMENT$§! has been looted of §Y$LOOT$§!¤ by §Y$LOOTER$§!	§Y$SETTLEMENT$§! has been looted of §Y$LOOT$§!¤ by §Y$LOOTER$§!
EVTDESC20377	My liege, the local noble here in [From.Location.GetName], [FromFrom.GetTitledName], tried to silence me by sending some thugs to kill me! Luckily I managed to get away. I will go ahead and spread the rumor about [FromFrom.GetHerHis] corruption and destroy [FromFrom.GetHerHis] reputation among [FromFrom.GetHerHis] vassals.\n\nYour humble Spymaster,\n[From.GetTitledName]	My liege, the local noble here in [From.Location.GetName], [FromFrom.GetTitledName], tried to silence me by sending some thugs to kill me! Luckily I managed to get away. I will go ahead and spread the rumor about [FromFrom.GetHerHis] corruption and destroy [FromFrom.GetHerHis] reputation among [FromFrom.GetHerHis] vassals.\n\nYour humble Spymaster,\n[From.GetTitledName]
