#CODE	ENGLISH	ENGLISH
REL_CAPTOR	Captor	Captor
fp_vault_3_desc	This hidden chamber inside the palace can only be reached through one of the secret passages, and even then several special keys are required. It serves as a well-protected retreat for the head of the dynasty, where he or she can safely plot the conquest of the world without irritating distractions.	This hidden chamber inside the palace can only be reached through one of the secret passages, and even then several special keys are required. It serves as a well-protected retreat for the head of the dynasty, where he or she can safely plot the conquest of the world without irritating distractions.
#tr_port_1	Small Merchant Port	Small Merchant Port
tr_port_1	Merchant Port	Merchant Port
tr_port_2	Merchant Port	Merchant Port
tr_port_3	Merchant Port	Merchant Port
#tr_port_3	Large Merchant Port	Large Merchant Port
#tr_warehouse_1	Small Warehouse	Small Warehouse
tr_warehouse_1	Warehouse	Warehouse
tr_warehouse_2	Warehouse	Warehouse
tr_warehouse_3	Warehouse	Warehouse
#tr_warehouse_3	Large Warehouse	Large Warehouse
#tr_enclave_1	Small Merchant Enclave	Small Merchant Enclave
tr_enclave_1	Merchant Enclave	Merchant Enclave
tr_enclave_2	Merchant Enclave	Merchant Enclave
tr_enclave_3	Merchant Enclave	Merchant Enclave
#tr_enclave_3	Large Merchant Enclave	Large Merchant Enclave
#tr_garrison_1	Small Garrison	Small Garrison
tr_garrison_1	Garrison	Garrison
tr_garrison_2	Garrison	Garrison
tr_garrison_3	Garrison	Garrison
#tr_garrison_3	Large Garrison	Large Garrison
#tr_fort_1	Small Fort	Small Fort
tr_fort_1	Fort	Fort
tr_fort_2	Fort	Fort
tr_fort_3	Fort	Fort
#tr_fort_3	Large Fort	Large Fort
tr_port_1_desc	Merchant galleys load and off-load their cargo at this small port.	Merchant galleys load and off-load their cargo at this small port.
tr_port_2_desc	Merchant galleys load and off-load their cargo aided by a simple wooden harbor crane at this port.	Merchant galleys load and off-load their cargo aided by a simple wooden harbor crane at this port.
tr_port_3_desc	Merchant galleys load and off-load their cargo aided by several wooden harbor cranes at this bustling port.	Merchant galleys load and off-load their cargo aided by several wooden harbor cranes at this bustling port.
tr_warehouse_1_desc	This small warehouse houses goods awaiting shipment out to sea or to potential buyers further inland.	This small warehouse houses goods awaiting shipment out to sea or to potential buyers further inland.
tr_warehouse_2_desc	This warehouse houses goods awaiting shipment out to sea or to potential buyers further inland.	This warehouse houses goods awaiting shipment out to sea or to potential buyers further inland.
tr_warehouse_3_desc	This large warehouse houses goods awaiting shipment out to sea or to potential buyers further inland.	This large warehouse houses goods awaiting shipment out to sea or to potential buyers further inland.
tr_enclave_1_desc	A small enclave of expatriates from the republic have established themselves in this foreign land to conduct trade.	A small enclave of expatriates from the republic have established themselves in this foreign land to conduct trade.
tr_enclave_2_desc	An enclave of expatriates from the republic have established themselves in this foreign land to conduct trade.	An enclave of expatriates from the republic have established themselves in this foreign land to conduct trade.
tr_enclave_3_desc	A large enclave of expatriates from the republic have established themselves in this foreign land to conduct trade.	A large enclave of expatriates from the republic have established themselves in this foreign land to conduct trade.
tr_garrison_1_desc	A small garrison stands vigil over the trade post to deter bandits and rival trade powers.	A small garrison stands vigil over the trade post to deter bandits and rival trade powers.
tr_garrison_2_desc	A garrison stands vigil over the trade post to deter bandits and rival trade powers.	A garrison stands vigil over the trade post to deter bandits and rival trade powers.
tr_garrison_3_desc	A large garrison stands vigil over the trade post to deter bandits and rival trade powers.	A large garrison stands vigil over the trade post to deter bandits and rival trade powers.
tr_fort_1_desc	This small fort overlooks the trade post, and its wooden walls constitute the final defense against any attacker.	This small fort overlooks the trade post, and its wooden walls constitute the final defense against any attacker.
tr_fort_2_desc	This fort overlooks the trade post, and its stone walls constitute the final defense against any attacker.	This fort overlooks the trade post, and its stone walls constitute the final defense against any attacker.
tr_fort_3_desc	This large fort overlooks the trade post, and its massive stone walls constitute the final defense against any attacker.	This large fort overlooks the trade post, and its massive stone walls constitute the final defense against any attacker.
title_state_inquisitor	State Inquisitor	State Inquisitor
title_state_inquisitor_desc	The three State Inquisitors are charged with ensuring the security of the Republic against threats both internal and external.	The three State Inquisitors are charged with ensuring the security of the Republic against threats both internal and external.
title_high_admiral	High Admiral	High Admiral
title_high_admiral_desc	The High Admiral is formally the chief of the Admiralty and in charge of the Republic's Navy, though he often relies on a competent staff.	The High Admiral is formally the chief of the Admiralty and in charge of the Republic's Navy, though he often relies on a competent staff.
title_high_judge	High Judge	High Judge
title_high_judge_desc	The High Judge is the supreme justice of the Republic, who answers only to the Council in most legal matters.	The High Judge is the supreme justice of the Republic, who answers only to the Council in most legal matters.
EXPENSE_FAMILY_DUES	Family Dues	Family Dues
TRIGGER_CAPITAL_HOLDING	Capital Holding	Capital Holding
EVTDESC60014	The great [Root.GetTitledName] and all [Root.GetHerHis] vassals have converted and embraced Nestorian Christianity!	The great [Root.GetTitledName] and all [Root.GetHerHis] vassals have converted and embraced Nestorian Christianity!
TRIGGER_PLOT_TARGET_PROVINCE	Plot Target Province	Plot Target Province
EMBARGO_EFFECT	Embargo §Y$WHO$§! and gain §G$GOLD$§!¤ from razing §Y$NUM$§! Trade posts\n	Embargo §Y$WHO$§! and gain §G$GOLD$§!¤ from razing §Y$NUM$§! Trade posts\n
LIFT_EMBARGO_EFFECT	Lift Embargo against $WHO$\n	Lift Embargo against $WHO$\n
TRADE_INCOME	Trade Income	Trade Income
TRIGGER_TRADE_POST_OWNER	Trade Post Owner	Trade Post Owner
FAM_REAL_FATHER	Real Father	Real Father
AN_UNKNOWN_FATHER	an unknown father	an unknown father
WAS_NOT_CONCEIVED_A_BASTARD	Was NOT conceived a Bastard	Was NOT conceived a Bastard
WAS_CONCEIVED_A_BASTARD	Was conceived a Bastard	Was conceived a Bastard
FATHER_OF_UNBORN_KNOWN	The Father of the Unborn Baby is NOT Known	The Father of the Unborn Baby is NOT Known
FATHER_OF_UNBORN_NOT_KNOWN	The Father of the Unborn Baby is Known	The Father of the Unborn Baby is Known
EVTDESC319	It seems my dalliance with [From.GetTitledFirstName] has resulted in a child. Fortunately, [FromFrom.Father.GetTitledFirstName] thinks little [FromFrom.GetFirstName] is his!	It seems my dalliance with [From.GetTitledFirstName] has resulted in a child. Fortunately, [FromFrom.Father.GetTitledFirstName] thinks little [FromFrom.GetFirstName] is his!
EVTOPTA319	Oops	Oops
SET_FATHER_OF_UNBORN_KNOWN	The Father of the Unborn Baby is Revealed\n	The Father of the Unborn Baby is Revealed\n
SET_FATHER_OF_UNBORN_NOT_KNOWN	The Father of the Unborn Baby is Unknown\n	The Father of the Unborn Baby is Unknown\n
HAVE_NOT_DYNASTY_FLAG	Does not have dynasty flag	Does not have dynasty flag
HAVE_DYNASTY_FLAG	Has dynasty flag	Has dynasty flag
HAD_DYNASTY_FLAG_LESS_THAN	Had dynasty flag '§Y$FLAG$§!' for less than §Y$DAYS$§! days	Had dynasty flag '§Y$FLAG$§!' for less than §Y$DAYS$§! days
HAD_DYNASTY_FLAG_AT_LEAST	Had dynasty flag '§Y$FLAG$§!' for at least §Y$DAYS$§! days	Had dynasty flag '§Y$FLAG$§!' for at least §Y$DAYS$§! days
d_hansa	Hanseatic League	Hanseatic League
d_hansa_adj	Hanseatic	Hanseatic
RESPECT	Respect	Respect
RESPECT_DESC	Respect is a value based on the Age and Prestige of a Patrician, determining how likely he is to be elected Doge. It can be increased by investing money in the Campaign Fund, but women and children can never be elected.	Respect is a value based on the Age and Prestige of a Patrician, determining how likely he is to be elected Doge. It can be increased by investing money in the Campaign Fund, but women and children can never be elected.
AGE_FACTOR	Age Factor	Age Factor
IS_PATRICIAN	Is Patrician	Is Patrician
ISNT_PATRICIAN	Is NOT Patrician	Is NOT Patrician
IS_MERCHANT_REPUBLIC	Is Merchant Republic	Is Merchant Republic
ISNT_MERCHANT_REPUBLIC	Is NOT Merchant Republic	Is NOT Merchant Republic
patrician_elective	Patrician Elective	Patrician Elective
succ_patrician_elective	Patrician Elective	Patrician Elective
succ_patrician_elective_desc	This is the succession type in the great naval Merchant Republics. The next Doge is determined from among the heads of the five grand Patrician families depending on Age, Prestige, and invested Campaign Funds.	This is the succession type in the great naval Merchant Republics. The next Doge is determined from among the heads of the five grand Patrician families depending on Age, Prestige, and invested Campaign Funds.
IN_FAVOR_OF	in favor of §Y$NAME$§W	in favor of §Y$NAME$§W
NO_BANKRUPT	You are not bankrupt	You are not bankrupt
TRADEPOST_PROV	Trade Post of $PROV$	Trade Post of $PROV$
TRADEPOST_PROV_LONG	Trade Post of $PROV$ - §Y$REPUBLIC$§! ( §Y$FAMILY$§! )	Trade Post of $PROV$ - §Y$REPUBLIC$§! ( §Y$FAMILY$§! )
#BUILD_TRADE_POST	Build a new Trade Post	Build a new Trade Post
TRADE_COST_DIST_TOTAL	Distance Penalty: §Y+$PENALTY$%§! ( §Y$MULT$%§! of total Distance )	Distance Penalty: §Y+$PENALTY$%§! ( §Y$MULT$%§! of total Distance )
TRADE_COST_DIST	Distance to Republic held Province ( §Y$PROVINCE$§W ): §Y$COST$§W	Distance to Republic held Province ( §Y$PROVINCE$§W ): §Y$COST$§W
TRADE_COST_REGION_PEN	Different Trade Region: §Y+$PENALTY$§!	Different Trade Region: §Y+$PENALTY$§!
TRADE_COST_MULT	Distance to Cost-increate Multiplier: §Y$MULT$%§!	Distance to Cost-increate Multiplier: §Y$MULT$%§!
TOTAL_COST	Total Cost: §Y$COST$§W	Total Cost: §Y$COST$§W
TRADEPOST_FINISHED_SETUP	Trade Post Construction Finished	Trade Post Construction Finished
TRADEPOST_FINISHED_LOG	A Trade Post has been built by the §Y$FAMILY$§! Family of §Y$REPUBLIC$§! in §Y$PROVINCE$§!.	A Trade Post has been built by the §Y$FAMILY$§! Family of §Y$REPUBLIC$§! in §Y$PROVINCE$§!
TRADEPOST_OWNER	Trade Post is owned by the §Y$FAMILY$§W Family	Trade Post is owned by the §Y$FAMILY$§W Family
#TRADEZONE_OWNER	This Trade Zone is owned by the §Y$FAMILY$§! Family of §YThe $REPUBLIC$§!	This Trade Zone is owned by the §Y$FAMILY$§! Family of §YThe $REPUBLIC$§!
TRADEREGION_DESC	This county belongs to §YThe $REGION$§!	This province belongs to §YThe $REGION$§!
TRADE	Trade	Trade
TRADE_ZONE	Trade Zone:	Trade Zone:
TOTAL_TRADE_FAMILY	Family Total:	Family Total:
TRADE_ZONE_BONUS	Trade Zone Bonus	Trade Zone Bonus
TRADE_CONNECTED_BONUS	Connected to Capital	Connected to Capital
CURRENT_INCOME	Current base income: §Y$INCOME$§!	Current base income: §Y$INCOME$§!
#INCOME_TRADEPOST	Income from this Trade post	Income from this Trade post
TRADEZONE_SIZE	Trade Zone Size	Trade Zone Size
TRADEZONE_SIZE_DESC	The number of Trade Posts in the Trade Zone this Trade Post is part of.	The number of Trade Posts in the Trade Zone this Trade Post is part of
TRADEZONE_VALUE	Trade Zone Value	Trade Zone Value
TRADEZONE_VALUE_DESC	The value of all Holdings in this trade zone\nIncreases the value of Trade Posts and Cities in this Trade Zone:\nTrade Posts: §Y$TPBONUS$§!\nCities: §Y$CTBONUS$§!	The value of all Holdings in this trade zone\nIncreases the value of Trade Posts and Cities in this Trade Zone:\nTrade Posts: §Y$TPBONUS$§!\nCities: §Y$CTBONUS$§!
TRADEZONE_INCOME	Trade Zone Income	Trade Zone Income
TRADEZONE_INCOME_DESC	Total Income from all Trade Posts in this Trade Zone: §Y$INCOME$§!¤	Total Income from all Trade Posts in this Trade Zone: §Y$INCOME$§!¤
TheRepublicDLC	The Republic	The Republic
#CONFIRM_BUILD_TRADEPOST_TITLE	Build Trade Post	Build Trade Post
#CONFIRM_BUILD_TRADEPOST_DESC	Are you sure you want to build a Trade Post?\nIt will cost you §Y$COST$§!¤ and will be finished on §Y$FINISHED$§!	Are you sure you want to build a Trade Post?\nIt will cost you §Y$COST$§!¤ and will be finished on §Y$FINISHED$§!
TRADEFAMILY_INCOME	Total Family Income	Total Family Income
TRADEFAMILY_INCOME_DESC	Total Income from all Trade Posts owned by the §Y$FAMILY$§! Family: §Y$INCOME$§!¤	Total Income from all Trade Posts owned by the §Y$FAMILY$§! Family: §Y$INCOME$§!¤
TRADEFAMILY_SIZE	Total Family Size	Total Family Size
TRADEFAMILY_SIZE_DESC	The number of Trade Posts owned by the §Y$FAMILY$§! Family	The number of Trade Posts owned by the §Y$FAMILY$§! Family
#TRADEPOST_UNDER_CONSTRUCTION	Trade Post under construction by §Y$BUILDER$§!\nWill be finished on §Y$DATE$§!	Trade Post under construction by §Y$BUILDER$§!\nWill be finished on §Y$DATE$§!
MODIFIER_TRADEVALUE	Trade Value	Trade Value
MODIFIER_RETINUESIZE	Retinue Size	Retinue Size
FROM_TRADEPOSTS	From Trade Posts: §G$AMOUNT$§!\n	From Trade Posts: §G$AMOUNT$§!\n
FROM_MANPOWER	From Manpower: §G$AMOUNT$§!\n	From Manpower: §G$AMOUNT$§!\n
FROM_HOLDINGS	From Holdings: §G$AMOUNT$§!\n	From Holdings: §G$AMOUNT$§!\n
CUSTOM_MAPMODE_DESC	§YCustom map mode slot§!\nDrag map modes here for easy access	§YCustom map mode slot§!\nDrag mapmodes here for easy access
SHOW_MAPMODES_TOGGLE	Toggle the map modes interface	Toggle the map modes interface
MAPMODE_DRAG	§GDrag this button to the custom slots below for easy access§!	§GDrag this button to the custom slots below for easy access§!
SHORTCUT_DESC	Shortcut: §G$SHORTCUT$§!	Shortcut: §Y$SHORTCUT$§!
#MAPMODE_TRADE_REPUBLICS	§YRepublic Trade Zones§!	§YRepublic Trade Zones§!
#MAPMODE_TRADE_REPUBLICS_DESC	All Trade Zones, separated by their owner's republic.	All Trade Zones, separated by their owner's republic.
#MAPMODE_TRADE_FAMILIES	§YFamily Trade Zones§!	§YFamily Trade Zones§!
#MAPMODE_TRADE_FAMILIES_DESC	Trade Zones in the selected republic, separated by their owners.	Trade Zones in the selected republic, separated by their owners.
MAPMODE_TRADE_REGIONS	§YTrade Regions§!	§YTrade Regions§!
MAPMODE_TRADE_REGIONS_DESC	Building Trade Posts in regions where you dont have Holdings is more expensive	Building Trade Posts in regions where you dont have Holdings is more expensive
region_east_med	East Mediterranean Trade Region	East Mediterranean Trade Region
region_west_med	West Mediterranean Trade Region	West Mediterranean Trade Region
region_north_atlantic	North Atlantic Trade Region	North Atlantic Trade Region
region_baltic	Baltic Trade Region	Baltic Trade Region
CANT_BUILD_TRADEPOST_EMBARGO	Is not Embargoed by $WHO$	Is not Embargoed by $WHO$
CANT_BUILD_TRADEPOST_COASTAL	Is Coastal	Is Coastal
IS_YOUNGER_THAN	Is Younger than 	Is Younger than 
IS_OLDER_THAN	Is Older than 	Is Older than 
CAMPAIGN_FUND	Campaign Fund	Campaign Fund
CAMPAIGN_FUND_DESC	Money in the Campaign Fund will increase your Respect in the senate and make your candidate more likely to be elected the next $RULER_TITLE$. You can freely adjust the amount until the current $RULER_TITLE$ dies, when the Fund will be used up in the election campaign.	Money in the Campaign Fund will increase your Respect in the senate and make your candidate more likely to be elected the next $RULER_TITLE$. You can freely adjust the amount until the current $RULER_TITLE$ dies, when the Fund will be used up in the election campaign.
EXPECTED_SUCCESSOR	Expected Successor	Expected Successor
EXPECTED_SUCCESSOR_DESC	§Y$HEIR$§! is widely expected to succeed §Y$RULER$§!. However, there is always a degree of uncertainty in the elections - to make sure of success, you might want to invest more money than the strict minimum in your campaign fund.	§Y$HEIR$§! is widely expected to succeed §Y$RULER$§!. However, there is always a degree of uncertainty in the elections - to make sure of success, you might want to invest more money than the strict minimum in your campaign fund.
opinion_patrician_wo_council_position	Not on the Council	Not on the Council
#MERCHANT_REPUBLICS_CANNOT_MOVE_CAPITAL	Merchant Republics are not allowed to change Capital	Merchant Republics are not allowed to change Capital
THE_REPUBLIC	The Republic	The Republic
PATRICIAN_DYNASTY_FALLS_SETUP	Patrician Family Falls	Patrician Family Falls
PATRICIAN_DYNASTY_FALLS_LOG	With the death of §Y$PATRICIAN$§!, the illustrious House §Y$DYNASTY$§! has become extinct.	With the death of §Y$PATRICIAN$§!, the illustrious House §Y$DYNASTY$§! has become extinct.
PATRICIAN_DYNASTY_RISES_SETUP	Patrician Family Rises	Patrician Family Rises
PATRICIAN_DYNASTY_RISES_LOG	A new great House has risen to the forefront of $TITLE_ADJ$ politics, under §Y$PATRICIAN$§!.	A new great House has risen to the forefront of $TITLE_ADJ$ politics, under §Y$PATRICIAN$§!.
NEW_DOGE_ELECTED_SETUP	Merchant Republic Election	Merchant Republic Election
NEW_DOGE_ELECTED_LOG	§Y$NEW_DOGE$§! has been elected the new $RULER_TITLE$ of the great Republic of §Y$TITLE$§!	§Y$NEW_DOGE$§! has been elected the new $RULER_TITLE$ of the great Republic of §Y$TITLE$§!
GREAT_DUKE	Great Duke	Great Duke
city_king	Prince Mayor	Prince Mayor
city_duke	Grand Mayor	Grand Mayor
CB_NAME_EMBARGO	Embargo	Embargo
WAR_NAME_EMBARGO	$ORDER$$FIRST_ADJ$-$SECOND_ADJ$ Embargo War	$ORDER$$FIRST_ADJ$-$SECOND_ADJ$ Embargo War
CB_NAME_COASTAL_REPUBLIC	Seize the City of [Title.GetBaseName]	Seize the City of [Title.GetBaseName]
WAR_NAME_COASTAL_REPUBLIC	$ORDER$$FIRST_ADJ$-$SECOND_ADJ$ War for the City of $OTHER_TITLE$	$ORDER$$FIRST_ADJ$-$SECOND_ADJ$ War for the City of $OTHER_TITLE$
CB_NAME_COASTAL_COUNTY_REPUBLIC	Seize [Title.GetBaseName]	Seize [Title.GetBaseName]
WAR_NAME_COASTAL_COUNTY_REPUBLIC	$ORDER$$FIRST_ADJ$-$SECOND_ADJ$ War for the Coast of $OTHER_TITLE$	$ORDER$$FIRST_ADJ$-$SECOND_ADJ$ War for the Coast of $OTHER_TITLE$
#BM_THE_MONGOLS	The Mongols	The Mongols
